t,D_t,W_t,R_t,delta_D_pct,delta_W_pct,w_input_next
1,3725013.6713272585,1.2385065914278253,0.9593313986131371,,inf,1.2385065914278253
2,3544809.978798276,1.2000879136686076,0.9592617220594672,-4.837665265931073,-3.1020164143758273,1.2000879136686076
3,3550253.3049874874,1.2561987097034222,0.9574520997085623,0.15355762993696234,4.675557131751021,1.2561987097034222
4,3542306.4860371053,1.138174960050585,0.9609546869364709,-0.2238380833057226,-9.39530893808206,1.138174960050585
5,3559045.4255879065,1.2175885658836383,0.9593276224928696,0.4725435141420408,6.977275781003281,1.2175885658836383
6,3547772.555093202,1.1206263999960528,0.9613936451973712,-0.3167385955137835,-7.963458971645094,1.1206263999960528
7,3561541.946492367,1.179888166318864,0.9602295378958493,0.38811370191693195,5.288271481291174,1.179888166318864
8,3553119.1118564066,1.1943268553986504,0.9595890859713821,-0.23649404562694387,1.22373369713789,1.1943268553986504
9,3551070.377805137,1.2053655426923073,0.9590400285546459,-0.05766015680231649,0.9242601590811934,1.2053655426923073
10,3549504.9832542753,1.15641088787249,0.9607296151675414,-0.04408232967292914,-4.06139491182668,1.15641088787249
