idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand
0,0,31.0189,121.2277,141.0079967260943,392.5208676065309,533.5288643326252
1,1,31.0189,121.2377,78.67985210523148,162.5619167759343,241.24176888116577
2,2,31.0189,121.2477,97.23211045906363,164.5735373150429,261.80564777410655
3,3,31.0189,121.2577,81.63880526273299,134.38667985129123,216.0254851140242
4,4,31.0189,121.2677,41.94729695807454,63.829693823353345,105.77699078142788
5,5,31.0189,121.2777,47.097413192213956,74.67311314282986,121.77052633504383
6,6,31.0189,121.2877,26.542299587760183,42.199032507499076,68.74133209525925
7,7,31.0189,121.2977,29.035758729178408,50.34857351430042,79.38433224347882
8,8,31.0189,121.3077,70.1539104713984,117.10448145101759,187.258391922416
9,9,31.0189,121.3177,9.007472272052473,16.414418390059264,25.421890662111736
10,10,31.0189,121.3277,4.199435171587471,2.2992228254649465,6.498657997052417
11,11,31.0189,121.3377,5.835856917232846,4.2255930713073875,10.061449988540232
12,12,31.0189,121.3477,9.163208957550925,16.659150915064988,25.822359872615912
13,13,31.0189,121.3577,3.197964733553,8.8816323384349,12.0795970719879
14,14,31.0189,121.3677,53.77869321275013,31.31108683591802,85.08978004866815
15,15,31.0189,121.3777,42.03085865625206,33.87697632405087,75.90783498030294
16,16,31.0189,121.3877,147.73112867873476,171.15168509731677,318.88281377605153
17,17,31.0189,121.3977,350.6628616663792,485.7726630169134,836.4355246832926
18,18,31.0189,121.4077,339.4941670105123,516.0102038817175,855.5043708922299
19,19,31.0189,121.4177,272.2251421581181,439.5189355196397,711.7440776777578
20,20,31.0189,121.4277,421.0226293389118,507.3873790054414,928.4100083443532
21,21,31.0189,121.4377,340.4269643812622,264.4785813610345,604.9055457422967
22,22,31.0189,121.4477,466.79733911249724,326.57914953476944,793.3764886472667
23,23,31.0189,121.4577,77.4620061824369,89.82241230471135,167.28441848714823
24,24,31.0189,121.4677,3.340584820503763,5.877991564866391,9.218576385370154
25,25,31.0189,121.4777,0.0,3.330466395189583,3.330466395189583
26,26,31.0189,121.4877,0.0,2.505960599636817,2.505960599636817
27,27,31.0189,121.4977,1.9894853277081275,5.268060688078173,7.257546015786301
28,28,31.0189,121.5077,25.33077285781323,28.813535302363277,54.14430816017651
29,29,31.0189,121.5177,1.680450448904651,10.011077259801112,11.691527708705763
30,30,31.0189,121.5277,55.11157763723572,121.53670198557454,176.64827962281026
31,31,31.0189,121.5377,3.0012393906674455,16.048984237245918,19.050223627913365
32,32,31.0189,121.5477,3.3426804342348837,9.855074330217768,13.197754764452652
33,33,31.0189,121.5577,2.847083646040044,5.874651545585614,8.721735191625658
34,34,31.0189,121.5677,10.919183086881494,10.14539627931871,21.064579366200206
35,35,31.0189,121.5777,2.1903905943191635,11.58825277429298,13.778643368612144
36,36,31.0189,121.5877,5.767163907663419,15.293380463457037,21.060544371120457
37,37,31.0189,121.5977,6.335521853950847,24.311460860406715,30.646982714357563
38,38,31.0189,121.6077,6.472415713470218,12.612673133707842,19.08508884717806
39,39,31.0189,121.6177,0.4200000000203396,1.7246771751069256,2.1446771751272653
40,40,31.0189,121.6277,2.216942644063988,5.7245440983545866,7.941486742418574
41,41,31.0189,121.6377,22.763097174839547,30.05970976822044,52.82280694305999
42,42,31.0289,121.2177,39.05804716613285,177.41623730717666,216.47428447330952
43,43,31.0289,121.2277,137.05084236594436,486.7498773572848,623.8007197232291
44,44,31.0289,121.2377,36.744209456898645,114.40944059231931,151.15365004921796
45,45,31.0289,121.2477,23.791385138762514,72.07789848539059,95.8692836241531
46,46,31.0289,121.2577,52.88680698359301,106.84624189060496,159.73304887419798
47,47,31.0289,121.2677,50.34807686288611,72.83563683682502,123.18371369971112
48,48,31.0289,121.2777,78.44258092517964,76.44108049513021,154.88366142030986
49,49,31.0289,121.2877,72.48994181054385,119.87579728762728,192.36573909817113
50,50,31.0289,121.2977,32.28775407237951,52.431717109131135,84.71947118151064
51,51,31.0289,121.3077,9.124015351303196,14.693621581768605,23.817636933071803
52,52,31.0289,121.3177,2.7931612465812905,10.676975924069795,13.470137170651086
53,53,31.0289,121.3277,0.0,0.0,0.0
54,54,31.0289,121.3377,0.0,0.7000001339365434,0.7000001339365434
55,55,31.0289,121.3477,3.518353974174127,4.38586556244105,7.904219536615177
56,56,31.0289,121.3577,20.876461191956817,30.79009497257521,51.666556164532025
57,57,31.0289,121.3677,51.82262776116213,93.48140673445528,145.3040344956174
58,58,31.0289,121.3777,15.653281581046777,34.555437281238035,50.20871886228481
59,59,31.0289,121.3877,194.68522147222052,341.1218522213258,535.8070736935463
60,60,31.0289,121.3977,43.57891995652868,77.11712291392612,120.6960428704548
61,61,31.0289,121.4077,266.27786650199477,294.97945113164945,561.2573176336442
62,62,31.0289,121.4177,369.0541645014174,489.1940389682621,858.2482034696795
63,63,31.0289,121.4277,139.9543499451905,235.87781767416442,375.8321676193549
64,64,31.0289,121.4377,101.67219470437428,157.21899162861575,258.89118633299006
65,65,31.0289,121.4477,277.41815341586124,275.42177254106815,552.8399259569294
66,66,31.0289,121.4577,96.84994198231713,168.69411606662368,265.5440580489408
67,67,31.0289,121.4677,13.290417340543716,32.09265207379188,45.383069414335594
68,68,31.0289,121.4777,0.0,3.041977846347323,3.041977846347323
69,69,31.0289,121.4877,0.28000001554980103,1.4903231227287845,1.7703231382785856
70,70,31.0289,121.4977,11.094293995971437,56.40600429825458,67.50029829422601
71,71,31.0289,121.5077,46.76884364700269,118.98933860773145,165.75818225473415
72,72,31.0289,121.5177,32.07703013292662,87.65563779171467,119.73266792464129
73,73,31.0289,121.5277,49.1515416064811,109.70419431962137,158.85573592610245
74,74,31.0289,121.5377,7.990408314858807,17.79545458228397,25.785862897142778
75,75,31.0289,121.5477,3.6641685398494444,4.806089741498159,8.470258281347604
76,76,31.0289,121.5577,1.1927197959000595,5.126150842807959,6.3188706387080185
77,77,31.0289,121.5677,27.566276974411696,56.14368250616922,83.70995948058092
78,78,31.0289,121.5777,37.189240785176075,85.24449580855674,122.43373659373282
79,79,31.0289,121.5877,22.233491696982266,71.19504471013349,93.42853640711576
80,80,31.0289,121.5977,83.42726365623095,102.85347196529179,186.28073562152275
81,81,31.0289,121.6077,35.17375008901431,37.229499828349056,72.40324991736337
82,82,31.0289,121.6177,11.16671976883628,10.461145692455496,21.627865461291776
83,83,31.0289,121.6277,23.29047598407957,24.11367348666198,47.40414947074155
84,84,31.0289,121.6377,140.57486135112657,189.0567997344023,329.6316610855289
85,85,31.0389,121.2177,368.6941443434567,615.0137609650553,983.707905308512
86,86,31.0389,121.2277,71.12066468940004,259.8449543354089,330.9656190248089
87,87,31.0389,121.2377,49.94069574133966,148.29388528015804,198.2345810214977
88,88,31.0389,121.2477,19.32174936017895,49.270212416281645,68.5919617764606
89,89,31.0389,121.2577,22.91128894382863,51.7428543337921,74.65414327762073
90,90,31.0389,121.2677,45.39155531006179,110.24471924475742,155.6362745548192
91,91,31.0389,121.2777,105.21884416684794,97.61399399279155,202.8328381596395
92,92,31.0389,121.2877,25.65259127359904,46.295330552723655,71.9479218263227
93,93,31.0389,121.2977,9.258365433984046,16.346632435852783,25.60499786983683
94,94,31.0389,121.3077,20.815938313610747,26.057766133734585,46.87370444734533
95,95,31.0389,121.3177,10.13062708119293,39.94460616912342,50.075233250316344
96,96,31.0389,121.3277,7.786034402681836,23.41270630150732,31.198740704189156
97,97,31.0389,121.3377,1.055709222810612,4.974652682025918,6.03036190483653
98,98,31.0389,121.3477,9.722439589009127,19.41892623015863,29.141365819167756
99,99,31.0389,121.3577,13.104392974924004,12.937745920929277,26.04213889585328
100,100,31.0389,121.3677,34.437295745992486,40.008976203358905,74.4462719493514
101,101,31.0389,121.3777,35.42455021401013,52.14782909957265,87.57237931358279
102,102,31.0389,121.3877,33.62384432275036,36.66808895455546,70.29193327730582
103,103,31.0389,121.3977,47.558902545998635,84.11722171398361,131.67612425998226
104,104,31.0389,121.4077,182.68053767162613,196.24936528169988,378.929902953326
105,105,31.0389,121.4177,183.08918638124817,314.5038688746154,497.5930552558636
106,106,31.0389,121.4277,23.714990361022384,104.18356734860832,127.89855770963071
107,107,31.0389,121.4377,150.7723269977626,124.18640347930821,274.95873047707084
108,108,31.0389,121.4477,218.66945914228094,296.9575918793345,515.6270510216154
109,109,31.0389,121.4577,322.2216824713128,464.0563091335613,786.2779916048742
110,110,31.0389,121.4677,217.10299266684225,358.3115764809093,575.4145691477515
111,111,31.0389,121.4777,0.3545239894729087,1.000052696737241,1.3545766862101496
112,112,31.0389,121.4877,0.2800271104628494,6.974608170048304,7.254635280511153
113,113,31.0389,121.4977,10.598411153634023,36.30953891269375,46.90795006632778
114,114,31.0389,121.5077,25.671650016098397,50.27836735454458,75.95001737064297
115,115,31.0389,121.5177,0.4243508949310669,2.3337349723087595,2.7580858672398265
116,116,31.0389,121.5277,79.38480611674989,125.49657539055349,204.8813815073034
117,117,31.0389,121.5377,38.44342093507795,103.14272822061209,141.58614915569004
118,118,31.0389,121.5477,3.2226443324447365,8.39505203476189,11.617696367206626
