idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand
0,0,31.0189,121.2277,125.55342193866987,344.3139712949734,469.86739323364327
1,1,31.0189,121.2377,72.1189713786547,144.71160745949243,216.83057883814712
2,2,31.0189,121.2477,87.59384131674022,146.38696033368737,233.9808016504276
3,3,31.0189,121.2577,76.04513768344255,122.77863960933178,198.8237772927743
4,4,31.0189,121.2677,40.48692583284048,56.61570432698989,97.10263015983037
5,5,31.0189,121.2777,43.55521732611612,71.04788915404086,114.60310648015698
6,6,31.0189,121.2877,24.247404998370232,43.49541547553629,67.74282047390652
7,7,31.0189,121.2977,37.667834319635325,69.94870420575378,107.6165385253891
8,8,31.0189,121.3077,89.67789707388859,179.65618812746763,269.33408520135623
9,9,31.0189,121.3177,13.229991564214885,30.364735809161047,43.59472737337593
10,10,31.0189,121.3277,5.014764561376178,2.7775542625731564,7.792318823949334
11,11,31.0189,121.3377,6.643354539590732,4.854862566371861,11.498217105962592
12,12,31.0189,121.3477,9.093078882113591,17.437724855201797,26.530803737315388
13,13,31.0189,121.3577,3.3440108525168473,10.308757947312056,13.652768799828904
14,14,31.0189,121.3677,51.939602623424506,32.80668552386943,84.74628814729394
15,15,31.0189,121.3777,42.61806214751047,35.25046730528597,77.86852945279645
16,16,31.0189,121.3877,151.795470790147,180.5873191332434,332.3827899233904
17,17,31.0189,121.3977,358.23739475373173,497.48771048335504,855.7251052370868
18,18,31.0189,121.4077,350.23013494346077,531.3238208425321,881.5539557859929
19,19,31.0189,121.4177,369.05578246440865,594.1518349655698,963.2076174299784
20,20,31.0189,121.4277,621.8616520448851,829.4084958525889,1451.270147897474
21,21,31.0189,121.4377,405.25077711483334,322.1080876578326,727.3588647726659
22,22,31.0189,121.4477,481.42255918007135,404.58181207407256,886.004371254144
23,23,31.0189,121.4577,89.18580287827893,105.67224534741987,194.8580482256988
24,24,31.0189,121.4677,3.488440144892651,5.884816496308252,9.373256641200904
25,25,31.0189,121.4777,0.0,2.8500869471824974,2.8500869471824974
26,26,31.0189,121.4877,0.0,2.416795514374156,2.416795514374156
27,27,31.0189,121.4977,1.5409810264138448,4.67941748372486,6.220398510138705
28,28,31.0189,121.5077,22.527436303926603,21.944072273403332,44.471508577329935
29,29,31.0189,121.5177,1.6825567608482002,8.07090150766548,9.75345826851368
30,30,31.0189,121.5277,47.81456910527175,92.22138187649654,140.03595098176828
31,31,31.0189,121.5377,2.1837885505839227,13.06696332879621,15.250751879380132
32,32,31.0189,121.5477,2.640453419300786,7.566371341288429,10.206824760589214
33,33,31.0189,121.5577,2.7351264836393536,4.934868742989265,7.669995226628618
34,34,31.0189,121.5677,12.468132432362406,8.971235335465451,21.439367767827857
35,35,31.0189,121.5777,2.0468902766828787,9.981381889040259,12.028272165723138
36,36,31.0189,121.5877,5.5854277399546355,14.507443776616451,20.092871516571087
37,37,31.0189,121.5977,6.054818211595379,26.525114505887554,32.57993271748293
38,38,31.0189,121.6077,7.721234068267658,14.903060665186525,22.62429473345418
39,39,31.0189,121.6177,0.4200251624938265,1.8169267503141773,2.2369519128080038
40,40,31.0189,121.6277,2.134957882769208,5.549493070122891,7.684450952892099
41,41,31.0189,121.6377,20.968216231105643,29.0402101851072,50.00842641621284
42,42,31.0289,121.2177,36.227030450362435,150.74332814639973,186.97035859676217
43,43,31.0289,121.2277,119.94526704230923,416.38757307011844,536.3328401124277
44,44,31.0289,121.2377,31.379759309464767,98.47531381911864,129.8550731285834
45,45,31.0289,121.2477,21.109232256973662,64.57523847513077,85.68447073210444
46,46,31.0289,121.2577,47.49131184607755,97.87740137498749,145.36871322106504
47,47,31.0289,121.2677,48.87193516712313,68.11695111912144,116.98888628624456
48,48,31.0289,121.2777,79.1227132298276,80.34052100623349,159.46323423606108
49,49,31.0289,121.2877,76.15954789357939,133.38668902376276,209.54623691734213
50,50,31.0289,121.2977,43.868048636405874,80.1110137371263,123.97906237353217
51,51,31.0289,121.3077,13.834629398886483,26.41628317840074,40.250912577287224
52,52,31.0289,121.3177,4.252518643402555,18.292831152387958,22.545349795790514
53,53,31.0289,121.3277,0.0,0.0,0.0
54,54,31.0289,121.3377,0.0,0.7585131365891463,0.7585131365891463
55,55,31.0289,121.3477,3.9510629738565513,5.098149818155703,9.049212792012254
56,56,31.0289,121.3577,21.001547733623,30.06842192920126,51.06996966282426
57,57,31.0289,121.3677,53.72682520668685,99.30017127524064,153.02699648192748
58,58,31.0289,121.3777,17.498314940192927,38.27347689828431,55.771791838477235
59,59,31.0289,121.3877,207.03333635573398,366.21934321788035,573.2526795736144
60,60,31.0289,121.3977,45.16696513103793,88.09970424315057,133.2666693741885
61,61,31.0289,121.4077,283.78187966622346,314.6963055065223,598.4781851727457
62,62,31.0289,121.4177,402.6377899216282,534.0564798720231,936.6942697936513
63,63,31.0289,121.4277,208.63404365724793,373.79702970827447,582.4310733655224
64,64,31.0289,121.4377,139.84811533496602,202.94011739018146,342.7882327251475
65,65,31.0289,121.4477,338.8474911497781,325.8122924162031,664.6597835659811
66,66,31.0289,121.4577,112.12885152350105,192.39844472258793,304.527296246089
67,67,31.0289,121.4677,13.66980881027116,32.15838639227963,45.82819520255079
68,68,31.0289,121.4777,0.0,3.1346616834694823,3.1346616834694823
69,69,31.0289,121.4877,0.2800916955044973,1.1052853805841854,1.3853770760886825
