idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand
155,155,31.0489,121.4877,8,28,36
156,156,31.0489,121.4977,12,32,44
157,157,31.0489,121.5077,45,107,152
158,158,31.0489,121.5177,5,25,30
159,159,31.0489,121.5277,961,1068,2029
160,160,31.0489,121.5377,440,823,1263
161,161,31.0489,121.5477,5,19,24
162,162,31.0489,121.5577,7,12,19
163,163,31.0489,121.5677,14,10,24
164,164,31.0489,121.5777,133,197,330
165,165,31.0489,121.5877,361,272,633
166,166,31.0489,121.5977,26,44,70
167,167,31.0489,121.6077,4,22,26
168,168,31.0489,121.6177,1,9,10
169,169,31.0489,121.6277,0,0,0
170,170,31.0489,121.6377,19,63,82
171,171,31.0589,121.2177,181,305,486
172,172,31.0589,121.2277,2469,1984,4453
173,173,31.0589,121.2377,830,716,1546
174,174,31.0589,121.2477,15,21,36
175,175,31.0589,121.2577,98,167,265
176,176,31.0589,121.2677,13,7,20
177,177,31.0589,121.2777,142,189,331
178,178,31.0589,121.2877,29,111,140
179,179,31.0589,121.2977,243,366,609
180,180,31.0589,121.3077,224,420,644
181,181,31.0589,121.3177,64,172,236
182,182,31.0589,121.3277,10,30,40
183,183,31.0589,121.3377,16,39,55
184,184,31.0589,121.3477,28,50,78
185,185,31.0589,121.3577,170,190,360
186,186,31.0589,121.3677,636,359,995
187,187,31.0589,121.3777,112,89,201
188,188,31.0589,121.3877,1032,1442,2474
189,189,31.0589,121.3977,471,660,1131
190,190,31.0589,121.4077,725,814,1539
191,191,31.0589,121.4177,129,237,366
192,192,31.0589,121.4277,265,175,440
193,193,31.0589,121.4377,124,419,543
194,194,31.0589,121.4477,261,331,592
195,195,31.0589,121.4577,172,242,414
196,196,31.0589,121.4677,1,1,2
197,197,31.0589,121.4777,1,7,8
198,198,31.0589,121.4877,8,47,55
199,199,31.0589,121.4977,37,116,153
200,200,31.0589,121.5077,3844,2797,6641
201,201,31.0589,121.5177,46,75,121
202,202,31.0589,121.5277,735,938,1673
203,203,31.0589,121.5377,521,773,1294
204,204,31.0589,121.5477,0,8,8
205,205,31.0589,121.5577,9,15,24
206,206,31.0589,121.5677,18,21,39
207,207,31.0589,121.5777,34,79,113
208,208,31.0589,121.5877,360,243,603
209,209,31.0589,121.5977,14,32,46
210,210,31.0589,121.6077,10,32,42
211,211,31.0589,121.6177,18,123,141
212,212,31.0589,121.6277,48,59,107
213,213,31.0589,121.6377,23,39,62
214,214,31.0689,121.2177,27,34,61
215,215,31.0689,121.2277,110,249,359
216,216,31.0689,121.2377,128,257,385
217,217,31.0689,121.2477,59,98,157
218,218,31.0689,121.2577,139,145,284
219,219,31.0689,121.2677,4,21,25
220,220,31.0689,121.2777,89,133,222
221,221,31.0689,121.2877,31,44,75
222,222,31.0689,121.2977,19,70,89
223,223,31.0689,121.3077,1027,1067,2094
224,224,31.0689,121.3177,258,427,685
225,225,31.0689,121.3277,85,145,230
226,226,31.0689,121.3377,41,113,154
227,227,31.0689,121.3477,352,598,950
228,228,31.0689,121.3577,352,324,676
229,229,31.0689,121.3677,190,134,324
230,230,31.0689,121.3777,663,634,1297
231,231,31.0689,121.3877,1998,2554,4552
232,232,31.0689,121.3977,2339,3390,5729
233,233,31.0689,121.4077,369,556,925
234,234,31.0689,121.4177,428,579,1007
235,235,31.0689,121.4277,851,795,1646
236,236,31.0689,121.4377,155,250,405
237,237,31.0689,121.4477,8,35,43
238,238,31.0689,121.4577,218,301,519
239,239,31.0689,121.4677,1,3,4
240,240,31.0689,121.4777,2,16,18
241,241,31.0689,121.4877,93,195,288
242,242,31.0689,121.4977,215,396,611
243,243,31.0689,121.5077,326,369,695
244,244,31.0689,121.5177,680,754,1434
245,245,31.0689,121.5277,307,652,959
246,246,31.0689,121.5377,149,299,448
247,247,31.0689,121.5477,1,22,23
248,248,31.0689,121.5577,10,31,41
249,249,31.0689,121.5677,6,10,16
250,250,31.0689,121.5777,197,124,321
251,251,31.0689,121.5877,222,205,427
252,252,31.0689,121.5977,17,37,54
253,253,31.0689,121.6077,11,11,22
254,254,31.0689,121.6177,12,21,33
255,255,31.0689,121.6277,31,17,48
256,256,31.0689,121.6377,48,63,111
257,257,31.0789,121.2177,1,1,2
258,258,31.0789,121.2277,27,25,52
259,259,31.0789,121.2377,3,20,23
260,260,31.0789,121.2477,30,98,128
261,261,31.0789,121.2577,228,246,474
262,262,31.0789,121.2677,105,212,317
263,263,31.0789,121.2777,20,112,132
264,264,31.0789,121.2877,6,7,13
265,265,31.0789,121.2977,2,6,8
266,266,31.0789,121.3077,88,164,252
267,267,31.0789,121.3177,563,563,1126
268,268,31.0789,121.3277,406,510,916
269,269,31.0789,121.3377,962,1081,2043
270,270,31.0789,121.3477,181,338,519
271,271,31.0789,121.3577,540,597,1137
272,272,31.0789,121.3677,1529,1076,2605
273,273,31.0789,121.3777,1717,1014,2731
274,274,31.0789,121.3877,1245,1028,2273
275,275,31.0789,121.3977,2945,2974,5919
276,276,31.0789,121.4077,761,1067,1828
277,277,31.0789,121.4177,1475,1659,3134
278,278,31.0789,121.4277,273,582,855
279,279,31.0789,121.4377,728,784,1512
280,280,31.0789,121.4477,79,223,302
281,281,31.0789,121.4577,148,175,323
282,282,31.0789,121.4677,0,1,1
283,283,31.0789,121.4777,3,27,30
284,284,31.0789,121.4877,612,993,1605
285,285,31.0789,121.4977,1583,2403,3986
286,286,31.0789,121.5077,592,901,1493
287,287,31.0789,121.5177,679,785,1464
288,288,31.0789,121.5277,21,46,67
289,289,31.0789,121.5377,50,94,144
290,290,31.0789,121.5477,194,332,526
291,291,31.0789,121.5577,17,36,53
292,292,31.0789,121.5677,13,41,54
293,293,31.0789,121.5777,96,102,198
294,294,31.0789,121.5877,560,667,1227
295,295,31.0789,121.5977,168,367,535
296,296,31.0789,121.6077,95,347,442
297,297,31.0789,121.6177,0,4,4
298,298,31.0789,121.6277,34,34,68
299,299,31.0789,121.6377,88,176,264
300,300,31.0889,121.2177,40,69,109
301,301,31.0889,121.2277,1354,671,2025
302,302,31.0889,121.2377,58,73,131
303,303,31.0889,121.2477,225,231,456
304,304,31.0889,121.2577,329,319,648
305,305,31.0889,121.2677,156,318,474
306,306,31.0889,121.2777,165,243,408
307,307,31.0889,121.2877,50,93,143
308,308,31.0889,121.2977,13,83,96
309,309,31.0889,121.3077,176,205,381
310,310,31.0889,121.3177,40,164,204
311,311,31.0889,121.3277,312,533,845
312,312,31.0889,121.3377,723,944,1667
313,313,31.0889,121.3477,199,494,693
314,314,31.0889,121.3577,280,424,704
315,315,31.0889,121.3677,1556,1514,3070
316,316,31.0889,121.3777,3330,2870,6200
317,317,31.0889,121.3877,3444,3101,6545
318,318,31.0889,121.3977,3095,3321,6416
319,319,31.0889,121.4077,1471,1646,3117
320,320,31.0889,121.4177,2339,2572,4911
321,321,31.0889,121.4277,1385,1695,3080
322,322,31.0889,121.4377,650,1172,1822
323,323,31.0889,121.4477,177,368,545
324,324,31.0889,121.4577,303,259,562
325,325,31.0889,121.4677,16,62,78
326,326,31.0889,121.4777,46,107,153
327,327,31.0889,121.4877,66,109,175
328,328,31.0889,121.4977,440,524,964
329,329,31.0889,121.5077,1026,1081,2107
330,330,31.0889,121.5177,440,531,971
331,331,31.0889,121.5277,210,343,553
332,332,31.0889,121.5377,18,60,78
333,333,31.0889,121.5477,12,25,37
334,334,31.0889,121.5577,18,39,57
335,335,31.0889,121.5677,42,86,128
336,336,31.0889,121.5777,599,611,1210
337,337,31.0889,121.5877,978,1212,2190
338,338,31.0889,121.5977,141,225,366
339,339,31.0889,121.6077,0,8,8
340,340,31.0889,121.6177,3,10,13
341,341,31.0889,121.6277,8,9,17
342,342,31.0889,121.6377,39,59,98
343,343,31.0989,121.2177,186,300,486
344,344,31.0989,121.2277,35,77,112
345,345,31.0989,121.2377,0,15,15
346,346,31.0989,121.2477,89,222,311
347,347,31.0989,121.2577,397,287,684
348,348,31.0989,121.2677,131,374,505
349,349,31.0989,121.2777,111,166,277
350,350,31.0989,121.2877,178,327,505
351,351,31.0989,121.2977,121,164,285
352,352,31.0989,121.3077,238,347,585
353,353,31.0989,121.3177,778,849,1627
354,354,31.0989,121.3277,171,431,602
355,355,31.0989,121.3377,943,1458,2401
356,356,31.0989,121.3477,2060,2398,4458
357,357,31.0989,121.3577,1175,1222,2397
358,358,31.0989,121.3677,1452,2275,3727
359,359,31.0989,121.3777,2564,3664,6228
360,360,31.0989,121.3877,5374,5724,11098
361,361,31.0989,121.3977,993,2756,3749
362,362,31.0989,121.4077,4104,4366,8470
363,363,31.0989,121.4177,1863,2648,4511
364,364,31.0989,121.4277,2404,2419,4823
365,365,31.0989,121.4377,475,1029,1504
366,366,31.0989,121.4477,841,1442,2283
367,367,31.0989,121.4577,62,132,194
368,368,31.0989,121.4677,14,99,113
369,369,31.0989,121.4777,47,133,180
370,370,31.0989,121.4877,722,1092,1814
371,371,31.0989,121.4977,1380,1826,3206
372,372,31.0989,121.5077,210,222,432
373,373,31.0989,121.5177,83,173,256
374,374,31.0989,121.5277,80,199,279
375,375,31.0989,121.5377,70,182,252
376,376,31.0989,121.5477,33,81,114
377,377,31.0989,121.5577,12,40,52
378,378,31.0989,121.5677,462,560,1022
379,379,31.0989,121.5777,895,926,1821
380,380,31.0989,121.5877,734,1541,2275
381,381,31.0989,121.5977,83,253,336
382,382,31.0989,121.6077,53,66,119
383,383,31.0989,121.6177,91,140,231
384,384,31.0989,121.6277,190,251,441
385,385,31.0989,121.6377,142,163,305
386,386,31.1089,121.2177,55,111,166
387,387,31.1089,121.2277,2275,2183,4458
388,388,31.1089,121.2377,396,754,1150
389,389,31.1089,121.2477,838,1590,2428
390,390,31.1089,121.2577,874,1096,1970
391,391,31.1089,121.2677,618,1142,1760
392,392,31.1089,121.2777,683,1252,1935
393,393,31.1089,121.2877,95,370,465
394,394,31.1089,121.2977,36,228,264
395,395,31.1089,121.3077,335,854,1189
396,396,31.1089,121.3177,326,436,762
397,397,31.1089,121.3277,81,260,341
398,398,31.1089,121.3377,262,491,753
399,399,31.1089,121.3477,1062,3156,4218
400,400,31.1089,121.3577,2608,3510,6118
401,401,31.1089,121.3677,9512,11587,21099
402,402,31.1089,121.3777,14599,18111,32710
