time_step,low_battery_ratio,low_battery_count,mean_battery_pct,n_charging,charging_utilization,energy_consumed_pct_this_bin
0,0.0,0,98.78668894918759,0,0.0,9099.832881094504
1,0.0,0,98.09558695422324,3,0.0004,12425.863776769778
2,0.0,0,98.62584134195113,5,0.0006666666666666666,7829.040657744974
3,0.0,0,98.7410869675459,5,0.0006666666666666666,7633.947537498123
4,0.0,0,99.22928395964026,4,0.0005333333333333334,4209.242630444264
5,0.0,0,99.39179497214357,3,0.0004,3960.9935155784488
6,0.0,0,99.59710490709712,1,0.00013333333333333334,2364.2022407209647
7,0.0,0,99.52618185975693,0,0.0,2490.0587897898936
8,0.0,0,99.6151844607469,0,0.0,2296.5345898022265
9,0.0,0,99.55741352870605,2,0.0002666666666666667,2339.460420277783
10,0.0,0,98.85899142923309,6,0.0008,6435.118047254478
11,0.0,0,98.56570137814077,4,0.0005333333333333334,6340.141157613989
12,0.0,0,97.8652331985884,46,0.0061333333333333335,14102.17395803665
13,0.0,0,97.15981276382442,24,0.0032,14700.256324175132
14,0.0,0,95.46888131357831,13,0.0017333333333333333,20434.46321661105
15,0.0,0,94.41346529277779,41,0.0054666666666666665,20877.461475603443
16,0.0,0,93.67042689251915,78,0.0104,23145.273600333654
17,0.0,0,93.332826793888,126,0.0168,22971.62343757627
18,0.0,0,92.26201691771702,155,0.020666666666666667,24745.620568277227
19,0.0,0,91.99871260474754,215,0.028666666666666667,24816.93658860511
20,0.0,0,92.59105711720139,216,0.0288,22927.57325512119
21,0.0,0,93.16702931977125,241,0.03213333333333333,23107.697532521273
22,0.0,0,93.30606457835657,188,0.025066666666666668,21381.76768402052
23,0.0,0,93.97959078012069,179,0.023866666666666668,21626.694813560633
24,0.0,0,94.2423721134078,122,0.016266666666666665,22231.029226858296
25,0.0,0,94.33952069172031,121,0.016133333333333333,22154.055348475802
26,0.0,0,93.66865869947749,116,0.015466666666666667,24857.194993670106
27,0.0,0,92.91962427943032,114,0.0152,24394.478757860146
28,0.0,0,92.33009765179584,128,0.017066666666666667,25511.07482402517
29,0.0,0,91.55409546812861,125,0.016666666666666666,25179.218739980017
30,0.0,0,91.17558910914867,156,0.0208,23993.69104602739
31,0.0,0,90.45274803452587,153,0.0204,24465.849442641418
32,0.0,0,90.19512678015194,217,0.028933333333333332,23983.854543683
33,0.0004,3,89.67891945383887,278,0.037066666666666664,23307.23379096621
34,0.0004,3,89.85889743154931,409,0.054533333333333336,23162.28452584944
35,0.0004,3,89.58114907961945,198,0.0264,21638.776916411003
36,0.0,0,89.72962702617293,310,0.04133333333333333,21386.955490026936
37,0.0,0,90.12391852973234,344,0.04586666666666667,20357.88787596672
38,0.0,0,89.95635655038055,319,0.04253333333333333,20375.993936531733
39,0.0,0,90.62917474641355,480,0.064,23218.200748941894
40,0.00013333333333333334,1,90.61083476626213,325,0.043333333333333335,22939.636570063427
41,0.0005333333333333334,4,90.48839473372952,321,0.0428,21528.877325045134
42,0.0004,3,89.27375673285702,210,0.028,23887.83048592851
43,0.00013333333333333334,1,88.08410976130146,272,0.03626666666666667,23713.664790252977
44,0.00013333333333333334,1,87.28482125796175,366,0.0488,22402.377481892578
45,0.0,0,86.5329642806002,379,0.05053333333333333,21697.51266204248
46,0.0,0,86.75836637697631,569,0.07586666666666667,17080.96946800496
47,0.0,0,87.32802316529398,625,0.08333333333333333,18223.44528650056
48,0.0,0,89.67198399653695,887,0.11826666666666667,13160.16947310177
49,0.0,0,91.47272313930804,725,0.09666666666666666,14037.58301057261
50,0.0,0,94.49050164986689,749,0.09986666666666667,8174.239173433912
51,0.0,0,96.68100614619242,492,0.0656,7725.334874699267
52,0.0,0,98.51867052650873,235,0.03133333333333333,3962.3071136910085
53,0.0,0,99.13176202114849,80,0.010666666666666666,4273.722171795575
54,0.0,0,99.47037931105494,16,0.0021333333333333334,2414.695750076922
55,0.0,0,99.54112264821828,13,0.0017333333333333333,2398.5691201418886
56,0.0,0,99.57454516669183,6,0.0008,2160.421424212955
57,0.0,0,99.50751298783469,1,0.00013333333333333334,2365.99308398866
58,0.0,0,98.86201033186137,11,0.0014666666666666667,6398.83233911047
59,0.0,0,98.59430289260855,2,0.0002666666666666667,6425.632535133964
60,0.0,0,97.66655724862608,52,0.006933333333333333,14028.867316208354
61,0.0,0,96.7238685243341,25,0.0033333333333333335,15033.513976497834
62,0.0,0,95.92574183499451,35,0.004666666666666667,21022.992787643747
63,0.0,0,94.47009671314879,18,0.0024,21005.107999890763
64,0.0,0,93.14447686485204,50,0.006666666666666667,22257.941286830726
65,0.0,0,91.86226242797646,72,0.0096,23021.949066809768
66,0.0,0,89.58238626415121,72,0.0096,24002.579448279856
67,0.0,0,88.17738220624244,232,0.030933333333333334,25452.94857620998
68,0.0,0,87.55948305572149,354,0.0472,23291.09181760583
69,0.0,0,87.5621599378709,545,0.07266666666666667,23212.05356065753
70,0.0,0,88.2751203251453,661,0.08813333333333333,21741.669438889276
71,0.0,0,89.1784289275011,519,0.0692,21168.01135021513
72,0.0,0,89.38470274644236,416,0.055466666666666664,21407.215405781488
73,0.0,0,89.01022215195523,311,0.041466666666666666,22625.97332265564
74,0.00013333333333333334,1,87.64313196927877,223,0.029733333333333334,23139.26043101295
75,0.00013333333333333334,1,86.03921301683482,244,0.03253333333333333,25221.167895495168
76,0.0018666666666666666,14,84.79557756244436,338,0.045066666666666665,26043.42951751432
77,0.002,15,83.7113033039782,364,0.04853333333333333,24901.566678299812
78,0.0018666666666666666,14,83.06728509162551,568,0.07573333333333333,25496.819065640964
79,0.002266666666666667,17,82.55835486162778,520,0.06933333333333333,24093.024430625253
80,0.0037333333333333333,28,82.84794538277302,706,0.09413333333333333,24296.937945884314
81,0.004266666666666667,32,82.83161807184256,618,0.0824,23212.346733250946
82,0.0029333333333333334,22,83.67551046496176,807,0.1076,22842.376695421626
83,0.0030666666666666668,23,83.7184967453565,513,0.0684,21901.828279313384
84,0.0021333333333333334,16,84.33550868601885,601,0.08013333333333333,21441.080400089377
85,0.0014666666666666667,11,85.07590682413947,630,0.084,20740.188905688683
86,0.0017333333333333333,13,84.93124608258239,501,0.0668,20761.912776621422
87,0.0014666666666666667,11,84.97767796306057,547,0.07293333333333334,22616.966368217185
88,0.0008,6,83.9747415750886,353,0.047066666666666666,22444.38153484291
89,0.0009333333333333333,7,82.90123606892105,391,0.05213333333333333,22261.861618505878
90,0.0012,9,81.53734319639166,385,0.051333333333333335,24695.805314540372
91,0.0033333333333333335,25,80.39466294526274,420,0.056,21950.839337286718
92,0.0034666666666666665,26,78.53087431432093,393,0.0524,23825.221552887604
93,0.0032,24,77.85618340096707,666,0.0888,24422.861220613773
94,0.0034666666666666665,26,80.26852010740163,1142,0.15226666666666666,16825.596326912335
95,0.004933333333333333,37,82.67207477003429,1123,0.14973333333333333,15904.435872116994
96,0.0013333333333333333,10,86.10944180105385,1316,0.17546666666666666,13390.768124755234
97,0.0006666666666666666,5,89.10927812345393,1000,0.13333333333333333,13240.001100491145
98,0.0002666666666666667,2,92.95853272809339,1046,0.13946666666666666,7873.289700649723
99,0.0,0,95.50443576817598,611,0.08146666666666667,7872.788937561727
100,0.0,0,97.94389808095696,427,0.056933333333333336,4032.098348755457
101,0.0,0,99.03295509936983,126,0.0168,4215.201844432712
102,0.0,0,99.47928484287173,18,0.0024,2385.554216680599
103,0.0,0,99.54499807775882,15,0.002,2355.771593476651
104,0.0,0,99.56946432624245,10,0.0013333333333333333,2275.8165913651296
105,0.0,0,99.43391177426015,4,0.0005333333333333334,2530.6022093378197
106,0.0,0,98.84535127235495,13,0.0017333333333333333,6535.1899736880405
107,0.0,0,98.68071697136179,8,0.0010666666666666667,6266.959194239681
108,0.0,0,97.63487883905563,46,0.0061333333333333335,14350.77450154408
109,0.0,0,96.75506849032863,26,0.0034666666666666665,14952.64264053056
110,0.0,0,95.86436281408646,33,0.0044,20822.508229849704
111,0.0,0,94.42760763864665,15,0.002,20871.058757082486
112,0.0,0,93.01740947313228,56,0.007466666666666667,22853.985764403915
113,0.0,0,92.03641431244887,107,0.014266666666666667,23059.005641953485
114,0.0,0,90.00376770311759,57,0.0076,23317.23563867585
115,0.0,0,88.48797139999564,199,0.026533333333333332,26019.91110885662
116,0.0,0,88.11017708459978,348,0.0464,23005.5537628616
117,0.0,0,87.78210135126602,484,0.06453333333333333,23208.578679031194
118,0.0,0,88.25504558573753,632,0.08426666666666667,21683.5872178577
119,0.0,0,88.92193947914757,639,0.0852,21149.27164353926
120,0.0,0,88.9686888258956,458,0.061066666666666665,21405.638799423992
121,0.0,0,88.63376796427599,377,0.05026666666666667,22812.76779343262
122,0.0,0,87.1889524941841,262,0.03493333333333333,23546.419971803087
123,0.00013333333333333334,1,85.55585292262884,310,0.04133333333333333,24260.96694587199
124,0.0006666666666666666,5,84.51736262294776,489,0.0652,26365.721909081454
125,0.0010666666666666667,8,83.31934793561379,398,0.053066666666666665,24954.642629230388
126,0.002,15,82.97309070055586,676,0.09013333333333333,25412.950060416915
127,0.0030666666666666668,23,82.73690358883687,660,0.088,24080.070876812115
128,0.0018666666666666666,14,83.08609892359601,809,0.10786666666666667,24478.953638103172
129,0.0034666666666666665,26,83.2300446062748,679,0.09053333333333333,23108.65474221269
130,0.004666666666666667,35,84.13556814318973,887,0.11826666666666667,22877.83685916936
131,0.004933333333333333,37,84.52186835211444,708,0.0944,21820.472114842414
132,0.0038666666666666667,29,85.35040711311636,742,0.09893333333333333,21315.87349526933
133,0.0036,27,86.24991938137586,706,0.09413333333333333,20884.110917039347
134,0.0024,18,86.05480977408087,482,0.06426666666666667,20937.069328241978
135,0.0018666666666666666,14,85.8901972546057,502,0.06693333333333333,22485.901211681165
136,0.00013333333333333334,1,84.99349506584697,367,0.048933333333333336,22270.30343279494
137,0.0005333333333333334,4,84.15258227859724,455,0.06066666666666667,22597.178355670192
138,0.0005333333333333334,4,82.91716667628381,365,0.048666666666666664,23341.98365013021
139,0.0013333333333333333,10,81.36716365146587,404,0.05386666666666667,24129.954288407032
140,0.0021333333333333334,16,80.58427201440081,530,0.07066666666666667,23131.843515311808
141,0.0006666666666666666,5,80.26444219779637,646,0.08613333333333334,20896.79118163852
142,0.002,15,80.23699029567365,605,0.08066666666666666,16827.286989032575
