time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service,unmet_fleet_insufficient,unmet_away_flying,unmet_insufficient_battery,unmet_rounding_jitter,mean_age_at_service_bins,max_backlog_age_bins,backlog_over_threshold,mean_age_at_service_operational_bins
33,3319,534.3345619806032,3388.59062816853,464.74393381207227,534.3345619806005,131,132512.61585972126,3693936.381369837,4386,30.011821021912144,105.26946953697966,0.0,399.05327142170825,0.12464526544204639,34,5.9242334069844285,0.003108721462984346
34,3203,439.3667571654364,3108.0321951848355,534.3345619806005,439.36675716543726,32,131084.99036169436,3825021.3717315313,4170,3.4073187929353703,7.102758658320294,0.0,428.85667971418155,0.1872675430920628,35,4.961631200849724,0.0369277391223815
35,3057,490.39895235027325,3108.0321951848355,439.36675716543726,490.3989523502748,65,125366.1992538924,3950387.570985424,4371,1.0211036891253256,65.9102615899894,0.0,423.4675870711599,0.1420547257459381,36,4.110003241736103,0.0006320239728939237
36,3058,439.576720827783,3007.177768477511,490.3989523502748,439.5767208277863,21,123341.10304089497,4073728.674026319,4207,0.0,22.368392430926857,0.0,417.208328396859,0.15379996162486448,37,4.140169477158573,0.01658618669935923
37,2953,493.7544893052941,3007.177768477511,439.5767208277863,493.7544893052968,70,119692.76324686727,4193421.437273186,4083,37.65521690841762,35.4500771193335,0.0,420.6491952775455,0.1304103793669327,38,5.2088687990507365,0.0031140794253054368
38,3104,639.192119880081,3249.4376305747865,493.7544893052968,639.192119880078,246,122419.77460623473,4315841.211879421,4341,170.7112489338869,81.25856029753078,0.0,387.2223106486606,0.13893253429650118,39,5.875630504019416,0.00932645846526501
39,3363,525.629750454862,3249.4376305747865,639.192119880078,525.62975045486,114,131989.435986021,4447830.647865442,4116,101.45780643024698,15.622891381524557,0.0,408.54905264308763,0.20522864335459098,40,5.205119628614837,0.07098931923498711
40,3375,572.2486560984148,3421.618905643554,525.62975045486,572.2486560984156,164,131835.38916546115,4579666.037030903,4223,134.23486891940297,34.862326628188846,0.0,403.1514605508223,0.15548993823137466,41,5.079513662870039,0.025059421425728944
41,3254,739.8675617419708,3421.618905643554,572.2486560984156,739.8675617419699,339,129060.32177259545,4708726.358803499,4143,323.1410886865245,21.940415902993312,0.0,394.7860571524525,0.15420736023121545,42,6.2322364575372005,0.03415701710930929
42,3337,777.0451492964085,3374.1775875544354,739.8675617419699,777.0451492964061,385,140874.62748249987,4849600.9862859985,4270,320.55082483410786,71.22268846372806,0.0,385.27163599857033,0.216153810717864,43,6.10703998858422,0.07493985036398616
43,3308,843.2227368508438,3374.1775875544354,777.0451492964061,843.2227368508424,446,141621.93570629513,4991222.921992294,4217,428.60425217480906,22.96101223834081,0.0,391.6574724376926,0.2252849190467362,44,7.140646236558118,0.09686509757215321
44,3125,785.3601320514858,3067.1373952006456,843.2227368508424,785.3601320514875,387,134891.64405864594,5126114.566050939,3982,385.8949632462752,4.277504351778337,0.0,395.1876644534354,0.2525718736320624,45,6.19669365970309,0.11612667811293678
45,3048,804.497527252131,3067.1373952006456,785.3601320514875,804.4975272521349,415,133102.30673437094,5259216.87278531,3778,418.34304031928826,1.4925492963572573,0.0,384.66193763648863,0.2681168041607169,46,7.472480476154139,0.12785136189334487
46,2594,710.2067272613235,2499.7092000091907,804.4975272521349,710.2067272613264,534,117863.7995788037,5377080.672364114,3430,303.4935881247455,0.0,0.0,406.7131391365805,0.2678454475021819,47,8.754382740348426,0.12897242597697356
47,2664,545.9159272705147,2499.7092000091907,710.2067272613264,545.9159272705178,182,115013.20132676848,5492093.873690883,3047,138.45259525918868,5.268580537533566,0.0,402.19475147379603,0.30993465178310803,48,10.583882737100033,0.1613223460779411
48,1936,507.4796940991828,1897.5637668286652,545.9159272705178,507.4796940991849,282,96815.47481861521,5588909.348509498,2402,86.70695485776481,0.0,0.0,420.77273924141986,0.2643972754403815,49,11.824930562929401,0.06583737516473236
49,1957,448.04346092785,1897.5637668286652,507.4796940991849,448.04346092785073,88,96428.19273252109,5685337.541242019,2217,26.60093361374066,0.0,0.0,421.4425273141099,0.2653490615694849,50,11.67612838521508,0.03813521997995566
50,1205,423.51060437900355,1180.467143451152,448.04346092785073,423.51060437900185,178,76657.43328372331,5761994.974525742,1566,0.04490932008014481,0.0,0.0,423.4656950589217,0.2529893235078024,51,13.358414855886508,0.017278758811559467
51,1166,437.9777478301546,1180.467143451152,423.51060437900185,437.9777478301518,58,71621.48638080439,5833616.460906547,1342,0.0,0.0,0.0,437.9777478301518,0.26184478224062546,52,15.874816256883463,0.0
52,604,452.5325959680008,618.5548481378488,437.9777478301518,452.5325959680006,93,57420.11238674597,5891036.573293293,813,0.0,0.0,0.0,452.5325959680006,0.36190172205340276,53,19.78222265096268,0.0
53,635,436.0874441058495,618.5548481378488,452.5325959680006,436.0874441058485,36,56586.26097539095,5947622.834268684,736,0.0,0.0,0.0,436.0874441058485,0.4462793109292679,54,27.112137869085718,0.0
54,339,428.4963229155568,331.4088788097068,436.0874441058485,428.49632291555554,40,49173.60260518103,5996796.436873864,450,0.0,0.0,0.0,428.49632291555554,0.56111941875875,55,32.67970870852052,0.0
55,328,431.9052017252635,331.4088788097068,428.49632291555554,431.9052017252627,38,48154.27993839922,6044950.716812263,428,0.0,0.0,0.0,431.9052017252627,0.6054119916648613,56,43.44698165600806,0.0
56,283,447.81390810817277,298.9087063829103,431.9052017252627,447.8139081081734,50,47373.55770491055,6092324.274517174,400,0.0,0.0,0.0,447.8139081081734,0.8057511465876832,57,48.838104453844586,0.0
57,306,440.7226144910835,298.9087063829103,447.8139081081734,440.7226144910823,106,48834.72000786467,6141158.994525039,461,0.0,0.0,0.0,440.7226144910823,0.8070463597306142,58,57.08682000154291,0.0
58,812,440.66323573730847,811.9406212462277,440.7226144910823,440.6632357373095,276,69111.59923889975,6210270.593763938,1134,5.36512576134238,0.0,0.0,435.298109975967,0.6852673461007717,59,67.0650866665391,0.0
59,815,437.6038569835355,811.9406212462277,440.6632357373095,437.6038569835358,228,68902.49997459735,6279173.093738535,1056,1.7525503144499992,0.0,0.0,435.85130666908594,0.5364848092645826,60,84.9122955923252,0.003443791136601126
60,1821,490.87667431117234,1874.2728173276355,437.6038569835358,490.87667431117023,260,100521.94300801102,6379695.036746547,2096,59.41131105872132,0.0,0.0,431.46536325244875,0.41178115714509117,61,79.98917319678392,0.00026652358400056715
61,1901,464.1494916388051,1874.2728173276355,490.87667431117023,464.1494916388055,644,113953.94864698431,6493648.985393531,2637,27.18576589293666,0.0,0.0,436.96372574586866,0.3694760346016638,62,72.9405873923161,0.018889612782036318
62,2685,452.96024170720284,2673.8107500683996,464.1494916388055,452.96024170720057,254,128296.65120859367,6621945.636602124,3046,26.99774349602779,0.0,0.0,425.9624982111726,0.3698309612217538,63,43.75580750448722,0.0068911517428908485
63,2673,453.7709917755983,2673.8107500683996,452.96024170720057,453.77099177559666,164,128700.66871844741,6750646.305320571,3639,20.54685729557094,1.1708646430606668,0.0,432.05326983696506,0.2610259116328184,64,29.440320569846364,0.007156507876230169
64,2947,525.8606597751968,3019.0896679996004,453.77099177559666,525.8606597751962,288,137127.4796977013,6887773.785018273,4035,31.40540348192605,58.375727793806774,0.0,436.0795284994628,0.19980387928223592,65,19.466743665860573,0.004843637991132777
65,3019,525.9503277747963,3019.0896679996004,525.8606597751962,525.9503277747943,202,136942.22287533194,7024716.007893604,4221,56.15604630033228,41.94084223219323,0.0,427.85343924226885,0.18253933399035183,66,15.028483090131203,0.017186889058945966
66,3335,682.191142720425,3491.2408149456323,525.9503277747943,682.191142720421,390,143302.75765365118,7168018.765547255,4780,151.1066683258567,146.58859919894826,0.0,384.4958751956155,0.17306925214683203,67,9.685340745382064,0.02060847672183392
67,3609,564.4319576660519,3491.2408149456323,682.191142720421,564.4319576660473,269,149810.56521975604,7317829.330767011,4542,84.4291592895792,62.096397105903854,0.0,417.90640127056366,0.18813174391806362,68,8.917747560601555,0.07772618822657745
68,3475,515.2462690253515,3425.8143113593055,564.4319576660473,515.2462690253568,221,139771.34813816828,7457600.67890518,4392,87.98874515837922,8.577765088386585,0.0,418.67975877859135,0.15584629650510518,69,7.741888220941304,0.03653396499486778
69,3446,495.0605803846611,3425.8143113593055,515.2462690253568,495.06058038466693,158,135923.012029193,7593523.690934373,4154,46.21899936931729,34.6486945690717,0.0,414.19288644627744,0.15876210690821382,70,5.8658845674988225,0.026795407289391657
70,3318,459.37075161548955,3282.310171230824,495.06058038466693,459.3707516154872,103,128618.7256433456,7722142.416577718,3948,19.675679242152867,13.011211790360049,0.0,426.68386058297415,0.1505491255061153,71,5.113750023292623,0.019789491870073044
71,3251,490.6809228463103,3282.310171230824,459.3707516154872,490.6809228463067,99,125124.78523915529,7847267.201816874,3828,37.850391693437146,24.742018525908843,0.0,428.08851262696095,0.12883067425638206,72,5.01587704525223,0.006806024854287845
72,3268,565.4763746426784,3342.7954517963713,490.6809228463067,565.4763746426789,200,128227.98111542553,7975495.1829323,3913,111.16672262770395,53.265715517952245,0.0,401.04393649702234,0.14220325813015045,73,5.327642966942632,0.008698217997746909
73,3374,534.2718264390501,3342.7954517963713,565.4763746426789,534.2718264390501,166,132278.8094253763,8107773.992357676,3978,105.89265475936905,24.454080533789547,0.0,403.9250911458918,0.17478783909568715,60,6.646490934358952,0.037756952059250594
74,3554,686.8278983671762,3706.5560719281266,534.2718264390501,686.8278983671782,313,137922.73311332086,8245696.725470996,4359,188.83679871545831,107.3013980592341,0.0,390.6897015924866,0.14254393025546216,61,7.032589335146773,0.021346679198914347
75,3739,654.3839702953019,3706.5560719281266,686.8278983671782,654.383970295306,267,144373.46831160772,8390070.193782603,4571,171.54949125919882,94.22933877891117,0.0,388.6051402571973,0.19385545215232214,62,7.553344167472179,0.06287847867351602
76,3760,582.3507300173142,3687.9667597220046,654.383970295306,582.3507300173089,169,145878.59717108408,8535948.790953688,4572,94.4331865975752,81.78006355009781,0.0,406.1374798696361,0.18156186355486337,63,8.213164001453949,0.05567576816552294
77,3645,625.3174897393164,3687.9667597220046,582.3507300173089,625.3174897393108,205,141385.27234166383,8677334.063295351,4664,78.66407023468761,127.43592593218506,0.0,419.21749357243846,0.15222488428431832,64,8.855255717508753,0.034829874059660974
78,3666,516.193361326691,3556.8758715873805,625.3174897393108,516.1933613266865,97,141447.8239541794,8818781.887249531,4536,58.97616935805767,34.89910845008479,0.8640776370517712,421.4540058814922,0.18554886397705644,65,7.240436723017733,0.052071826257867646
79,3531,542.0692329140679,3556.8758715873805,516.1933613266865,542.0692329140625,127,136318.85908352514,8955100.746333057,4555,74.13598821701801,48.81800210214116,3.0,416.11524259490267,0.15149448614152616,44,6.945093872458527,0.025606581379324346
80,3449,481.6598610825931,3388.59062816853,542.0692329140625,481.65986108259057,52,135828.88336505418,9090929.62969811,4305,21.138687566240048,25.69263517589903,3.7239709260430924,431.10456741440834,0.16952711427967126,45,5.694931022428727,0.03376845400769484
81,3296,574.2504892511215,3388.59062816853,481.65986108259057,574.2504892511181,155,133437.04080380406,9224366.670501914,4394,28.75845200693849,114.89774419931382,15.323978229753923,415.27031481511256,0.14225359864267767,42,4.502371911367998,0.005719689669432786
82,3214,468.2826844359538,3108.0321951848355,574.2504892511181,468.2826844359555,32,130002.1723054,9354368.842807313,4164,3.2609492740963004,18.004094881836323,7.990820720586681,439.0268195594362,0.1752692669618394,43,4.502701415056449,0.04693597988231509
83,3052,524.3148796207915,3108.0321951848355,468.2826844359555,524.314879620793,107,127255.67748914401,9481624.520296458,4408,8.706352503453962,80.79476731829702,21.51286994371766,413.30088985532404,0.15469767877514204,44,5.6263689563587445,0.0008665485544112083
84,3061,470.49264809830083,3007.177768477511,524.314879620793,470.4926480983039,54,124414.65599703799,9606039.176293496,4248,25.346336819168872,18.83626143145424,7.258392659627107,419.0516571880536,0.18122152092050148,45,4.443305604052895,0.043699175959543216
85,2966,511.67041657581194,3007.177768477511,470.4926480983039,511.6704165758147,102,122522.05008430638,9728561.226377802,4139,55.23416723396161,43.58830310839955,1.0,411.8479462334539,0.16317925419648377,45,2.766940894083214,0.017965058360195046
86,3087,674.1080471505984,3249.4376305747865,511.6704165758147,674.1080471505957,265,125394.25538374354,9853955.481761545,4351,178.99586976801396,80.5902658586564,1.6110753501502115,412.9108361737756,0.14377288061043206,46,3.5135485145992895,0.01895511645915433
87,3354,569.5456777253789,3249.4376305747865,674.1080471505957,569.5456777253771,162,131748.7766393902,9985704.258400936,4167,151.365924670831,2.417173262904437,0.0,415.76257979164177,0.199178712407185,47,4.163089696498093,0.06867151886123504
88,3286,705.1645833689322,3421.618905643554,569.5456777253771,705.1645833689322,320,134238.43237874133,10119942.690779677,4289,269.78881752293915,53.82625718287868,0.0,381.54950866311555,0.19333906853652608,21,3.9895579875718914,0.04502129615408262
89,3333,793.7834890124896,3421.618905643554,705.1645833689322,793.7834890124885,410,135496.70430300865,10255439.395082686,4284,367.6019718763663,43.81134831213182,0.0,382.3701688239907,0.196726851135606,22,5.434482117989005,0.07625834158173607
90,3377,790.9610765669249,3374.1775875544354,793.7834890124885,790.9610765669252,396,144348.98828948563,10399788.38337217,4317,341.69005976747314,52.644323029234556,0.0,396.62669377021666,0.23560958170361831,23,4.026207365365742,0.09084053577352737
91,3276,889.1386641213612,3374.1775875544354,790.9610765669252,889.1386641213616,524,138721.11322024907,10538509.49659242,4275,479.7089358245153,23.43542617637857,1.7095234991570374,384.28477862131,0.24197768847429532,21,4.206577604972879,0.1180518139202521
92,3260,696.2760593220069,3067.1373952006456,889.1386641213616,696.2760593220079,664,152998.28171908885,10691507.778311508,4379,262.602290277105,14.092197182761431,5.0,414.5815718621399,0.26398679978005335,22,3.8943413508713927,0.12756673782494052
93,3259,504.4134545226502,3067.1373952006456,696.2760593220079,504.41345452265284,435,148029.72065132012,10839537.498962827,4020,91.76198410671685,0.0,0.0,412.65147041593616,0.2519973622480175,23,4.274810404313378,0.10795766549327632
94,2568,436.1226545318409,2499.7092000091907,504.41345452265284,436.12265453184466,291,114284.53447251917,10953822.033435347,3198,18.89366715801526,0.0,0.0,417.22898737382957,0.16843789794465752,22,4.655416407079865,0.0282459144449355
95,2474,461.83185454103386,2499.7092000091907,436.12265453184466,461.8318545410359,240,109649.29888557515,11063471.332320921,2901,56.07379980601871,0.0,0.0,405.75805473501725,0.14195603370851523,23,5.883004291824191,0.005553565085616789
96,1914,445.3956213697006,1897.5637668286652,461.8318545410359,445.3956213697028,221,99082.91103012345,11162554.243351044,2317,12.803366908137868,0.0,0.0,432.59225446156483,0.23444206406833837,24,7.138894225652114,0.02203415676846052
97,1901,441.9593881983674,1897.5637668286652,445.3956213697028,441.95938819836874,91,94440.11740016987,11256994.360751214,2156,9.035346783859136,0.0,0.0,432.9240414145097,0.19990230892439273,25,8.819528986595898,0.004853420990603498
98,1179,443.42653164952117,1180.467143451152,441.95938819836874,443.42653164951975,107,73813.63728687562,11330807.998038089,1465,1.009796329861738,0.0,0.0,442.416735319658,0.25312506523826095,26,11.055728783309615,0.00719675652041255
99,1178,445.89367510067245,1180.467143451152,443.42653164951975,445.89367510067035,44,72396.81350768884,11403204.811545778,1341,1.7509971948907652,0.0,0.0,444.14267790577964,0.2766148286550342,27,13.981333795160014,0.0004338272962741887
100,613,451.4485232385191,618.5548481378488,445.89367510067035,451.4485232385186,57,56537.63311274442,11459742.444658522,792,0.0,0.0,0.0,451.4485232385186,0.3618990284345248,28,16.837047091178476,0.0022009273774429468
101,623,447.00337137636757,618.5548481378488,451.4485232385186,447.00337137636706,14,55336.33056147453,11515078.775219996,706,0.0,0.0,0.0,447.00337137636706,0.46259934663067404,29,23.649493323334354,0.0
102,332,446.4122501860753,331.4088788097068,447.00337137636706,446.41225018607383,55,48993.253401625196,11564072.028621621,454,0.0,0.0,0.0,446.41225018607383,0.5259858100156821,30,31.448286255186275,0.0
103,331,446.82112899578203,331.4088788097068,446.41225018607383,446.8211289957811,15,47796.218825325166,11611868.247446947,409,0.0,0.0,0.0,446.8211289957811,0.6053998816185024,31,44.981665252055514,0.0
104,298,447.7298353786912,298.9087063829103,446.8211289957811,447.7298353786916,39,47642.62162053606,11659510.869067483,400,0.0,0.0,0.0,447.7298353786916,0.880516410738299,32,49.44238116607381,0.0
105,310,436.6385417616016,298.9087063829103,447.7298353786916,436.63854176160123,155,51185.866318758264,11710696.735386241,514,0.0,0.0,0.0,436.63854176160123,0.9281102903052157,33,58.97857475741921,0.0
106,822,426.5791630078272,811.9406212462277,436.63854176160123,426.5791630078277,216,68565.80541105659,11779262.540797297,1092,0.0,0.0,0.0,426.5791630078277,0.7378402545688791,34,68.32841974995063,0.0
107,803,435.5197842540533,811.9406212462277,426.5791630078277,435.5197842540536,191,66589.91892895273,11845852.45972625,1009,1.2103862464674444,0.0,0.0,434.30939800758614,0.4955553439049063,35,85.01194355411783,0.0
108,1835,474.7926015816902,1874.2728173276355,435.5197842540536,474.79260158168876,262,101347.22470184168,11947199.684428092,2110,66.4507737019336,0.0,0.0,408.34182787975493,0.47415151706307457,36,69.40629319567014,0.0002256674931984637
109,1906,443.0654189093243,1874.2728173276355,474.79260158168876,443.06541890932317,574,112195.34869037759,12059395.03311847,2574,12.429124390437021,0.0,0.0,430.6362945188861,0.37497712203529554,37,62.46314386366548,0.02031437370595216
110,2654,462.8761689777207,2673.8107500683996,443.06541890932317,462.87616897771875,304,129419.41552941727,12188814.448647887,3065,30.246090184785484,0.0,0.0,432.6300787929333,0.31892187381901826,38,40.951292029521575,0.0026973248620893522
111,2683,453.68691904611615,2673.8107500683996,462.87616897771875,453.68691904611484,166,127990.81516634948,12316805.263814235,3646,23.10087283671156,1.1940764731281295,0.0,429.39196973627514,0.22641276992265763,39,31.183615884255214,0.008857952571327229
112,2998,474.7765870457142,3019.0896679996004,453.68691904611484,474.77658704571365,281,139196.20630424467,12456001.47011848,4081,9.061802825289213,38.93922240872726,0.0,426.7755618116971,0.20464102327011158,40,20.269042348267277,0.005355715969942438
113,2998,495.86625504531366,3019.0896679996004,474.77658704571365,495.8662550453127,165,136650.63759629562,12592652.107714776,4194,35.10759914732895,33.75472135813162,0.0,427.0039345398522,0.18301713244598605,41,13.613586465569727,0.008904535346231432
114,3312,675.1070699909433,3491.2408149456323,495.8662550453127,675.1070699909384,351,139349.98410584527,12732002.091820622,4736,153.96250427033274,116.1966542875549,0.0,404.9479114330508,0.13693989293611572,42,11.181857857749893,0.013006085839367047
115,3648,518.3478849365692,3491.2408149456323,675.1070699909384,518.347884936565,238,153238.04860328988,12885240.140423913,4529,39.87445428120691,53.95735735808798,0.0,424.5160732972698,0.19976231911913772,43,9.178286267949066,0.07068512250447391
116,3439,505.1621962958693,3425.8143113593055,518.347884936565,505.1621962958754,202,138713.23420396296,13023953.374627875,4311,65.30641959404888,17.440810108971867,0.0,422.41496659285457,0.15088013911602885,44,7.484228048908977,0.022849606165222396
117,3430,500.9765076551794,3425.8143113593055,505.1621962958754,500.9765076551848,172,137068.62623912148,13161022.000866996,4176,47.865899797290375,33.8806553213688,0.0,419.2299525365257,0.15117578165061465,45,6.344478044608418,0.019699541758946667
118,3330,453.28667888600694,3282.310171230824,500.9765076551848,453.2866788860043,106,128996.98592318785,13290018.986790184,3953,35.83562369835798,2.9898676088779457,0.0,414.4611875787689,0.15128452173871776,46,6.006148165089027,0.024514220703602
119,3232,503.5968501168268,3282.310171230824,453.2866788860043,503.5968501168252,130,126019.34701634684,13416038.333806532,3851,48.49199301802475,38.39287405130438,0.0,416.71198304749606,0.1305883106050191,47,5.550028114122049,0.007186999456464246
120,3279,567.3923019131967,3342.7954517963713,503.5968501168252,567.3923019131971,217,128545.94886744315,13544584.282673975,3946,135.6604919642893,38.6462354885158,0.0,393.0855744603916,0.15068340774335984,48,5.408413670966376,0.01729840406848498
121,3386,524.1877537095684,3342.7954517963713,567.3923019131971,524.1877537095684,141,132539.05704850768,13677123.339722482,3972,96.60003407899582,15.732919783601986,0.0,411.85479984697014,0.18115397622558907,49,5.186592997599742,0.0398749279478859
122,3571,659.7438256376945,3706.5560719281266,524.1877537095684,659.7438256376961,332,139525.12611751736,13816648.46584,4381,220.52487113561125,90.739025815191,0.0,348.4799286868944,0.14715781315760715,50,4.902439830573335,0.023434446666800265
123,3690,676.2998975658193,3706.5560719281266,659.7438256376961,676.2998975658252,316,142295.1176785674,13958943.583518568,4594,184.40171884235912,116.20425072234961,0.0,375.69392800111694,0.16571552294605305,51,6.132205829927943,0.05779682623068545
