time_step,928,834,1146,1138,932,490,925,783,1232,919,1067,1100,464,714,1213,1011,665,841,525,1569,1412,1399,1478,275,702,873,856,850,387,795
0,197,315,350,381,439,499,186,452,387,449,596,403,649,535,665,364,488,347,651,482,678,459,575,664,459,570,670,542,695,406
1,11,174,303,376,423,493,11,271,389,484,624,433,613,565,672,428,523,236,690,325,700,549,590,716,446,621,669,491,704,362
2,10,173,397,507,537,566,13,239,467,602,739,593,668,711,734,626,638,259,769,164,784,753,637,797,523,746,717,556,724,448
3,8,69,371,518,539,559,8,180,418,632,786,612,727,769,778,587,648,81,813,15,863,894,689,847,519,782,749,565,732,431
4,13,76,432,603,619,612,27,189,471,686,853,707,765,850,822,760,743,116,862,1,941,887,797,916,604,873,783,597,751,514
5,7,50,410,589,614,591,7,177,467,711,887,750,803,903,856,759,774,50,878,12,1012,755,797,955,613,932,807,597,763,520
6,16,56,437,614,636,609,24,189,477,747,928,828,828,952,877,838,831,60,909,12,1074,677,862,1000,668,985,826,602,774,569
7,12,38,411,607,654,590,14,191,427,742,951,828,851,981,898,861,841,40,928,12,1139,538,1015,1028,674,1014,844,577,785,560
8,13,22,394,568,659,578,20,203,368,737,963,837,864,998,910,860,849,40,942,12,1198,420,1150,1055,688,1040,856,545,793,570
9,16,14,366,542,663,554,17,261,297,721,975,857,877,1009,950,856,865,15,948,13,1247,271,1320,1076,689,1036,871,525,798,563
10,11,5,237,424,610,427,2,276,143,576,927,743,850,955,963,635,785,10,909,13,1281,31,1400,1054,586,948,871,459,804,461
11,16,17,167,380,606,337,8,803,60,493,908,710,833,923,948,623,770,14,885,13,1327,7,1394,1046,532,906,881,450,810,453
12,12,4,9,137,502,88,5,1268,2,167,801,284,743,794,914,315,633,4,797,9,1339,1,1145,999,295,740,856,339,811,253
13,44,9,10,7,496,5,13,1400,0,18,713,90,655,685,872,157,593,16,697,7,1321,1,921,981,140,607,851,297,814,269
14,17,7,5,12,253,11,13,1400,7,17,661,16,525,598,821,113,531,13,579,11,1374,7,663,968,4,283,798,211,817,299
15,163,7,16,0,327,5,106,1400,0,18,573,65,392,467,765,122,529,66,465,15,1378,0,395,987,0,16,734,99,824,342
16,205,16,2,0,243,5,83,1400,17,0,501,16,310,430,729,151,524,83,340,5,1400,0,162,995,4,0,659,51,826,393
17,279,15,7,19,131,2,125,1400,0,14,399,11,233,398,685,31,472,42,231,7,1400,0,18,1016,3,15,610,70,834,428
18,16,0,4,0,15,0,2,1400,16,0,296,7,225,220,643,0,263,4,130,87,1400,0,14,1028,0,18,609,29,857,16
19,17,18,10,10,21,4,14,1400,0,11,54,12,220,172,645,14,169,17,120,18,1400,0,16,1050,0,17,582,64,872,14
20,18,0,7,13,14,8,4,1400,16,15,31,4,228,67,648,4,48,5,119,14,1400,1,59,1094,172,30,656,198,901,9
21,81,15,5,22,17,9,121,1400,2,10,16,8,247,30,652,14,16,33,112,17,1400,14,58,1046,195,15,718,260,931,82
22,127,17,8,11,87,7,127,1400,87,28,63,160,268,30,701,13,16,17,96,17,1400,76,85,1058,187,60,752,307,960,162
23,137,14,7,10,112,1,176,1400,16,11,102,149,301,14,713,32,17,51,77,13,1400,101,87,1091,281,24,843,339,985,201
24,171,11,9,8,130,8,209,1400,0,15,112,24,319,2,733,19,7,33,60,16,1400,54,114,1024,260,17,848,354,1000,235
25,110,10,10,15,136,2,214,1400,0,13,60,16,335,0,731,14,13,55,48,15,1400,12,115,983,211,19,839,363,1020,316
26,7,11,0,6,14,5,17,1394,0,8,35,10,351,1,737,17,10,14,17,14,1398,3,101,944,228,16,822,310,1036,38
27,9,5,10,9,17,9,13,1376,0,15,0,16,366,0,723,18,19,16,15,17,1354,0,15,897,131,0,733,84,1056,17
28,16,9,8,14,16,4,28,1335,0,18,1,12,366,0,749,73,15,45,18,13,1380,15,17,906,116,13,732,83,1073,112
29,0,4,7,0,10,6,15,1377,0,30,17,13,386,16,744,57,17,15,18,17,1357,16,17,933,164,17,743,61,1101,128
30,4,9,8,0,14,5,16,1365,21,18,15,15,434,51,766,116,24,17,42,17,1385,34,38,983,207,16,738,22,1118,205
31,7,0,8,17,10,13,3,1322,18,14,0,19,471,61,801,23,16,13,46,20,1397,57,63,1028,239,14,714,16,1132,163
32,2,10,12,8,33,10,4,1316,19,16,35,56,511,64,824,78,25,23,60,16,1400,134,89,1090,279,24,721,17,1153,247
33,0,3,10,36,32,24,2,1236,16,15,50,44,557,132,839,15,14,16,106,20,1400,186,91,1132,323,15,726,17,1179,177
34,14,9,11,15,83,34,20,1178,16,18,86,124,601,136,871,137,11,52,132,17,1400,254,125,1169,367,16,723,15,1198,277
35,0,1,2,0,50,28,5,1023,17,49,126,137,632,177,889,86,34,16,159,13,1400,331,141,1227,417,17,726,16,1210,280
36,0,0,9,3,28,57,4,921,20,14,153,91,690,197,919,14,8,17,194,18,1400,393,145,1269,464,20,705,17,1231,250
37,0,1,7,9,8,57,5,813,19,18,158,16,735,230,970,18,17,9,213,17,1400,429,134,1303,473,14,655,15,1252,151
38,10,4,9,11,15,16,0,620,0,13,15,11,768,16,991,1,5,6,235,11,1400,237,158,1349,203,10,531,17,1273,17
39,1,0,10,10,20,15,10,356,19,16,17,16,795,17,1008,16,4,8,280,16,1400,162,194,1397,20,16,426,18,1297,16
