scenario,N_trip,mean_flight_km,E_trip (%batt/trip),"E_total (%batt, fleet-wide)",N_trip_share_of_full,E_total_share_of_full,delta_N,delta_E,marginal_energy_per_adopter
Logit scale=10,2805440.132364031,7.983501340632238,7.983501340632238,22397235.057791725,0.2423691929926319,0.3010592147520304,,,
Logit scale=30,3708249.571004965,7.109992679996137,7.109992679996137,26365627.30544412,0.3203652238276044,0.3544015603952997,902809.438640934,3968392.2476523966,4.395603410644789
Logit scale=60,4476993.759458353,6.72546770885517,6.72546770885517,30109876.961983263,0.3867790126744257,0.4047310255513606,768744.1884533879,3744249.656539142,4.870605479401515
Logit scale=100,4938012.423919947,6.585822990022486,6.585822990022486,32520875.746468645,0.4266076015546816,0.4371391955309293,461018.6644615941,2410998.784485381,5.229720552206045
