time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,4356,2103.5238095238046,6459.523809523805,0.0,2103.5238095238165,1375,231904.896477703,231904.896477703,5731
1,4919,3644.0476190476274,6459.523809523805,2103.5238095238165,3644.047619047628,150,163413.06053627274,395317.9570139757,5847
2,4886,2924.4761904762026,4166.428571428578,3644.047619047628,2924.476190476188,310,171125.2500036994,566443.207017675,5793
3,4061,3029.9047619047606,4166.428571428578,2924.476190476188,3029.904761904762,806,161929.08754867606,728372.2945663511,5737
4,3505,1786.1190476190577,2261.214285714292,3029.904761904762,1786.1190476190498,1583,187130.80925644227,915503.1038227933,5671
5,3546,501.3333333333562,2261.214285714292,1786.1190476190498,501.3333333333332,487,144161.41455898026,1059664.5183817735,4514
6,1315,440.8095238095268,1254.47619047619,501.3333333333332,440.80952380952385,424,77615.94908187183,1137280.4674636454,2491
7,1287,408.2857142857167,1254.47619047619,440.80952380952385,408.2857142857142,393,74959.87874482574,1212240.346208471,2032
8,1128,417.6666666666663,1137.3809523809502,408.2857142857142,417.66666666666646,435,75527.91523325336,1287768.2614417244,1949
9,1109,446.0476190476186,1137.3809523809502,417.66666666666646,446.04761904761875,482,76553.60320166506,1364321.8646433894,1833
10,2674,668.4047619047674,2896.3571428571463,446.04761904761875,668.4047619047627,654,127251.83510253014,1491573.6997459196,3552
11,2788,776.7619047619132,2896.3571428571463,668.4047619047627,776.7619047619036,974,145644.60824933677,1637218.3079952563,3919
12,3849,3043.4523809523853,6115.690476190475,776.7619047619036,3043.4523809523807,1796,214111.92740688453,1851330.2354021408,5796
13,5029,4130.142857142871,6115.690476190475,3043.4523809523807,4130.142857142865,517,205596.9706592458,2056927.2060613865,5900
14,4860,7234.142857142873,7963.999999999989,4130.142857142865,7234.142857142857,813,219902.16574466135,2276829.371806048,5922
15,3834,11364.142857142855,7963.999999999989,7234.142857142857,11364.14285714284,254,145506.53659740413,2422335.908403452,5935
16,4842,15541.309523809516,9019.166666666664,11364.14285714284,15541.309523809523,240,179836.04882909387,2602171.957232546,5884
17,3987,20573.4761904762,9019.166666666664,15541.309523809523,20573.47619047618,11,147364.43092194773,2749536.3881544936,5866
18,4124,27297.261904761814,10847.785714285717,20573.47619047618,27297.26190476188,0,149210.4901435601,2898746.8782980535,5831
19,3831,34314.047619047495,10847.785714285717,27297.26190476188,34314.04761904753,0,137914.83458914846,3036661.712887202,5513
20,4620,40673.119047618915,10979.071428571422,34314.04761904753,40673.119047618944,0,165553.91485511954,3202215.627742321,5441
21,3608,48044.19047619033,10979.071428571422,40673.119047618944,48044.190476190444,0,129276.94721358982,3331492.574955911,5332
22,4202,54466.66666666658,10624.476190476189,48044.190476190444,54466.6666666667,0,161619.60001226127,3493112.1749681723,4701
23,3106,61985.14285714283,10624.476190476189,54466.6666666667,61985.142857142935,0,115488.92399017164,3608601.098958344,4471
24,3693,69067.04761904782,10774.904761904767,61985.142857142935,69067.04761904772,0,136932.30335269266,3745533.402311037,4074
25,3021,76820.95238095277,10774.904761904767,69067.04761904772,76820.95238095259,0,103369.22398645176,3848902.626297489,3996
26,3166,85447.09523809563,11792.142857142855,76820.95238095259,85447.09523809518,0,107697.7124071569,3956600.3387046456,3671
27,2724,94515.23809523822,11792.142857142855,85447.09523809518,94515.23809523799,0,105248.21824180143,4061848.556946447,3485
28,3384,102672.54761904769,11541.30952380952,94515.23809523799,102672.54761904768,0,106785.12088778718,4168633.677834234,4034
29,2399,111814.85714285738,11541.30952380952,102672.54761904768,111814.8571428572,0,91076.57975146575,4259710.2575857,3042
30,2833,120187.7380952384,11205.880952380967,111814.8571428572,120187.73809523803,1,110699.29109954496,4370409.548685244,3782
31,2714,128679.61904761923,11205.880952380967,120187.73809523803,128679.61904761916,0,102868.80782735499,4473278.3565126,3187
32,2744,136480.80952380973,10545.190476190486,128679.61904761916,136480.80952380956,0,100758.85682834231,4574037.213340942,3608
33,2500,144525.99999999953,10545.190476190486,136480.80952380956,144525.9999999997,0,95311.30303131876,4669348.516372261,3670
34,2937,151231.71428571435,9642.714285714286,144525.9999999997,151231.71428571417,0,92561.81580882502,4761910.332181086,3468
35,2671,158203.4285714288,9642.714285714286,151231.71428571417,158203.42857142855,0,89822.76333283985,4851733.095513926,3860
36,2948,164810.19047619088,9554.761904761903,158203.42857142855,164810.19047619018,0,105778.28008841122,4957511.3756023375,3407
37,2795,171569.9523809525,9554.761904761903,164810.19047619018,171569.95238095266,0,95638.6119426872,5053149.987545025,3410
38,3042,179268.4761904762,10740.523809523826,171569.95238095266,179268.4761904763,0,88030.67071133184,5141180.658256357,3686
39,3229,186779.99999999985,10740.523809523826,179268.4761904763,186779.9999999998,0,109602.40780810178,5250783.066064458,3464
40,3503,194590.7619047619,11313.761904761905,186779.9999999998,194590.761904762,0,95339.69556352204,5346122.7616279805,3736
41,2440,203464.5238095241,11313.761904761905,194590.761904762,203464.5238095239,0,103608.87993858715,5449731.641566568,2636
42,2850,211759.2142857145,11144.690476190484,203464.5238095239,211759.21428571455,0,106021.24103046303,5555752.882597031,3008
43,2908,219995.90476190514,11144.690476190484,211759.21428571455,219995.90476190497,0,106852.15847505047,5662605.041072082,2944
44,3136,227066.90476190535,10207.000000000002,219995.90476190497,227066.90476190462,0,118942.53103699523,5781547.572109077,3884
45,2173,235100.904761905,10207.000000000002,227066.90476190462,235100.90476190497,0,95911.40630559056,5877458.978414668,2665
46,2866,240882.85714285786,8647.95238095239,235100.90476190497,240882.85714285696,0,124305.83099532538,6001764.809409993,3125
47,2305,247225.80952380985,8647.95238095239,240882.85714285696,247225.80952380912,0,102674.83881234347,6104439.648222337,2739
48,3093,250592.33333333282,6459.523809523805,247225.80952380912,250592.33333333282,0,118741.8212729189,6223181.4694952555,3203
49,2557,254494.85714285652,6459.523809523805,250592.33333333282,254494.85714285698,0,105268.03001069947,6328449.499505955,3234
50,2636,256025.2857142861,4166.428571428578,254494.85714285698,256025.28571428565,0,114956.25872138636,6443405.758227341,3118
51,2787,257404.71428571476,4166.428571428578,256025.28571428565,257404.7142857143,1,113763.43433252355,6557169.192559864,3352
52,2378,257287.92857143006,2261.214285714292,257404.7142857143,257287.92857142835,0,102546.98908021463,6659716.181640079,2854
53,2551,256998.14285714412,2261.214285714292,257287.92857142835,256998.14285714293,0,109922.62620964996,6769638.807849729,2949
54,2797,255455.61904762016,1254.47619047619,256998.14285714293,255455.61904761908,0,109214.99116403752,6878853.799013767,3215
55,2915,253795.0952380963,1254.47619047619,255455.61904761908,253795.09523809515,0,122853.12855274531,7001706.9275665125,3226
56,2407,252525.4761904776,1137.3809523809502,253795.09523809515,252525.47619047586,0,106598.83797898643,7108305.765545499,2650
57,2628,251034.85714285832,1137.3809523809502,252525.47619047586,251034.8571428569,0,112313.89117243043,7220619.656717929,3019
58,3163,250768.21428571505,2896.3571428571463,251034.8571428569,250768.21428571464,0,124237.31387376372,7344856.970591693,3505
59,2178,251486.5714285728,2896.3571428571463,250768.21428571464,251486.5714285713,0,105123.42280110394,7449980.393392798,2256
60,2963,254639.26190476207,6115.690476190475,251486.5714285713,254639.2619047618,0,130969.50550157121,7580949.898894369,2985
61,2452,258302.95238095257,6115.690476190475,254639.2619047618,258302.9523809526,0,111302.40706053299,7692252.3059549015,2649
62,2787,263479.95238095196,7963.999999999989,258302.9523809526,263479.9523809524,0,125446.40438851391,7817698.710343416,2793
63,2473,268970.9523809521,7963.999999999989,263479.9523809524,268970.9523809518,5,94941.20531876374,7912639.91566218,3689
64,2903,275087.1190476187,9019.166666666664,268970.9523809518,275087.1190476192,0,109622.88164679328,8022262.797308973,3588
65,2804,281302.28571428615,9019.166666666664,275087.1190476192,281302.2857142855,0,105448.88206527322,8127711.679374246,3211
66,2938,289212.07142857194,10847.785714285717,281302.2857142855,289212.0714285716,0,117691.31055530596,8245402.989929552,3309
67,3283,296776.85714285803,10847.785714285717,289212.0714285716,296776.8571428563,0,104878.831137299,8350281.821066851,3730
68,2819,304936.92857142794,10979.071428571422,296776.8571428563,304936.92857142875,0,114863.09585456875,8465144.91692142,3302
69,2225,313691.0000000004,10979.071428571422,304936.92857142875,313690.9999999996,0,89406.59293050051,8554551.509851921,2293
70,3431,320884.47619047615,10624.476190476189,313690.9999999996,320884.4761904758,0,122299.33480223773,8676850.84465416,4140
71,2125,329383.95238095237,10624.476190476189,320884.4761904758,329383.9523809529,0,88180.8599094041,8765031.704563564,2930
72,2940,337218.85714285716,10774.904761904767,329383.9523809529,337218.8571428572,1,98742.09114759958,8863773.795711163,3345
