time_step,low_battery_ratio,low_battery_count,mean_battery_pct
0,0.0,0,98.13130927941283
1,0.0,0,97.55070121349019
2,0.0,0,98.17767803961621
3,0.0,0,98.20501780522017
4,0.0,0,98.60896363242105
5,0.0,0,98.66856541142045
6,0.0,0,98.85944739253601
7,0.0,0,98.93616475874805
8,0.0,0,98.96051726131908
9,0.0,0,98.97799959620892
10,0.0,0,98.23584419335509
11,0.0,0,98.10018391131375
12,0.0,0,96.9646429549766
13,0.0,0,95.18100818095887
14,0.0,0,93.18038414859512
15,0.0,0,91.73235172660326
16,0.0,0,90.56429749635637
17,0.0,0,89.19428539149182
18,9.523809523809524e-05,2,87.0408926019003
19,9.523809523809524e-05,2,84.69106251645003
20,0.00042857142857142855,9,82.79352334991275
21,0.001142857142857143,24,81.32793036047929
22,0.0013333333333333333,28,81.03789303115377
23,0.001380952380952381,29,81.09968652757686
24,0.0010952380952380953,23,80.88249376392223
25,0.002285714285714286,48,80.39529657028127
26,0.002142857142857143,45,78.8395778831116
27,0.0025238095238095237,53,76.76817877947569
28,0.005857142857142857,123,75.07536004296513
29,0.008333333333333333,175,73.6734375516915
30,0.010333333333333333,217,72.93216051926957
31,0.013428571428571429,282,72.15064786957639
32,0.013571428571428571,285,71.97914913208163
33,0.01814285714285714,381,72.05558221704679
34,0.017714285714285714,372,72.91074799842173
35,0.019285714285714285,405,73.83753673514043
36,0.034428571428571426,723,74.68141182130329
37,0.042761904761904765,898,75.1155998728522
38,0.04947619047619048,1039,73.74180296870195
39,0.05728571428571429,1203,71.8655630029849
40,0.06119047619047619,1285,69.32112032159824
41,0.07338095238095238,1541,67.25249088097779
42,0.082,1722,65.02709396805342
43,0.11004761904761905,2311,63.00548255022946
44,0.12223809523809524,2567,61.76019262225974
45,0.15566666666666668,3269,60.819701239137444
46,0.14061904761904762,2953,61.64616867048856
47,0.14004761904761906,2941,62.5528258193786
48,0.10628571428571429,2232,65.95991286097914
49,0.060238095238095236,1265,70.1246783101744
50,0.03557142857142857,747,76.84493276000543
51,0.02666666666666667,560,83.38681397386374
52,0.015571428571428571,327,90.55093316322252
53,0.010047619047619048,211,94.29433736724992
54,0.007285714285714286,153,96.22807920443542
55,0.0074285714285714285,156,96.91017164742748
56,0.0057619047619047615,121,97.16982425511405
57,0.006142857142857143,129,97.34619047693828
58,0.006285714285714286,132,96.71976622621673
59,0.0067619047619047615,142,96.77185762067644
60,0.004428571428571428,93,95.65652126103028
61,0.0034285714285714284,72,94.050868783631
62,0.0027142857142857142,57,92.08453802527076
63,0.0025714285714285713,54,90.23902435260264
64,0.003,63,88.24417268296759
65,0.0034285714285714284,72,85.86424502963844
66,0.005523809523809524,116,82.84564715856197
67,0.006285714285714286,132,79.5643258637642
68,0.007952380952380952,167,77.11891807338695
69,0.006142857142857143,129,75.69706720532412
70,0.005952380952380952,125,75.45837949653803
71,0.004142857142857143,87,75.80489895635124
72,0.004238095238095238,89,75.72626716368369
73,0.0054285714285714284,114,75.29814065599444
74,0.008761904761904762,184,73.67309649833854
75,0.010047619047619048,211,71.49340377343765
76,0.01538095238095238,323,69.8838255981185
77,0.021238095238095236,446,68.5825720978945
78,0.024761904761904763,520,67.97410048693911
79,0.038,798,67.45761641417486
80,0.04461904761904762,937,67.70574222126316
81,0.045714285714285714,960,67.98359408073073
82,0.032,672,69.1479764939381
83,0.026904761904761904,565,70.30507737977435
84,0.024857142857142855,522,71.41023059906003
85,0.027190476190476192,571,72.18447030178606
86,0.034523809523809526,725,71.21807573000913
87,0.04857142857142857,1020,69.59300629093842
88,0.06704761904761905,1408,66.90369426271562
89,0.098,2058,64.80549325632384
90,0.12828571428571428,2694,62.57140823239587
91,0.1500952380952381,3152,60.3569674622565
92,0.15785714285714286,3315,59.40127038848002
93,0.17304761904761906,3634,58.495702894556594
94,0.1449047619047619,3043,59.64247792777009
95,0.15342857142857144,3222,60.571083209352466
96,0.10285714285714286,2160,64.3301012163728
97,0.06438095238095239,1352,68.54698625956077
98,0.034333333333333334,721,75.59905808092097
99,0.023904761904761904,502,82.22128354844236
100,0.015285714285714286,321,89.4212756735384
101,0.012,252,93.49900520479339
102,0.0077619047619047615,163,95.93736725623125
103,0.00842857142857143,177,96.83639709535645
104,0.006142857142857143,129,97.0984543073983
105,0.005857142857142857,123,97.36404904682611
106,0.006,126,96.84859997877682
107,0.005523809523809524,116,96.85268177387918
108,0.0044761904761904765,94,95.6631497021229
109,0.0034285714285714284,72,94.17699422127934
110,0.0030952380952380953,65,92.11851652231847
111,0.0033809523809523808,71,90.28689505684348
112,0.005047619047619047,106,88.50832077166676
113,0.005380952380952381,113,86.70726166606265
114,0.005571428571428572,117,83.50085985275905
115,0.006666666666666667,140,80.52411896668521
116,0.007380952380952381,155,78.11475869040541
117,0.008380952380952381,176,76.58595604413944
118,0.007238095238095238,152,76.1535492447619
119,0.007238095238095238,152,76.31275507711054
120,0.008714285714285714,183,76.27537131578922
121,0.010380952380952381,218,75.90035220761669
122,0.013476190476190477,283,74.28482472295883
123,0.015714285714285715,330,72.02934702321514
124,0.019238095238095238,404,70.4352442143016
125,0.023904761904761904,502,69.19821377959057
126,0.023238095238095238,488,68.56772862980291
127,0.029285714285714286,615,68.25871419958784
128,0.03080952380952381,647,68.60360160355405
129,0.033428571428571426,702,69.08617487218189
130,0.023,483,70.1584894291801
131,0.015857142857142858,333,71.41649599292182
132,0.017095238095238094,359,72.46783970275645
133,0.018095238095238095,380,73.17737120834283
134,0.030523809523809523,641,72.00260775485653
135,0.04823809523809524,1013,70.07857688423921
136,0.07738095238095238,1625,67.43143583655124
137,0.09657142857142857,2028,65.54406974563467
138,0.10438095238095238,2192,63.5778367988164
139,0.12947619047619047,2719,61.369894942890134
140,0.12880952380952382,2705,60.20599324628823
141,0.15004761904761904,3151,59.03957616570573
142,0.14852380952380953,3119,59.7883122095458
143,0.15476190476190477,3250,60.80783515723062
144,0.13071428571428573,2745,63.49767712304976
145,0.11042857142857143,2319,65.72400637494152
146,0.07071428571428572,1485,71.18889684926151
147,0.04938095238095238,1037,76.89385682840124
148,0.02095238095238095,440,84.23130125819276
149,0.013333333333333334,280,89.8471829061645
150,0.012238095238095239,257,93.74856509476137
151,0.012761904761904763,268,95.45679190487242
152,0.012238095238095239,257,96.29108207971376
153,0.011523809523809523,242,96.55766107705342
154,0.009095238095238095,191,96.16618935071848
155,0.010095238095238095,212,96.38642354606881
156,0.006904761904761905,145,95.92411376324672
157,0.005523809523809524,116,95.65588091268268
158,0.004047619047619047,85,94.53754274535324
159,0.002476190476190476,52,93.537771024337
160,0.0025714285714285713,54,91.82021919286471
161,0.002,42,89.42202648670182
