time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
77,24,34.0,28.0,30.0,34.0,0,3879.3015194670575,302152.88307816326,24
78,28,35.0,29.0,34.0,35.0,0,3991.4240396589103,306144.3071178222,28
79,20,40.0,25.0,35.0,40.0,0,3815.045807763693,309959.3529255859,20
80,27,46.0,33.0,40.0,46.0,46,5042.646603471714,315001.9995290576,73
81,70,15.0,39.0,46.0,15.0,0,5488.201425473975,320490.20095453155,70
82,18,35.0,38.0,15.0,35.0,0,3880.706489790343,324370.9074443219,18
83,17,40.0,22.0,35.0,40.0,0,3586.4320821463843,327957.3395264683,17
84,26,39.0,25.0,40.0,39.0,0,3805.4784717900093,331762.81799825834,26
85,28,46.0,35.0,39.0,46.0,0,4015.615826509039,335778.43382476736,28
86,18,46.0,18.0,46.0,46.0,0,3481.7806744600816,339260.2144992274,18
87,27,46.0,27.0,46.0,46.0,0,3892.973875436426,343153.1883746638,27
88,18,52.0,24.0,46.0,52.0,52,5179.551487479838,348332.73986214364,70
89,71,4.0,23.0,52.0,4.0,0,4913.771811570106,353246.51167371374,71
90,20,9.0,25.0,4.0,9.0,0,3611.6949981167413,356858.2066718305,20
91,20,10.0,21.0,9.0,10.0,0,3611.5363919387005,360469.7430637692,20
92,19,11.0,20.0,10.0,11.0,0,3978.299544373129,364448.0426081423,19
93,18,13.0,20.0,11.0,13.0,0,3520.1659774151494,367968.20858555747,18
94,22,14.0,23.0,13.0,14.0,0,3785.0907978010073,371753.29938335845,22
95,8,15.0,9.0,14.0,15.0,0,3198.7513654112317,374952.05074876966,8
96,16,14.0,15.0,15.0,14.0,14,3870.6677990277367,378822.7185477974,30
97,26,3.0,15.0,14.0,3.0,0,3725.8435487417064,382548.5620965391,26
98,7,2.0,6.0,3.0,2.0,0,3169.7409157229285,385718.30301226204,7
99,4,2.0,4.0,2.0,2.0,0,3142.7354591668054,388861.03847142885,4
100,7,2.0,7.0,2.0,2.0,0,3253.260986189515,392114.2994576184,7
101,1,4.0,3.0,2.0,4.0,0,3011.4111791631367,395125.7106367815,1
102,5,4.0,5.0,4.0,4.0,0,3131.622401646932,398257.33303842845,5
103,2,5.0,3.0,4.0,5.0,0,3032.0224815578163,401289.35551998625,2
104,0,8.0,3.0,5.0,8.0,8,3125.074416685049,404414.4299366713,8
105,12,0.0,4.0,8.0,0.0,0,3622.3376446411357,408036.7675813124,12
106,11,2.0,13.0,0.0,2.0,0,3580.8349508902484,411617.60253220267,11
107,14,12.0,24.0,2.0,12.0,0,3886.189021425796,415503.79155362846,14
108,20,23.0,31.0,12.0,23.0,0,3895.9623346529997,419399.75388828147,20
109,22,31.0,30.0,23.0,31.0,0,4295.29889263169,423695.0527809132,22
110,19,44.0,32.0,31.0,44.0,0,3856.1913401877227,427551.2441211009,19
111,16,48.0,20.0,44.0,48.0,0,3832.592893180493,431383.8370142814,16
112,17,55.0,24.0,48.0,55.0,55,4884.681823538619,436268.51883782004,72
113,67,12.0,24.0,55.0,12.0,0,5338.802118247319,441607.32095606736,67
114,23,13.0,24.0,12.0,13.0,0,3884.51976201664,445491.840718084,23
115,22,23.0,32.0,13.0,23.0,0,3706.498084733339,449198.33880281734,22
116,34,26.0,37.0,23.0,26.0,0,4558.5488342125345,453756.88763702987,34
117,22,30.0,26.0,26.0,30.0,0,3613.19819734028,457370.08583437017,22
118,24,33.0,27.0,30.0,33.0,0,3861.6333372473814,461231.71917161753,24
119,31,44.0,42.0,33.0,44.0,0,4274.055051319128,465505.77422293666,31
120,29,49.0,34.0,44.0,49.0,49,5297.181750975875,470802.95597391255,78
121,80,8.0,39.0,49.0,8.0,0,5673.234253127378,476476.1902270399,80
122,30,17.0,39.0,8.0,17.0,0,4005.514306060911,480481.7045331008,30
123,28,27.0,38.0,17.0,27.0,0,4084.991551190419,484566.69608429127,28
124,34,28.0,35.0,27.0,28.0,0,4068.487427221097,488635.18351151235,34
125,31,32.0,35.0,28.0,32.0,0,4122.762440174834,492757.9459516872,31
126,30,34.0,32.0,32.0,34.0,0,3975.0593780704894,496733.00532975764,30
127,29,37.0,32.0,34.0,37.0,0,3944.8801582622714,500677.8854880199,29
128,24,47.0,34.0,37.0,47.0,47,5188.742509176373,505866.6279971963,71
129,64,13.0,30.0,47.0,13.0,0,4920.385368521111,510787.0133657174,64
130,30,19.0,36.0,13.0,19.0,0,4087.200163665626,514874.213529383,30
131,33,22.0,36.0,19.0,22.0,0,4186.237994323859,519060.45152370684,33
132,27,30.0,35.0,22.0,30.0,0,3925.4541551736165,522985.90567888046,27
133,16,31.0,17.0,30.0,31.0,0,3455.13454555201,526441.0402244325,16
134,24,33.0,26.0,31.0,33.0,0,3913.071902660856,530354.1121270934,24
135,17,36.0,20.0,33.0,36.0,0,3503.34656147304,533857.4586885665,17
136,23,46.0,33.0,36.0,46.0,46,5056.743204293447,538914.2018928599,69
137,67,13.0,34.0,46.0,13.0,0,5130.144514450709,544044.3464073106,67
138,25,11.0,23.0,13.0,11.0,0,3809.787889441447,547854.134296752,25
139,16,16.0,21.0,11.0,16.0,0,3610.3440286884943,551464.4783254405,16
140,20,18.0,22.0,16.0,18.0,0,3545.478562600008,555009.9568880405,20
141,32,23.0,37.0,18.0,23.0,0,4389.577700725968,559399.5345887665,32
142,28,20.0,25.0,23.0,20.0,0,3936.6492933593395,563336.1838821259,28
143,17,17.0,14.0,20.0,17.0,0,3428.4225801119505,566764.6064622379,17
144,12,29.0,24.0,17.0,29.0,29,3924.8022815747786,570689.4087438127,41
