time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
198,14,292.0,0.0,399.0
199,6,283.0,0.0,403.0
200,15,278.0,0.0,395.0
201,17,275.0,0.0,385.0
202,11,279.0,0.0,378.0
203,9,279.0,0.0,376.0
204,16,289.0,0.0,372.0
205,14,292.0,0.0,376.0
206,15,293.0,0.0,374.0
207,10,297.0,0.0,383.0
208,6,301.0,0.0,390.0
209,9,309.0,0.0,388.0
210,21,328.0,0.0,380.0
211,22,324.0,0.0,379.0
212,12,327.0,0.0,382.0
213,17,332.0,0.0,375.0
214,22,338.0,0.0,369.0
215,17,339.0,0.0,375.0
216,10,341.0,0.0,384.0
217,11,348.0,0.0,384.0
218,17,359.0,0.0,379.0
219,14,366.0,0.0,381.0
220,13,372.0,0.0,385.0
221,17,379.0,0.0,384.0
222,18,379.0,0.0,385.0
223,21,384.0,0.0,385.0
224,21,396.0,0.0,375.0
225,21,403.0,0.0,372.0
226,22,403.0,0.0,370.0
227,19,394.0,0.0,371.0
228,19,405.0,0.0,363.0
229,10,405.0,0.0,371.0
230,13,411.0,0.0,368.0
231,14,420.0,0.0,366.0
232,18,436.0,0.0,364.0
233,13,437.0,0.0,369.0
234,21,443.0,0.0,366.0
235,14,436.0,0.0,378.0
236,20,442.0,0.0,373.0
237,27,434.0,0.0,364.0
238,17,423.0,0.0,370.0
239,8,414.0,0.0,380.0
240,14,417.0,0.0,378.0
241,14,413.0,0.0,377.0
242,10,407.0,0.0,380.0
243,19,404.0,0.0,370.0
244,12,396.0,0.0,370.0
245,11,391.0,0.0,365.0
246,5,387.0,0.0,367.0
247,12,385.0,0.0,358.0
248,6,377.0,0.0,361.0
249,11,372.0,0.0,356.0
250,4,369.0,0.0,363.0
251,1,376.0,0.0,365.0
252,5,385.0,0.0,366.0
253,6,389.0,0.0,367.0
254,4,395.0,0.0,370.0
255,8,402.0,0.0,371.0
256,11,413.0,0.0,367.0
257,7,415.0,0.0,370.0
258,7,428.0,0.0,373.0
259,9,445.0,0.0,377.0
260,29,480.0,0.0,356.0
261,9,505.0,0.0,372.0
262,25,512.0,0.0,360.0
263,14,521.0,0.0,369.0
264,14,531.0,0.0,372.0
265,15,541.0,0.0,380.0
266,22,566.0,0.0,371.0
267,10,566.0,0.0,383.0
268,23,580.0,0.0,371.0
269,16,603.0,0.0,369.0
270,16,612.0,0.0,370.0
271,15,618.0,0.0,376.0
272,13,635.0,0.0,374.0
273,13,643.0,0.0,371.0
274,13,653.0,0.0,383.0
275,21,663.0,0.0,372.0
276,19,665.0,0.0,375.0
277,12,671.0,0.0,377.0
278,9,674.0,0.0,379.0
279,9,680.0,0.0,380.0
280,16,695.0,0.0,380.0
281,24,695.0,0.0,376.0
282,14,697.0,0.0,380.0
283,16,700.0,0.0,384.0
284,16,703.0,0.0,383.0
285,13,703.0,0.0,381.0
286,25,707.0,0.0,371.0
287,13,690.0,0.0,387.0
288,24,692.0,0.0,373.0
289,17,690.0,0.0,373.0
290,10,677.0,0.0,381.0
291,19,674.0,0.0,371.0
292,12,659.0,0.0,379.0
293,5,646.0,0.0,389.0
294,6,641.0,0.0,388.0
295,7,639.0,0.0,383.0
296,5,633.0,0.0,385.0
297,13,631.0,0.0,379.0
298,8,624.0,0.0,385.0
299,14,643.0,0.0,385.0
300,17,663.0,0.0,383.0
301,14,687.0,0.0,380.0
302,12,709.0,0.0,378.0
303,5,711.0,0.0,392.0
304,8,739.0,0.0,398.0
305,16,765.0,0.0,393.0
306,14,780.0,0.0,400.0
307,20,795.0,0.0,394.0
308,15,797.0,0.0,407.0
309,32,814.0,0.0,396.0
310,14,809.0,0.0,413.0
311,19,826.0,0.0,413.0
312,16,840.0,0.0,416.0
313,11,846.0,0.0,421.0
314,25,856.0,0.0,418.0
315,27,857.0,0.0,423.0
316,12,864.0,0.0,436.0
317,14,872.0,0.0,445.0
318,20,888.0,0.0,450.0
319,21,884.0,0.0,464.0
320,21,897.0,0.0,467.0
321,41,905.0,0.0,451.0
322,34,896.0,0.0,454.0
323,28,892.0,0.0,446.0
324,33,884.0,0.0,441.0
325,40,875.0,0.0,430.0
326,27,851.0,0.0,452.0
327,37,853.0,0.0,440.0
328,33,846.0,0.0,434.0
329,10,839.0,0.0,451.0
330,19,848.0,0.0,447.0
331,28,859.0,0.0,438.0
332,24,859.0,0.0,435.0
333,9,857.0,0.0,450.0
334,12,860.0,0.0,451.0
335,16,859.0,0.0,449.0
336,23,856.0,0.0,440.0
337,22,843.0,0.0,438.0
338,26,830.0,0.0,433.0
339,21,825.0,0.0,428.0
340,17,815.0,0.0,426.0
341,37,803.0,0.0,405.0
342,21,784.0,0.0,406.0
343,22,767.0,0.0,402.0
344,18,738.0,0.0,415.0
345,19,719.0,0.0,417.0
346,9,710.0,0.0,427.0
347,12,716.0,0.0,427.0
348,12,732.0,0.0,428.0
349,12,758.0,0.0,432.0
350,9,776.0,0.0,441.0
351,17,792.0,0.0,439.0
352,26,796.0,0.0,436.0
353,16,807.0,0.0,446.0
354,17,823.0,0.0,445.0
355,13,836.0,0.0,449.0
356,18,847.0,0.0,449.0
357,19,862.0,0.0,450.0
358,40,866.0,0.0,430.0
359,34,860.0,0.0,434.0
360,17,851.0,0.0,455.0
361,19,858.0,0.0,458.0
362,29,875.0,0.0,447.0
363,30,871.0,0.0,444.0
364,49,873.0,0.0,424.0
365,33,862.0,0.0,431.0
366,24,859.0,0.0,439.0
367,41,862.0,0.0,428.0
368,20,846.0,0.0,448.0
369,16,842.0,0.0,459.0
370,22,847.0,0.0,465.0
371,26,859.0,0.0,461.0
372,24,860.0,0.0,461.0
373,24,855.0,0.0,461.0
374,20,853.0,0.0,466.0
375,20,853.0,0.0,464.0
376,45,872.0,0.0,441.0
377,39,861.0,0.0,440.0
378,32,842.0,0.0,447.0
379,28,848.0,0.0,444.0
380,38,851.0,0.0,433.0
381,26,838.0,0.0,443.0
382,11,827.0,0.0,456.0
383,26,826.0,0.0,446.0
384,22,817.0,0.0,451.0
385,24,807.0,0.0,448.0
386,15,805.0,0.0,447.0
387,22,797.0,0.0,436.0
388,13,781.0,0.0,442.0
389,9,775.0,0.0,442.0
390,16,769.0,0.0,432.0
391,8,761.0,0.0,432.0
392,12,755.0,0.0,426.0
393,7,751.0,0.0,427.0
394,18,748.0,0.0,417.0
395,9,753.0,0.0,420.0
396,9,777.0,0.0,420.0
397,14,788.0,0.0,419.0
398,16,800.0,0.0,422.0
399,9,808.0,0.0,433.0
400,15,810.0,0.0,436.0
401,14,821.0,0.0,436.0
402,22,839.0,0.0,436.0
403,15,847.0,0.0,441.0
404,21,856.0,0.0,438.0
405,16,855.0,0.0,451.0
406,22,860.0,0.0,455.0
407,25,876.0,0.0,449.0
408,30,883.0,0.0,444.0
409,25,883.0,0.0,458.0
410,29,888.0,0.0,457.0
411,27,908.0,0.0,452.0
412,28,902.0,0.0,455.0
413,49,916.0,0.0,433.0
414,24,895.0,0.0,455.0
415,48,899.0,0.0,434.0
416,32,894.0,0.0,452.0
417,38,901.0,0.0,445.0
418,24,893.0,0.0,454.0
419,34,878.0,0.0,453.0
420,28,872.0,0.0,458.0
421,14,865.0,0.0,473.0
422,39,889.0,0.0,454.0
423,25,883.0,0.0,468.0
424,24,877.0,0.0,471.0
425,28,878.0,0.0,468.0
426,30,873.0,0.0,463.0
427,25,865.0,0.0,474.0
428,33,866.0,0.0,472.0
429,33,852.0,0.0,478.0
430,24,841.0,0.0,493.0
431,14,821.0,0.0,515.0
432,42,803.0,0.0,506.0
433,15,763.0,0.0,539.0
434,37,741.0,0.0,537.0
435,28,708.0,0.0,550.0
436,33,671.0,0.0,557.0
437,37,639.0,0.0,555.0
438,33,605.0,0.0,557.0
439,38,575.0,0.0,550.0
440,25,550.0,0.0,550.0
441,31,524.0,0.0,548.0
442,40,522.0,0.0,518.0
443,72,495.0,0.0,486.0
444,83,489.0,0.0,445.0
445,67,446.0,0.0,451.0
446,43,433.0,0.0,446.0
447,47,425.0,0.0,429.0
448,23,431.0,0.0,419.0
449,46,454.0,0.0,388.0
450,33,444.0,0.0,391.0
451,43,449.0,0.0,367.0
452,27,455.0,0.0,363.0
453,17,464.0,0.0,360.0
454,16,465.0,0.0,370.0
455,19,461.0,0.0,411.0
456,15,437.0,0.0,458.0
457,28,424.0,0.0,485.0
458,24,427.0,0.0,501.0
459,27,430.0,0.0,504.0
460,32,441.0,0.0,505.0
461,41,457.0,0.0,497.0
462,52,466.0,0.0,472.0
463,29,452.0,0.0,489.0
464,26,469.0,0.0,485.0
465,27,470.0,0.0,493.0
466,21,469.0,0.0,499.0
467,33,473.0,0.0,484.0
468,27,464.0,0.0,493.0
469,36,463.0,0.0,486.0
470,43,459.0,0.0,482.0
471,35,436.0,0.0,493.0
472,35,431.0,0.0,491.0
473,36,427.0,0.0,495.0
474,25,419.0,0.0,506.0
475,20,414.0,0.0,512.0
476,26,413.0,0.0,511.0
477,28,414.0,0.0,509.0
478,27,408.0,0.0,507.0
479,31,403.0,0.0,500.0
480,29,399.0,0.0,492.0
481,26,388.0,0.0,492.0
482,22,389.0,0.0,491.0
483,18,384.0,0.0,489.0
484,4,377.0,0.0,497.0
485,10,380.0,0.0,492.0
486,6,379.0,0.0,490.0
487,8,375.0,0.0,487.0
488,5,375.0,0.0,486.0
489,7,374.0,0.0,484.0
490,5,374.0,0.0,488.0
491,13,382.0,0.0,485.0
492,14,386.0,0.0,486.0
493,10,396.0,0.0,491.0
494,17,411.0,0.0,492.0
495,26,431.0,0.0,492.0
496,16,438.0,0.0,496.0
497,9,437.0,0.0,503.0
498,14,450.0,0.0,506.0
499,24,466.0,0.0,502.0
500,19,462.0,0.0,516.0
501,17,471.0,0.0,519.0
502,25,484.0,0.0,508.0
503,29,489.0,0.0,504.0
504,19,491.0,0.0,513.0
505,25,505.0,0.0,509.0
506,41,534.0,0.0,489.0
507,41,527.0,0.0,492.0
508,17,515.0,0.0,528.0
509,23,522.0,0.0,532.0
510,26,535.0,0.0,530.0
511,43,541.0,0.0,508.0
512,36,534.0,0.0,511.0
513,38,526.0,0.0,509.0
514,29,548.0,0.0,512.0
515,18,555.0,0.0,521.0
516,39,560.0,0.0,504.0
517,33,564.0,0.0,498.0
518,19,565.0,0.0,499.0
519,26,564.0,0.0,490.0
520,29,569.0,0.0,481.0
521,33,569.0,0.0,482.0
522,36,561.0,0.0,487.0
523,26,554.0,0.0,494.0
524,16,551.0,0.0,500.0
525,24,553.0,0.0,495.0
526,17,549.0,0.0,506.0
527,19,550.0,0.0,506.0
528,18,546.0,0.0,508.0
529,18,541.0,0.0,510.0
530,17,533.0,0.0,514.0
531,12,528.0,0.0,518.0
532,19,530.0,0.0,507.0
533,10,515.0,0.0,518.0
534,12,510.0,0.0,514.0
535,5,508.0,0.0,516.0
536,6,513.0,0.0,513.0
537,10,510.0,0.0,510.0
538,6,509.0,0.0,513.0
539,12,510.0,0.0,510.0
540,5,521.0,0.0,510.0
541,9,528.0,0.0,509.0
542,4,533.0,0.0,514.0
543,15,541.0,0.0,507.0
544,12,550.0,0.0,516.0
545,13,565.0,0.0,514.0
546,15,584.0,0.0,515.0
547,18,599.0,0.0,514.0
548,11,600.0,0.0,519.0
549,11,608.0,0.0,523.0
550,15,625.0,0.0,524.0
551,23,637.0,0.0,523.0
552,31,644.0,0.0,515.0
553,39,640.0,0.0,514.0
554,30,640.0,0.0,521.0
555,19,653.0,0.0,530.0
556,21,659.0,0.0,534.0
557,39,680.0,0.0,517.0
558,45,669.0,0.0,514.0
559,38,663.0,0.0,512.0
560,22,643.0,0.0,539.0
561,36,646.0,0.0,539.0
562,32,639.0,0.0,542.0
563,47,628.0,0.0,536.0
564,40,613.0,0.0,542.0
565,45,605.0,0.0,525.0
566,27,603.0,0.0,521.0
567,58,604.0,0.0,491.0
568,44,572.0,0.0,500.0
569,31,523.0,0.0,544.0
570,29,507.0,0.0,550.0
571,33,499.0,0.0,551.0
572,27,492.0,0.0,554.0
573,22,482.0,0.0,567.0
574,38,481.0,0.0,549.0
575,21,460.0,0.0,557.0
576,27,451.0,0.0,559.0
577,58,438.0,0.0,524.0
578,20,435.0,0.0,520.0
579,16,394.0,0.0,547.0
580,20,385.0,0.0,543.0
581,18,377.0,0.0,539.0
582,16,365.0,0.0,537.0
583,31,347.0,0.0,525.0
584,23,326.0,0.0,525.0
585,17,307.0,0.0,531.0
586,17,284.0,0.0,544.0
587,6,286.0,0.0,558.0
588,17,301.0,0.0,565.0
589,13,318.0,0.0,570.0
590,20,333.0,0.0,568.0
591,24,330.0,0.0,567.0
592,28,340.0,0.0,556.0
593,26,343.0,0.0,553.0
594,37,348.0,0.0,544.0
595,25,339.0,0.0,569.0
596,20,340.0,0.0,574.0
597,34,352.0,0.0,559.0
598,29,348.0,0.0,557.0
599,43,354.0,0.0,545.0
600,34,353.0,0.0,549.0
601,27,349.0,0.0,558.0
602,30,379.0,0.0,561.0
603,28,388.0,0.0,566.0
604,29,392.0,0.0,563.0
