time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
77,7,948.0,28.0,927.0,948.0,162,5097.13068069216,413154.53833626694,169
78,7,970.0,29.0,948.0,970.0,177,5304.601751287265,418459.14008755423,184
79,6,989.0,25.0,970.0,989.0,190,5381.5389152150055,423840.67900276923,196
80,4,1018.0,33.0,989.0,1018.0,171,5161.114813026992,429001.7938157962,175
81,9,1048.0,39.0,1018.0,1048.0,172,5230.343082906637,434232.1368987028,181
82,18,1068.0,38.0,1048.0,1068.0,182,5450.00883871984,439682.1457374227,200
83,4,1086.0,22.0,1068.0,1086.0,184,5338.950632195191,445021.09636961785,188
84,7,1104.0,25.0,1086.0,1104.0,159,5016.3590845919725,450037.4554542098,166
85,5,1134.0,35.0,1104.0,1134.0,199,5524.530197388613,455561.9856515984,204
86,5,1147.0,18.0,1134.0,1147.0,170,5126.99635833138,460688.98200992984,175
87,6,1168.0,27.0,1147.0,1168.0,185,5357.046604230007,466046.02861415985,191
88,5,1187.0,24.0,1168.0,1187.0,188,5448.646470267494,471494.67508442735,193
89,3,1207.0,23.0,1187.0,1207.0,177,5181.931313527342,476676.6063979547,180
90,1,1231.0,25.0,1207.0,1231.0,190,5321.072817314418,481997.6792152691,191
91,7,1245.0,21.0,1231.0,1245.0,172,5195.784207692948,487193.46342296206,179
92,5,1260.0,20.0,1245.0,1260.0,184,5321.160340736836,492514.6237636989,189
93,7,1273.0,20.0,1260.0,1273.0,175,5223.767458312663,497738.3912220116,182
94,3,1293.0,23.0,1273.0,1293.0,189,5376.835287100402,503115.226509112,192
95,4,1298.0,9.0,1293.0,1298.0,188,5347.875263705748,508463.1017728177,192
96,2,1311.0,15.0,1298.0,1311.0,185,5284.6696746967755,513747.7714475145,187
97,6,1320.0,15.0,1311.0,1320.0,176,5230.887559953042,518978.6590074675,182
98,4,1322.0,6.0,1320.0,1322.0,187,5330.623413105022,524309.2824205725,191
99,4,1322.0,4.0,1322.0,1322.0,176,5202.863382970587,529512.145803543,180
100,2,1327.0,7.0,1322.0,1327.0,182,5243.277517646514,534755.4233211896,184
101,10,1320.0,3.0,1327.0,1320.0,201,5690.896720267664,540446.3200414573,211
102,1,1324.0,5.0,1320.0,1324.0,164,4969.347663973822,545415.6677054311,165
103,3,1324.0,3.0,1324.0,1324.0,200,5506.620212302065,550922.2879177332,203
104,3,1324.0,3.0,1324.0,1324.0,187,5304.098576996721,556226.3864947299,190
105,2,1326.0,4.0,1324.0,1326.0,178,5181.633397179121,561408.019891909,180
106,5,1334.0,13.0,1326.0,1334.0,182,5347.916881569072,566755.936773478,187
107,2,1356.0,24.0,1334.0,1356.0,191,5310.265480834876,572066.2022543129,193
108,2,1385.0,31.0,1356.0,1385.0,191,5363.175376730155,577429.3776310431,193
109,1,1414.0,30.0,1385.0,1414.0,169,5046.100755597334,582475.4783866404,170
110,4,1442.0,32.0,1414.0,1442.0,196,5449.287996154458,587924.766382795,200
111,1,1461.0,20.0,1442.0,1461.0,180,5194.101321327087,593118.867704122,181
112,7,1478.0,24.0,1461.0,1478.0,184,5382.731601701196,598501.5993058232,191
113,4,1498.0,24.0,1478.0,1498.0,200,5474.2998718118215,603975.8991776351,204
114,4,1518.0,24.0,1498.0,1518.0,179,5237.437505575133,609213.3366832102,183
115,2,1548.0,32.0,1518.0,1548.0,169,5089.30544906365,614302.6421322739,171
116,8,1577.0,37.0,1548.0,1577.0,191,5413.132843011841,619715.7749752857,199
117,5,1598.0,26.0,1577.0,1598.0,186,5346.572082935485,625062.3470582212,191
118,5,1620.0,27.0,1598.0,1620.0,164,5075.887371271899,630138.2344294931,169
119,4,1658.0,42.0,1620.0,1658.0,213,5645.229556664135,635783.4639861572,217
120,5,1687.0,34.0,1658.0,1687.0,182,5247.352529565138,641030.8165157223,187
121,5,1721.0,39.0,1687.0,1721.0,172,5180.840005022186,646211.6565207446,177
122,4,1756.0,39.0,1721.0,1756.0,200,5455.221084068609,651666.8776048132,204
123,2,1792.0,38.0,1756.0,1792.0,179,5174.262687525041,656841.1402923382,181
124,8,1819.0,35.0,1792.0,1819.0,161,5091.968558715739,661933.108851054,169
125,8,1846.0,35.0,1819.0,1846.0,203,5582.101904762952,667515.2107558169,211
126,6,1872.0,32.0,1846.0,1872.0,197,5494.140792701171,673009.351548518,203
127,6,1898.0,32.0,1872.0,1898.0,132,4658.472383250502,677667.8239317685,138
128,6,1926.0,34.0,1898.0,1926.0,229,5880.992333669517,683548.8162654381,235
129,2,1954.0,30.0,1926.0,1954.0,177,5154.676405144204,688703.4926705823,179
130,8,1982.0,36.0,1954.0,1982.0,149,4934.308045811438,693637.8007163937,157
131,5,2013.0,36.0,1982.0,2013.0,228,5824.595378781953,699462.3960951756,233
132,3,2045.0,35.0,2013.0,2045.0,170,5074.875320644616,704537.2714158202,173
133,7,2055.0,17.0,2045.0,2055.0,152,4969.839582264407,709507.1109980847,159
134,12,2069.0,26.0,2055.0,2069.0,218,5804.083348914697,715311.1943469994,230
135,0,2089.0,20.0,2069.0,2089.0,174,5089.504786451328,720400.6991334507,174
