grid_id,real_demand,served_veh5,service_rate_veh5,served_veh10,service_rate_veh10,served_veh20,service_rate_veh20,served_veh40,service_rate_veh40,served_veh80,service_rate_veh80
217,62.0,6.0,0.0967741935483871,6.0,0.0967741935483871,6.0,0.0967741935483871,6.0,0.0967741935483871,6.0,0.0967741935483871
882,15277.0,2514.0,0.1645611049289782,3010.0,0.19702821234535575,3721.0,0.24356876350068732,3651.0,0.2389867120507953,4373.0,0.28624729986253844
1276,7227.0,1299.0,0.1797426317974263,1498.0,0.20727826207278263,1878.0,0.25985886259858865,1849.0,0.25584613255846134,1900.0,0.26290300262903005
917,1422.0,595.0,0.4184247538677918,642.0,0.45147679324894513,662.0,0.46554149085794655,682.0,0.47960618846694797,717.0,0.5042194092827004
855,1952.0,397.0,0.2033811475409836,440.0,0.22540983606557377,461.0,0.23616803278688525,458.0,0.2346311475409836,461.0,0.23616803278688525
931,8484.0,1678.0,0.1977840641206978,1959.0,0.2309052333804809,2313.0,0.27263083451202264,2394.0,0.28217821782178215,2760.0,0.32531824611032534
1182,3839.0,1271.0,0.33107580098984113,1450.0,0.37770252669966137,1670.0,0.435009116957541,1685.0,0.4389163844751237,1658.0,0.4318833029434749
708,6299.0,1451.0,0.23035402444832512,1872.0,0.297190030163518,2027.0,0.3217971106524845,2196.0,0.3486267661533577,2340.0,0.3714875377043975
508,544.0,242.0,0.44485294117647056,225.0,0.41360294117647056,242.0,0.44485294117647056,255.0,0.46875,256.0,0.47058823529411764
834,16963.0,2356.0,0.1388905264398986,3076.0,0.18133584861168425,3954.0,0.23309556092672287,4264.0,0.25137063019513056,4296.0,0.25325708895832105
359,992.0,398.0,0.4012096774193548,416.0,0.41935483870967744,471.0,0.4747983870967742,472.0,0.47580645161290325,471.0,0.4747983870967742
1435,782.0,215.0,0.2749360613810742,257.0,0.32864450127877237,264.0,0.3375959079283887,264.0,0.3375959079283887,264.0,0.3375959079283887
885,10013.0,2129.0,0.21262358933386596,2466.0,0.2462798362129232,2819.0,0.2815340057924698,2783.0,0.2779386797163687,3083.0,0.3078997303505443
659,3894.0,1023.0,0.2627118644067797,1106.0,0.2840267077555213,1512.0,0.3882896764252696,1486.0,0.38161273754494096,1574.0,0.4042116076014381
1091,3147.0,1095.0,0.3479504289799809,1314.0,0.41754051477597715,1418.0,0.4505878614553543,1444.0,0.4588496981251986,1429.0,0.45408325389259613
1398,6611.0,692.0,0.10467402813492664,758.0,0.11465738919981848,863.0,0.13054000907578278,848.0,0.12827106337921645,850.0,0.12857358947209196
1102,5242.0,1621.0,0.3092331171308661,1908.0,0.36398321251430754,2031.0,0.38744753910721097,2077.0,0.39622281571919116,2146.0,0.4093857306371614
566,726.0,405.0,0.5578512396694215,418.0,0.5757575757575758,454.0,0.6253443526170799,454.0,0.6253443526170799,454.0,0.6253443526170799
849,5244.0,1191.0,0.22711670480549198,1248.0,0.2379862700228833,1458.0,0.2780320366132723,1470.0,0.2803203661327231,1682.0,0.32074752097635395
1296,100.0,13.0,0.13,18.0,0.18,24.0,0.24,24.0,0.24,24.0,0.24
196,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,4876.0,1082.0,0.22190319934372438,1229.0,0.25205086136177196,1354.0,0.2776866283839213,1333.0,0.27337981952420015,1408.0,0.2887612797374898
535,4030.0,900.0,0.22332506203473945,1172.0,0.29081885856079404,1293.0,0.3208436724565757,1412.0,0.35037220843672456,1432.0,0.3553349875930521
1013,6180.0,1492.0,0.24142394822006472,1703.0,0.27556634304207117,1991.0,0.322168284789644,1912.0,0.3093851132686084,2073.0,0.3354368932038835
783,21875.0,4498.0,0.20562285714285714,6316.0,0.2887314285714286,8226.0,0.37604571428571426,8479.0,0.38761142857142855,9075.0,0.41485714285714287
672,2219.0,661.0,0.2978819287967553,755.0,0.3402433528616494,782.0,0.35241099594411895,792.0,0.35691753041910773,784.0,0.35331230283911674
1370,739.0,89.0,0.12043301759133965,110.0,0.14884979702300405,120.0,0.16238159675236807,140.0,0.18944519621109607,180.0,0.2435723951285521
965,8943.0,1865.0,0.20854299452085429,2349.0,0.26266353572626633,2870.0,0.32092139103209216,2630.0,0.29408475902940845,3190.0,0.35670356703567035
1068,2197.0,689.0,0.3136094674556213,745.0,0.33909877105143377,768.0,0.34956759217114247,758.0,0.3450159308147474,762.0,0.34683659535730543
1229,5097.0,1405.0,0.2756523445163822,1634.0,0.32058073376495977,1872.0,0.36727486756915834,1842.0,0.3613890523837551,1886.0,0.37002158132234647
