time_step,172,925,1232,873,856,973,1140,794,464,834,402,1478,928,702,1004,1399,1058,525,850,1213,200,1105,579,1011,783,714,1412,967,1067,1187
0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1,11,4,8,13,10,2,11,14,9,8,10,11,10,9,11,10,11,10,9,10,10,9,11,15,12,11,11,9,10,11
2,12,4,7,14,10,0,8,13,9,5,11,11,9,8,11,12,8,10,10,10,10,11,10,16,12,11,11,13,10,14
3,12,5,5,14,10,0,10,15,9,5,11,11,3,8,11,12,10,10,11,11,10,11,10,16,12,11,11,13,10,13
4,12,3,5,15,10,0,10,14,9,4,11,11,4,8,12,12,10,11,11,11,10,11,10,16,12,13,11,9,10,15
5,12,4,5,16,10,1,10,16,9,3,11,11,4,8,11,12,12,11,10,11,10,11,10,17,12,13,11,5,10,14
6,12,1,5,18,10,0,10,16,9,2,11,11,1,8,12,12,11,11,11,11,10,11,10,21,12,13,11,5,10,15
7,12,0,5,18,10,0,10,16,9,2,11,11,1,8,12,12,11,11,11,11,10,11,10,23,12,13,11,4,10,15
8,12,0,5,18,10,0,10,16,9,2,11,11,0,8,12,12,11,11,11,11,10,11,10,24,12,13,11,4,10,15
9,12,0,5,18,10,0,10,17,9,1,11,11,0,8,12,12,11,11,11,11,10,11,10,25,12,13,11,3,10,15
10,12,0,5,18,10,0,9,17,9,1,11,11,0,8,12,12,11,11,11,11,10,11,10,24,12,13,11,5,10,15
11,12,1,4,17,10,0,8,14,9,0,10,11,1,8,11,13,12,11,11,10,10,11,10,22,22,13,11,4,10,14
12,12,4,5,16,10,0,4,14,9,0,9,10,0,5,10,12,9,11,11,9,10,10,9,21,43,12,11,3,8,13
13,12,1,5,15,9,1,0,12,9,0,9,10,3,3,8,7,7,7,11,9,10,8,5,24,70,12,9,2,8,14
14,12,4,7,10,6,8,0,9,8,1,8,9,2,0,7,4,7,7,10,7,10,8,2,20,96,11,9,1,6,11
15,12,8,7,7,4,4,1,5,5,3,5,8,5,0,5,4,6,6,12,6,10,7,3,16,117,11,9,2,5,7
16,11,9,3,5,3,12,3,3,6,6,4,8,3,0,5,4,4,6,12,5,10,8,4,11,129,9,7,2,4,4
17,11,8,3,7,1,16,3,2,5,3,3,8,3,2,1,3,2,5,16,3,10,6,3,2,145,8,6,9,3,3
18,11,1,2,3,1,19,1,2,5,6,3,6,5,2,3,4,1,5,25,3,9,4,0,12,151,8,6,0,0,2
19,11,11,1,1,2,21,0,1,5,6,2,6,11,1,0,2,2,5,27,3,9,4,0,3,151,8,5,2,0,0
20,11,10,3,0,2,22,1,6,2,3,2,6,8,1,1,1,4,5,27,2,9,4,0,10,146,8,5,0,0,1
21,11,3,1,0,2,16,1,0,2,6,1,5,7,0,0,0,7,6,34,2,9,5,0,4,156,6,5,9,0,2
22,11,3,1,1,2,15,2,6,2,4,0,5,2,1,3,1,3,6,35,2,9,2,1,19,147,5,6,0,0,6
23,11,7,3,3,2,10,2,1,2,1,0,4,11,0,1,0,3,5,35,1,9,2,0,6,157,5,6,11,0,2
24,11,9,5,0,3,10,2,0,2,2,2,4,6,2,3,1,5,5,35,1,9,3,4,9,156,3,6,0,1,1
25,11,4,7,4,3,8,1,6,4,1,0,4,6,0,0,0,1,5,41,0,9,1,1,4,160,3,6,5,2,3
26,11,2,0,0,3,10,5,1,4,5,0,5,6,5,1,1,1,5,36,1,9,2,4,0,169,4,6,2,2,0
27,11,11,1,0,2,4,0,3,5,3,0,5,4,1,2,0,1,6,35,0,9,0,1,5,171,3,6,7,0,4
28,11,6,0,1,2,6,0,0,5,1,1,5,2,4,1,0,0,7,32,0,9,1,2,14,167,2,7,11,0,3
29,11,5,0,0,1,4,0,5,5,11,2,5,17,1,1,0,4,8,26,0,9,1,0,0,170,4,7,0,1,2
30,11,10,1,0,2,16,2,11,6,0,1,5,7,1,1,0,0,9,20,0,9,0,0,6,163,1,7,7,0,4
31,11,10,0,0,2,17,1,3,7,13,0,5,1,0,1,1,2,9,13,0,9,0,2,3,176,2,8,1,1,2
32,12,4,4,4,3,15,3,1,7,2,0,5,13,0,1,2,3,8,3,1,9,1,1,15,173,0,6,3,0,1
33,12,19,6,2,3,4,2,7,7,6,2,5,2,1,1,2,1,9,1,0,9,1,0,25,161,2,6,3,1,0
34,12,1,4,1,3,2,4,6,6,2,1,5,0,4,1,2,7,10,0,1,9,3,2,15,162,2,6,25,2,2
35,12,23,6,2,4,3,5,3,5,7,1,5,6,1,3,1,3,10,1,1,9,0,1,11,163,4,6,2,2,0
36,14,8,2,3,4,9,4,26,5,5,1,6,7,0,1,1,1,10,0,0,9,5,2,3,159,3,6,3,0,3
