scenario,N_trip,Service rate,Big-picture rate,Wait (bins),Wait (min),Energy/served trip (%batt),Charging util.,Aircraft util.
Full demand (100%),4092340.666666667,0.8965693757316593,0.9997461925212808,0.1150742665965412,3.452227997896236,6.424053294770924,0.08665219047619044,0.5328066666666667
Threshold (binary filter),1017108.0833333336,0.8113108751946598,0.9995279918219112,0.2317256621460404,6.9517698643812125,10.631645012256051,0.021298857142857095,0.13952599999999998
Logit scale=10,986398.9384147412,0.8133393107913931,0.9995327058892806,0.2281843510906662,6.8455305327199865,7.9615906793972,0.015294285714285665,0.13896742857142858
Logit scale=30,1308166.327525373,0.847812174618203,0.999651170102936,0.17870581689097925,5.361174506729378,7.094133664213472,0.019179714285714237,0.1728637142857143
Logit scale=60,1581369.1262028185,0.8662801870964659,0.9997001799295544,0.15370530135683608,4.611159040705083,6.714949093232478,0.022044476190476146,0.2063952380952381
Logit scale=100,1744980.7994910197,0.8733187842573745,0.9997204556685312,0.14432545525273177,4.329763657581953,6.577941797136194,0.02494209523809519,0.22889266666666666
