grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,283126.7142857428,261471.7142857109,21655.00000003187,0.0764851881061876
925,2473777.4285714105,1680591.428571394,793186.0000000165,0.3206375767031216
1232,2527051.9285713052,1979640.9285713981,547410.9999999071,0.21662040016304357
873,1956279.499999963,1627681.4999999977,328597.9999999653,0.16797088555084871
856,1284660.2142856754,1133317.2142857325,151342.99999994296,0.11780780498763711
973,2360966.714285726,1716242.7142857455,644723.9999999807,0.27307627680597435
1140,2314835.857142878,1716592.857142814,598243.0000000643,0.2584386267190689
794,2563023.142857181,1749701.1428571742,813322.0000000068,0.3173291674195887
464,981967.2142857153,870350.2142857178,111616.99999999744,0.1136667277442535
834,1745452.9999999432,1133446.9999999956,612005.9999999476,0.35062874795251864
402,1526306.357142871,1221311.3571428296,304995.00000004144,0.19982554522734794
1478,1008305.3571428574,836157.3571428616,172147.9999999958,0.17073002615774635
928,2183937.4285714305,1365013.4285714328,818923.9999999977,0.37497594449657695
702,1669150.5714286615,1201614.5714285416,467536.0000001199,0.2801041487826625
1004,1189860.1428571518,822381.1428571538,367478.999999998,0.3088421796511219
1399,1658594.1428571467,1258113.142857129,400481.0000000177,0.24145810578478016
1058,1528719.4285714848,1111789.4285714442,416930.0000000405,0.2727315373950874
525,818105.928571457,660080.9285714338,158025.00000002328,0.1931595829845165
850,1948128.9999999444,1507629.9999999707,440498.9999999737,0.22611387644246672
1213,412850.78571427846,313118.7857142821,99731.99999999639,0.2415691175867542
200,326780.14285715553,286803.1428571422,39977.00000001333,0.12233607480087418
1105,1218479.07142855,863699.0714285832,354779.9999999667,0.29116626482884206
579,1434251.2142856847,942881.2142857228,491369.99999996193,0.34259688617010103
1011,1248300.7857142563,788628.7857142801,459671.99999997625,0.36823817245052826
783,2377542.0714285797,2029314.0714286237,348227.999999956,0.14646554699691108
714,1172159.7142857548,808440.7142857515,363719.0000000034,0.3102981578083259
1412,566095.0000000065,483176.0000000028,82919.00000000373,0.1464754149038638
967,980087.5000000251,541166.4999999802,438921.00000004494,0.44783858584058434
1067,1034354.4285714063,770894.4285714224,263459.99999998393,0.2547095973319904
1187,1109211.8571428936,692666.8571428669,416545.00000002666,0.3755324082749735
