time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
198,10,477.0,0.0,374.0
199,9,470.0,0.0,373.0
200,5,463.0,0.0,377.0
201,5,462.0,0.0,377.0
202,8,466.0,0.0,373.0
203,11,465.0,0.0,370.0
204,6,472.0,0.0,379.0
205,8,483.0,0.0,381.0
206,5,485.0,0.0,388.0
207,11,501.0,0.0,384.0
208,7,507.0,0.0,388.0
209,11,512.0,0.0,387.0
210,12,532.0,0.0,387.0
211,14,536.0,0.0,386.0
212,11,541.0,0.0,388.0
213,11,544.0,0.0,389.0
214,12,555.0,0.0,388.0
215,9,565.0,0.0,393.0
216,13,576.0,0.0,390.0
217,8,584.0,0.0,392.0
218,13,598.0,0.0,388.0
219,11,611.0,0.0,387.0
220,15,621.0,0.0,385.0
221,12,631.0,0.0,386.0
222,10,638.0,0.0,388.0
223,12,651.0,0.0,389.0
224,13,662.0,0.0,388.0
225,9,671.0,0.0,395.0
226,15,679.0,0.0,392.0
227,16,673.0,0.0,393.0
228,18,683.0,0.0,387.0
229,17,685.0,0.0,386.0
230,10,690.0,0.0,387.0
231,13,698.0,0.0,387.0
232,15,715.0,0.0,387.0
233,16,719.0,0.0,386.0
234,15,728.0,0.0,386.0
235,19,724.0,0.0,390.0
236,9,726.0,0.0,400.0
237,27,726.0,0.0,383.0
238,16,716.0,0.0,389.0
239,7,706.0,0.0,401.0
240,11,709.0,0.0,402.0
241,10,707.0,0.0,403.0
242,14,707.0,0.0,396.0
243,13,708.0,0.0,388.0
244,8,703.0,0.0,389.0
245,10,697.0,0.0,386.0
246,8,693.0,0.0,385.0
247,5,685.0,0.0,389.0
248,12,681.0,0.0,382.0
249,11,671.0,0.0,382.0
250,9,671.0,0.0,381.0
251,0,674.0,0.0,388.0
252,5,685.0,0.0,387.0
253,16,690.0,0.0,377.0
254,4,685.0,0.0,391.0
255,19,693.0,0.0,380.0
256,10,698.0,0.0,383.0
257,6,701.0,0.0,386.0
258,14,716.0,0.0,380.0
259,9,729.0,0.0,388.0
260,6,764.0,0.0,390.0
261,15,807.0,0.0,382.0
262,20,808.0,0.0,381.0
263,13,821.0,0.0,387.0
264,12,833.0,0.0,390.0
265,5,849.0,0.0,402.0
266,32,877.0,0.0,380.0
267,7,884.0,0.0,388.0
268,10,899.0,0.0,388.0
