grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,6717537.928571703,6705057.928571438,12480.000000264496,0.0018578235259652668
925,393370684.7857108,393155518.7857109,215165.9999999404,0.0005469802614222571
1232,294319884.8571368,294194054.8571445,125829.999992311,0.00042752802806167526
873,164066063.35713726,163976587.35714224,89475.99999502301,0.0005453656787037829
856,76001909.1428594,75960898.1428605,41010.999998897314,0.0005396048660015854
973,320161476.21427566,319974464.21428055,187011.99999511242,0.0005841177464772501
1140,294595899.6428515,294428653.6428559,167245.99999558926,0.00056771326484295
794,424035505.2857213,423844003.28571826,191502.00000303984,0.0004516178424115759
464,45051725.78571519,45000375.78571472,51350.00000046939,0.0011398009533466356
834,294703984.71428645,294523622.71429056,180361.99999588728,0.0006120107272073265
402,157962249.28570792,157885562.28571096,76686.99999696016,0.00048547675374168423
1478,79682668.0714286,79622347.07143,60320.99999859929,0.0007570153141022682
928,398926882.85714483,398683728.85714686,243153.99999797344,0.0006095202164779819
702,223976190.9999959,223834580.9999963,141609.99999958277,0.0006322547024633764
1004,148846994.49999747,148700736.49999824,146257.99999922514,0.0009826063367320973
1399,202426659.8571393,202312974.85714328,113684.99999600649,0.0005616108079649124
1058,176319615.28571182,176167902.2857119,151712.9999999106,0.0008604431206027294
525,69764298.64285488,69707831.64285536,56466.99999952316,0.0008093967989070639
850,232220157.21428722,232117206.2142888,102950.99999842048,0.00044333360735528116
1213,32767318.928571038,32715920.928570554,51398.00000048429,0.0015685750827684735
200,9434573.42857224,9405346.428571643,29227.000000596046,0.003097861309986015
1105,169772021.71428472,169666626.714288,105394.99999672174,0.0006208031154514652
579,249117670.7142869,248987061.7142892,130608.99999770522,0.0005242863728743703
1011,203119250.214285,202954366.21428868,164883.9999963045,0.0008117595935508654
783,153642260.50000197,153520510.50000226,121749.99999970198,0.0007924252064730617
714,151506686.1428547,151364886.1428566,141799.99999809265,0.0009359322918883615
1412,34164137.28571423,34129076.28571418,35061.000000052154,0.0010262515838417774
967,178830512.35713744,178657845.3571376,172666.999999851,0.000965534335969594
1067,123221088.3571404,123136843.35714176,84244.999998644,0.0006836897898066826
1187,199635185.5714226,199509476.571426,125708.99999660254,0.0006296936065492732
