time_step,met_demand,unmet_demand,new_demand,carried_in_unmet,carried_out_unmet,n_rebalance_moves,iteration_cost,cumulative_cost,n_vehicles_in_service
0,1187,344.4285714285729,1531.428571428573,0.0,344.4285714285712,333,164432.94625034023,164432.94625034023,1520
1,1513,362.8571428571431,1531.428571428573,344.4285714285712,362.85714285714283,358,182013.38441316033,346446.3306635006,1902
2,830,383.0714285714289,850.2142857142829,362.85714285714283,383.0714285714286,377,150742.1780360486,497188.5086995492,1270
3,842,391.28571428571513,850.2142857142829,383.0714285714286,391.2857142857143,386,151753.05369352648,648941.5623930757,1270
4,448,387.95238095237755,444.66666666666583,391.2857142857143,387.95238095238034,384,133435.75733046807,782377.3197235437,875
5,454,378.6190476190437,444.66666666666583,387.95238095238034,378.61904761904765,373,133717.01426225685,916094.3339858006,853
6,255,384.2619047619015,260.6428571428569,378.61904761904765,384.2619047619053,377,124890.17387124506,1040984.5078570456,657
7,242,402.9047619047591,260.6428571428569,384.2619047619053,402.9047619047617,399,124934.98772002515,1165919.4955770709,670
8,248,413.52380952380474,258.6190476190476,402.9047619047617,413.52380952380975,408,126086.6501576522,1292006.145734723,686
9,263,409.1428571428527,258.6190476190476,413.52380952380975,409.14285714285677,401,126816.45219821009,1418822.5979329331,692
10,733,400.1428571428539,723.9999999999991,409.14285714285677,400.14285714285705,394,154075.83242697926,1572898.4303599123,1155
11,713,411.1428571428544,723.9999999999991,400.14285714285705,411.1428571428571,404,153443.09864001448,1726341.5289999268,1132
12,1791,402.19047619047933,1782.0476190476195,411.1428571428571,402.19047619047626,394,201889.9403959259,1928231.4693958526,2198
13,1778,406.23809523809814,1782.0476190476195,402.19047619047626,406.23809523809575,896,237135.75715832927,2165367.226554182,2745
14,2624,423.5238095238119,2641.285714285716,406.23809523809575,423.5238095238097,1032,260819.96082684942,2426187.1873810315,3720
15,2628,436.8095238095261,2641.285714285716,423.5238095238097,436.8095238095241,829,249231.58881807252,2675418.776199104,4025
16,2912,440.3333333333303,2915.5238095238087,436.8095238095241,440.3333333333339,817,259204.7929403764,2934623.56913948,4298
17,2928,427.85714285713993,2915.5238095238087,440.3333333333339,427.85714285714295,652,250877.82486376248,3185501.3940032427,4360
18,3141,425.8095238095261,3138.9523809523835,427.85714285714295,425.80952380952357,648,259278.90191748634,3444780.295920729,4568
19,3132,432.76190476190686,3138.9523809523835,425.80952380952357,432.7619047619048,674,260723.2421577485,3705503.5380784776,4237
20,2771,438.19047619047706,2776.428571428573,432.7619047619048,438.19047619047575,613,239301.14695632545,3944804.685034803,3792
21,2774,440.61904761904816,2776.428571428573,438.19047619047575,440.6190476190475,590,235951.32137675933,4180756.0064115627,3649
22,2540,430.97619047618855,2530.3571428571413,440.6190476190475,430.9761904761906,540,225405.7529869062,4406161.759398469,3358
23,2510,451.3333333333312,2530.3571428571413,430.9761904761906,451.3333333333345,533,222748.39807282877,4628910.157471297,3252
24,2675,432.38095238095684,2656.0476190476234,451.3333333333345,432.38095238095246,501,231925.21026237824,4860835.367733676,3389
25,2645,443.42857142857474,2656.0476190476234,432.38095238095246,443.42857142857133,525,231453.94365546852,5092289.3113891445,3450
26,2992,432.47619047619355,2981.047619047622,443.42857142857133,432.4761904761899,495,239989.46653242552,5332278.77792157,3751
27,2983,430.5238095238119,2981.047619047622,432.4761904761899,430.5238095238091,474,238085.9122732553,5570364.690194826,3853
28,3086,434.5952380952399,3090.0714285714294,430.5238095238091,434.59523809523864,447,239692.90613628255,5810057.596331108,3913
29,3089,435.6666666666697,3090.0714285714294,434.59523809523864,435.666666666666,439,238878.32110866255,6048935.917439771,4018
30,2985,431.11904761905043,2980.4523809523866,435.666666666666,431.11904761904805,458,235078.78636945813,6284014.703809229,3947
31,2976,435.5714285714321,2980.4523809523866,431.11904761904805,435.5714285714286,450,235086.78686934005,6519101.490678568,3866
32,2968,435.8571428571413,2968.2857142857138,435.5714285714286,435.8571428571431,431,232946.80660977057,6752048.297288339,3848
33,2957,447.142857142856,2968.2857142857138,435.8571428571431,447.14285714285774,439,232712.3294570407,6984760.6267453795,3984
34,2785,430.04761904761926,2767.9047619047637,447.14285714285774,430.0476190476192,422,224161.7209897543,7208922.347735134,3793
35,2777,420.95238095238074,2767.9047619047637,430.0476190476192,420.95238095238136,417,223190.02961925254,7432112.377354386,3913
36,2567,437.33333333333485,2583.3809523809537,420.95238095238136,437.33333333333354,433,215820.99691933327,7647933.374273719,3709
37,2591,429.7142857142867,2583.3809523809537,437.33333333333354,429.7142857142855,425,216755.95998209703,7864689.334255816,3623
38,2588,444.0714285714289,2602.3571428571436,429.7142857142855,444.0714285714288,434,221806.81395882886,8086496.148214646,3626
39,2604,442.4285714285729,2602.3571428571436,444.0714285714288,442.4285714285716,439,222457.73149746587,8308953.879712111,3418
40,2731,497.11904761904634,2785.6904761904752,442.4285714285716,497.1190476190479,489,233434.1630658228,8542388.042777933,3591
41,2794,488.80952380952294,2785.6904761904752,497.1190476190479,488.8095238095238,487,235797.49647280673,8778185.53925074,3611
42,2802,586.2857142857147,2899.476190476191,488.8095238095238,586.2857142857139,639,243709.75333092557,9021895.292581666,3773
43,2897,588.7619047619046,2899.476190476191,586.2857142857139,588.7619047619045,768,255378.76707228992,9277274.059653956,3957
44,2522,717.0000000000009,2650.2380952380977,588.7619047619045,716.9999999999998,947,246368.0747727709,9523642.134426728,3748
45,2595,772.2380952380968,2650.2380952380977,716.9999999999998,772.2380952380943,1024,253780.2303446148,9777422.364771342,3803
