time_step,low_battery_ratio,low_battery_count,mean_battery_pct
0,0.0,0,98.08394312543369
1,0.0,0,97.04767201293613
2,0.0,0,97.40221757951144
3,0.0,0,97.50083112624438
4,0.0,0,98.0550521845484
5,0.0,0,98.30416020082275
6,0.0,0,98.6849244905514
7,4.761904761904762e-05,1,98.8144702530659
8,9.523809523809524e-05,2,98.85580439861711
9,9.523809523809524e-05,2,98.85756683892687
10,9.523809523809524e-05,2,98.14311840722756
11,0.00038095238095238096,8,97.7849102126738
12,0.0005238095238095238,11,96.29731024810519
13,0.001238095238095238,26,94.47005293411549
14,0.0014761904761904762,31,92.23087102053469
15,0.0015714285714285715,33,89.97750467711813
16,0.0020476190476190477,43,87.54323175945865
17,0.0018095238095238095,38,85.05348056391404
18,0.0017142857142857142,36,81.80238598187661
19,0.0025238095238095237,53,78.35856424354054
20,0.002380952380952381,50,75.53801311258383
21,0.003142857142857143,66,73.16111268874187
22,0.002857142857142857,60,71.279091784915
23,0.0029047619047619048,61,69.73297301197178
24,0.0038095238095238095,80,68.07092141478664
25,0.005619047619047619,118,66.42217561542179
26,0.007380952380952381,155,64.30609191916002
27,0.008523809523809524,179,61.64999393320852
28,0.01361904761904762,286,59.00406990329411
29,0.020904761904761905,439,56.46357473955033
30,0.03147619047619048,661,53.98309633832422
31,0.04733333333333333,994,51.635520390907736
32,0.06714285714285714,1410,49.62450944455551
33,0.09314285714285714,1956,47.63220682809481
34,0.12280952380952381,2579,46.09746264330496
35,0.17195238095238094,3611,44.43028989920363
36,0.23895238095238094,5018,42.76573258364301
37,0.2882857142857143,6054,41.038601843630616
38,0.3494285714285714,7338,38.44905642544542
39,0.4050952380952381,8507,35.92853171275283
40,0.4752857142857143,9981,32.976734769818776
41,0.5448571428571428,11442,29.900394404154394
42,0.6037619047619047,12679,25.956422180369437
43,0.6587619047619048,13834,22.4149545712463
44,0.7137142857142857,14988,20.098677370003415
45,0.7521904761904762,15796,17.98332559454965
46,0.7714285714285715,16200,17.049778117709533
47,0.764095238095238,16046,16.38707254492255
48,0.7702857142857142,16176,16.943585067460308
49,0.7425714285714285,15594,17.550157388145458
50,0.6913333333333334,14518,19.66529738036838
51,0.6126666666666667,12866,22.011856273754052
52,0.5064285714285715,10635,25.82663997255639
53,0.3550952380952381,7457,30.165003741158007
54,0.19233333333333333,4039,35.326612233955366
55,0.10676190476190477,2242,40.741090764602184
56,0.062142857142857146,1305,46.195107917397756
57,0.03538095238095238,743,51.68154172244811
58,0.023190476190476192,487,55.8978094169996
59,0.019857142857142858,417,59.853352716174385
60,0.022714285714285715,477,61.469105739956376
61,0.02280952380952381,479,62.524486308224645
62,0.027142857142857142,570,62.793284992707136
63,0.040285714285714286,846,62.372309842231736
64,0.05409523809523809,1136,61.27426947522304
65,0.0720952380952381,1514,59.63186416239827
66,0.10304761904761905,2164,56.59779911921222
67,0.1300952380952381,2732,53.79364580003197
68,0.14461904761904762,3037,51.831546665367924
69,0.15780952380952382,3314,49.923699090143664
70,0.17661904761904762,3709,48.40874862157084
71,0.1956190476190476,4108,47.20219725825995
72,0.21347619047619049,4483,45.869156370885385
73,0.2302857142857143,4836,44.43933173683117
74,0.2470952380952381,5189,42.44220959744465
75,0.2793333333333333,5866,39.63527416596192
76,0.32071428571428573,6735,36.82434466100096
77,0.36295238095238097,7622,33.893367403168746
78,0.4134285714285714,8682,31.404346692101353
79,0.4825238095238095,10133,29.01257756734325
80,0.5492380952380952,11534,27.044589243202136
81,0.6124285714285714,12861,25.13684623544623
82,0.6676190476190477,14020,23.651547916628534
83,0.7114761904761905,14941,21.922753017530052
84,0.7533809523809524,15821,19.930407877428006
85,0.7857619047619048,16501,17.279525922543158
86,0.8122857142857143,17058,14.560594962810512
87,0.835,17535,13.301779586209115
88,0.8469047619047619,17785,12.301388108585321
89,0.8632857142857143,18129,11.31673380622727
90,0.878095238095238,18440,10.566807625006588
91,0.8968095238095238,18833,9.900230155921937
92,0.9124761904761904,19162,9.109055250832679
93,0.9351428571428572,19638,8.547259136805724
94,0.9487142857142857,19923,8.457948115728094
95,0.9632380952380952,20228,7.991532182645774
96,0.9691428571428572,20352,7.477083225996016
97,0.9795238095238096,20570,7.321071708098535
98,0.9798095238095238,20576,7.292010885108818
99,0.9917142857142857,20826,6.990344877805077
100,0.9714761904761905,20401,7.859035532172497
101,0.9349047619047619,19633,9.016335269353181
102,0.8562857142857143,17982,11.305505540108872
103,0.7463333333333333,15673,13.836483467861525
104,0.6107619047619047,12826,17.4386971510403
105,0.4794761904761905,10069,21.877422748914444
106,0.36514285714285716,7668,25.430115937171653
107,0.2537142857142857,5328,29.10478166291909
108,0.2169047619047619,4555,30.986533970956867
109,0.1849047619047619,3883,32.560885706630806
110,0.17819047619047618,3742,33.16599602177356
111,0.20685714285714285,4344,33.32032444343853
112,0.2579047619047619,5416,32.70221274484118
113,0.28919047619047616,6073,32.09116204785532
114,0.3499047619047619,7348,30.170856953868686
115,0.4114761904761905,8641,28.11030436803959
116,0.4673333333333333,9814,26.244759355460165
117,0.5459047619047619,11464,24.342975406466653
118,0.5837142857142857,12258,22.777704887108946
119,0.6175238095238095,12968,21.52845076608256
120,0.6598095238095238,13856,20.045553524128707
121,0.7065714285714285,14838,18.093084233887524
122,0.7705714285714286,16182,14.742863034542252
123,0.8037142857142857,16878,12.888883195249603
124,0.8466666666666667,17780,11.604151952450659
125,0.8738095238095238,18350,10.331236099036259
126,0.9056190476190477,19018,9.38853936790222
127,0.9326190476190476,19585,8.54236989115127
128,0.9504761904761905,19960,8.054850736363145
129,0.9641428571428572,20247,7.585700162129054
130,0.974047619047619,20455,7.25891751464586
131,0.9767142857142858,20511,7.248789728438547
132,0.9857619047619047,20701,7.720280044261116
133,0.9886190476190476,20761,7.115708443529244
134,0.9912380952380953,20816,7.1504590778978185
135,0.9969523809523809,20936,7.157990476040207
136,0.9932857142857143,20859,7.0980515512295925
137,0.9954761904761905,20905,7.091586027543586
138,1.0,21000,6.521430324211757
139,0.9975714285714286,20949,6.904764673690745
140,0.9992380952380953,20984,7.368989611807476
141,0.9995238095238095,20990,7.405982077990722
142,0.9959523809523809,20915,7.3116618742335415
143,0.9972380952380953,20942,7.3057931878091145
144,0.9943809523809524,20882,8.212920396336559
145,0.9977142857142857,20952,8.224938065007068
146,0.9958095238095238,20912,8.295006013665446
147,0.9914285714285714,20820,8.421455453867008
148,0.9892857142857143,20775,8.550427344963351
149,0.9825238095238096,20633,8.209989013428633
150,0.9728095238095238,20429,7.70456724947061
151,0.9802380952380952,20585,7.686401961279104
152,0.9456190476190476,19858,8.664497258069572
153,0.901952380952381,18941,9.727629406814623
154,0.8680476190476191,18229,10.265261314987791
155,0.8781904761904762,18442,9.87459198368159
156,0.8885238095238095,18659,10.162370938946593
157,0.8715238095238095,18302,10.701809728808348
158,0.9101904761904762,19114,9.180170810784787
159,0.9515714285714286,19983,8.032815625912226
160,0.9730952380952381,20435,7.241044412580974
161,0.9872380952380952,20732,6.838490855061158
