grid_id,real_origin_demand,real_dest_demand,served_origin_veh5,served_dest_veh5,origin_service_rate_veh5,dest_service_rate_veh5,served_origin_veh10,served_dest_veh10,origin_service_rate_veh10,dest_service_rate_veh10,served_origin_veh20,served_dest_veh20,origin_service_rate_veh20,dest_service_rate_veh20,served_origin_veh40,served_dest_veh40,origin_service_rate_veh40,dest_service_rate_veh40,served_origin_veh80,served_dest_veh80,origin_service_rate_veh80,dest_service_rate_veh80
217,29.0,33.0,1.0,5.0,0.034482758620689655,0.15151515151515152,1.0,5.0,0.034482758620689655,0.15151515151515152,1.0,5.0,0.034482758620689655,0.15151515151515152,1.0,5.0,0.034482758620689655,0.15151515151515152,1.0,5.0,0.034482758620689655,0.15151515151515152
882,7731.0,7546.0,1259.0,1255.0,0.16285086017332817,0.1663132785581765,1509.0,1501.0,0.19518820333721382,0.1989133315663928,1869.0,1852.0,0.24175397749320915,0.2454280413464087,1845.0,1806.0,0.23864959254947612,0.23933209647495363,2226.0,2147.0,0.28793170353123787,0.28452160084813144
1276,3734.0,3493.0,652.0,647.0,0.17461167648634174,0.18522759805324934,754.0,744.0,0.20192822710230315,0.2129974234182651,949.0,929.0,0.25415104445634706,0.2659604924133982,944.0,905.0,0.25281199785752545,0.2590896077870026,990.0,910.0,0.26513122656668453,0.2605210420841683
917,748.0,674.0,300.0,295.0,0.40106951871657753,0.43768545994065283,326.0,316.0,0.4358288770053476,0.4688427299703264,341.0,321.0,0.45588235294117646,0.4762611275964392,361.0,321.0,0.48262032085561496,0.4762611275964392,396.0,321.0,0.5294117647058824,0.4762611275964392
855,982.0,970.0,201.0,196.0,0.20468431771894094,0.2020618556701031,225.0,215.0,0.22912423625254583,0.22164948453608246,238.0,223.0,0.24236252545824846,0.22989690721649483,238.0,220.0,0.24236252545824846,0.2268041237113402,238.0,223.0,0.24236252545824846,0.22989690721649483
931,4384.0,4100.0,841.0,837.0,0.19183394160583941,0.20414634146341462,984.0,975.0,0.22445255474452555,0.23780487804878048,1164.0,1149.0,0.2655109489051095,0.2802439024390244,1216.0,1178.0,0.2773722627737226,0.2873170731707317,1420.0,1340.0,0.3239051094890511,0.32682926829268294
1182,1922.0,1917.0,638.0,633.0,0.331945889698231,0.3302034428794992,730.0,720.0,0.3798126951092612,0.3755868544600939,845.0,825.0,0.4396462018730489,0.4303599374021909,853.0,832.0,0.44380853277835586,0.43401147626499736,853.0,805.0,0.44380853277835586,0.41992696922274386
708,3242.0,3057.0,728.0,723.0,0.22455274521900062,0.2365063788027478,941.0,931.0,0.2902529302899445,0.304546941445862,1023.0,1004.0,0.31554595928439233,0.328426561988878,1118.0,1078.0,0.34484885872917953,0.35263330062152437,1210.0,1130.0,0.37322640345465763,0.3696434412823029
508,250.0,294.0,106.0,136.0,0.424,0.46258503401360546,106.0,119.0,0.424,0.40476190476190477,106.0,136.0,0.424,0.46258503401360546,106.0,149.0,0.424,0.5068027210884354,106.0,150.0,0.424,0.5102040816326531
834,9157.0,7806.0,1180.0,1176.0,0.12886316479196244,0.1506533435818601,1543.0,1533.0,0.16850496887626953,0.19638739431206764,1987.0,1967.0,0.21699246478104184,0.251985652062516,2152.0,2112.0,0.23501146663754505,0.27056110684089163,2188.0,2108.0,0.23894288522441848,0.2700486805021778
