time_step,172,925,1232,873,856,973,1140,794,464,834,402,1478,928,702,1004,1399,1058,525,850,1213,200,1105,579,1011,783,714,1412,967,1067,1187
0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
1,40,29,47,10,21,34,57,43,47,31,70,35,29,89,60,53,13,40,47,44,43,44,63,31,15,35,39,17,37,37
2,42,50,36,33,14,45,32,24,44,35,92,53,38,41,28,48,24,106,25,47,54,14,71,7,14,35,26,10,89,23
3,39,10,31,4,33,8,91,13,43,15,85,60,17,85,19,52,42,58,56,46,71,5,92,60,30,27,29,34,39,6
4,50,21,16,7,30,36,113,19,29,22,55,58,3,51,34,37,29,111,25,20,91,13,44,53,13,125,17,4,65,9
5,54,65,15,16,8,16,30,10,31,10,48,71,175,21,43,45,4,86,57,68,94,21,24,7,19,34,29,44,48,7
6,56,22,61,6,2,42,71,41,30,3,43,55,22,47,12,42,14,83,63,61,115,30,60,8,25,39,27,42,18,60
7,56,0,53,5,16,25,15,7,69,27,130,65,5,26,42,14,37,69,2,19,136,79,23,99,8,26,2,88,42,15
8,56,10,54,31,21,33,2,75,59,3,79,10,22,22,110,33,90,90,14,12,144,55,29,32,14,18,2,18,42,20
9,55,13,7,7,21,44,11,21,7,92,27,16,24,14,64,52,15,125,33,24,143,21,55,22,35,90,73,32,48,9
10,56,5,13,10,14,36,38,53,15,6,77,21,23,14,7,62,28,156,8,27,142,99,95,50,35,0,71,2,5,32
11,54,18,33,0,1,26,7,7,13,50,131,49,27,35,33,78,78,115,14,20,134,24,34,21,79,28,57,4,13,17
12,51,36,13,2,2,30,48,16,6,3,21,45,47,30,44,20,4,80,24,12,139,23,23,42,252,58,111,3,11,4
13,46,3,14,5,4,78,56,74,10,108,22,9,64,183,3,24,43,4,7,5,132,13,10,12,79,35,93,27,12,25
14,38,3,29,9,0,61,16,248,52,55,72,12,27,104,17,54,32,5,40,10,110,7,26,10,23,19,58,17,31,15
15,33,21,38,9,7,79,5,68,70,69,59,12,29,46,27,35,4,14,17,18,75,3,51,38,246,22,29,18,49,9
16,32,68,43,16,7,54,6,115,46,46,42,12,55,3,52,18,0,11,21,17,45,10,63,5,270,20,47,14,55,7
17,17,88,28,10,11,66,18,78,53,45,96,20,57,91,82,16,5,17,22,3,4,14,79,15,135,41,40,14,35,0
18,3,60,9,30,38,45,55,62,30,40,87,30,14,71,77,23,5,22,35,26,0,104,57,93,5,41,16,89,29,4
19,6,85,41,2,66,70,70,11,5,44,23,21,112,112,34,49,10,6,16,37,0,63,25,84,42,54,10,69,32,1
20,6,151,34,28,27,65,71,85,30,42,21,12,81,89,34,44,11,4,52,37,26,52,4,32,41,51,4,3,27,36
