scenario,N_trip,mean_flight_km,E_trip (%batt/trip),"E_total (%batt, fleet-wide)",N_trip_share_of_full,E_total_share_of_full
Full demand (100%),11575069.0,6.42715679298629,6.42715679298629,74394783.35263503,1.0,1.0
Threshold (binary filter),2896890.0,10.616655998790904,10.616655998790904,30755284.59633738,0.25026978240907244,0.41340646763571826
Logit scale=10,2805440.132364031,7.983501340632238,7.983501340632238,22397235.057791725,0.2423691929926319,0.3010592147520304
Logit scale=30,3708249.5710049653,7.109992679996137,7.109992679996137,26365627.305444118,0.3203652238276044,0.3544015603952997
Logit scale=60,4476993.759458353,6.72546770885517,6.72546770885517,30109876.961983263,0.38677901267442577,0.4047310255513606
Logit scale=100,4938012.423919947,6.585822990022486,6.585822990022486,32520875.746468645,0.4266076015546816,0.4371391955309293
