time_step,met,lp_capacity_unmet,avail_unmet,battery_unmet
198,13,348.0,0.0,409.0
199,18,338.0,0.0,402.0
200,5,326.0,0.0,411.0
201,12,328.0,0.0,401.0
202,13,327.0,0.0,397.0
203,11,325.0,0.0,395.0
204,14,336.0,0.0,392.0
205,18,345.0,0.0,386.0
206,20,345.0,0.0,380.0
207,13,352.0,0.0,383.0
208,11,359.0,0.0,382.0
209,16,362.0,0.0,378.0
210,15,374.0,0.0,383.0
211,14,375.0,0.0,385.0
212,20,379.0,0.0,379.0
213,12,378.0,0.0,383.0
214,10,385.0,0.0,388.0
215,14,394.0,0.0,389.0
216,15,403.0,0.0,386.0
217,25,408.0,0.0,374.0
218,23,407.0,0.0,375.0
219,21,409.0,0.0,375.0
220,10,407.0,0.0,390.0
221,19,419.0,0.0,382.0
222,23,421.0,0.0,376.0
223,27,426.0,0.0,370.0
224,23,433.0,0.0,363.0
225,18,433.0,0.0,370.0
226,28,438.0,0.0,357.0
227,21,426.0,0.0,359.0
228,15,427.0,0.0,365.0
229,13,432.0,0.0,365.0
230,19,435.0,0.0,359.0
231,14,436.0,0.0,365.0
232,18,454.0,0.0,361.0
233,29,455.0,0.0,350.0
234,11,457.0,0.0,361.0
235,12,457.0,0.0,368.0
236,16,464.0,0.0,366.0
237,19,459.0,0.0,362.0
238,13,456.0,0.0,364.0
239,19,447.0,0.0,363.0
240,15,443.0,0.0,367.0
241,16,438.0,0.0,365.0
242,11,432.0,0.0,367.0
243,8,424.0,0.0,373.0
244,11,424.0,0.0,366.0
245,7,415.0,0.0,369.0
246,10,418.0,0.0,359.0
247,9,411.0,0.0,358.0
248,8,403.0,0.0,359.0
249,7,401.0,0.0,355.0
250,3,402.0,0.0,359.0
251,5,409.0,0.0,357.0
252,11,416.0,0.0,354.0
253,12,414.0,0.0,355.0
254,6,416.0,0.0,360.0
255,4,421.0,0.0,367.0
256,9,434.0,0.0,363.0
257,10,434.0,0.0,365.0
258,14,448.0,0.0,360.0
259,10,461.0,0.0,367.0
260,10,492.0,0.0,369.0
