grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,14558347.714287404,14557271.714285752,1076.0000016521662,7.390948634893447e-05
925,540362653.428565,540349478.4285653,13174.999999761581,2.4381773825720718e-05
1232,371200229.92856574,371184019.92857105,16209.999994695187,4.366915397066069e-05
873,221329986.49999428,221319554.50000125,10431.999993026257,4.713324280181315e-05
856,99618123.21428205,99610571.2142841,7551.99999794364,7.580949885694016e-05
973,437024859.7142815,437011152.7142812,13707.000000298023,3.1364348493262825e-05
1140,407325995.8571535,407312984.8571528,13011.000000655651,3.194247392257901e-05
794,556403461.1428577,556392277.1428572,11184.000000476837,2.0100521980048077e-05
464,73360502.21428563,73354437.21428607,6064.999999552965,8.267391602414517e-05
834,417082547.00000054,417071765.00000006,10782.000000476837,2.5850997789358046e-05
402,206125232.35714608,206116989.35714957,8242.999996513128,3.999025205332827e-05
1478,115602670.35713942,115595577.35714263,7092.99999679625,6.135671412159726e-05
928,559407517.4285649,559394327.4285723,13189.999992609024,2.357851759525802e-05
702,316849132.5714224,316839207.5714222,9925.000000178814,3.132405608824438e-05
1004,244752886.1428533,244738296.1428528,14590.000000476837,5.961114588026222e-05
1399,272546707.1428543,272536044.14285934,10662.999994933605,3.9123569338684526e-05
1058,281077067.4285658,281064167.42856735,12899.99999845028,4.589488611243158e-05
525,105232919.92857157,105226565.9285736,6353.999997973442,6.038034487959011e-05
850,296828893.9999965,296818865.999999,10027.999997496605,3.378377307667603e-05
1213,65517495.785714984,65511710.78571582,5784.999999165535,8.82970255469816e-05
200,24972612.1428578,24968261.14285673,4351.000001072884,0.00017423087245269515
1105,237306462.07142234,237293745.07142666,12716.999995678663,5.358893257551164e-05
579,333680136.2142821,333669206.2142826,10929.999999523163,3.275592045582286e-05
1011,310657520.7857149,310644577.7857161,12942.999998807907,4.166324370989788e-05
783,234355750.0714168,234346501.07141852,9248.999998271465,3.946564142528167e-05
714,242666626.71427393,242651944.7142804,14681.999993532896,6.0502757187209394e-05
1412,52731208.999997355,52725520.99999752,5687.999999836087,0.00010786780936193541
967,295692936.49999666,295680076.49999946,12859.999997198582,4.349106255096062e-05
1067,174995574.42857257,174984713.42857382,10860.999998748302,6.206442668172391e-05
1187,280565822.85713553,280551142.85713947,14679.999996066093,5.2322837637787296e-05
