grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,42413.714285705864,20398.71428571541,22014.999999990454,0.5190538100882591
925,292003303.42857414,291651272.42857337,352031.00000077486,0.0012055719776707385
1232,250392829.92856482,250215313.92857033,177515.99999448657,0.0007089500128463365
873,103480301.49999872,103309013.50000006,171287.9999986589,0.0016552715590866442
856,35657393.21428654,35572800.21428598,84593.00000056624,0.0023723831827020124
973,207350984.71428365,207036644.71428788,314339.99999576807,0.0015159802613375984
1140,248177994.8571415,247952085.85714456,225908.99999693036,0.000910270066961296
794,322377934.1428567,322058421.1428544,319513.0000023246,0.0009911131196117704
464,5442683.214285743,5348202.214285718,94481.00000002515,0.01735926863280139
834,208920045.9999994,208628903.0000032,291142.9999962151,0.0013935618221920932
402,77121830.35714063,76946476.357141,175353.99999962747,0.0022737271559503595
1478,55071262.357142925,54985814.35714308,85447.99999984354,0.0015515896375446103
928,304222118.4285579,303865637.42856234,356480.99999552965,0.0011717787051017594
702,100806567.57143028,100512597.57143131,293969.9999989718,0.002916179045483999
1004,101554348.14285737,101344265.14285783,210082.99999953806,0.00206867557954301
1399,166229215.1428558,166081837.14285833,147377.9999974668,0.0008865950541293934
1058,117302929.42857398,117066465.42857282,236464.0000011623,0.002015840534870408
525,2087021.928571417,1941994.9285714356,145026.99999998137,0.06948992629859596
850,95709245.00000155,95458731.00000176,250513.99999979138,0.002617448293524699
1213,23185706.785715293,23123910.785714753,61796.00000054017,0.0026652627229208584
200,61003.14285713188,20653.14285714195,40349.99999998993,0.6614413308915708
1105,97734307.07142863,97531965.0714291,202341.99999952316,0.0020703272582844683
579,149813327.21428323,149564282.21428344,249044.99999979138,0.0016623687934223211
1011,131206090.7857157,130943453.78571658,262636.99999912083,0.00200171347554327
783,13960903.071428582,13662780.071428584,298122.99999999814,0.021354134361846265
714,59821885.71428789,59574196.71428721,247689.00000068545,0.004140441195445754
1412,7635254.000000153,7574405.999999989,60848.00000016391,0.007969348498447163
967,140943445.49999663,140720965.49999583,222480.00000080466,0.001578505472259155
1067,26353584.42857169,26154172.428571694,199411.99999999627,0.007566788515637377
1187,166106659.85713702,165932914.85713977,173744.9999972582,0.0010459845508102483
