grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,14862.779761904272,7144.779761904954,7717.999999999318,0.5192837493146343
925,321450.78869047406,41005.78869047525,280444.99999999884,0.8724352525077802
1232,225852.226190482,30083.226190476806,195769.0000000052,0.866801285522398
873,141026.54166666776,24225.54166666633,116801.00000000143,0.8282199834132914
856,63320.883928569616,10278.883928571513,53041.9999999981,0.8376699235568661
973,266803.1964285712,39828.19642857124,226974.99999999994,0.8507206923990729
1140,243967.05654761934,30983.05654761924,212984.00000000012,0.8730031136741951
794,323421.92261904635,35142.92261904771,288278.99999999866,0.8913403199929586
464,47193.23809523736,7345.238095237959,39847.999999999396,0.8443582514847773
834,234630.08333333538,18079.083333333445,216551.00000000192,0.9229464394484795
402,119261.97321428687,10946.973214285868,108315.000000001,0.9082106985215093
1478,71432.95238095196,9061.95238095255,62370.99999999941,0.8731404473858906
928,314788.2678571456,24817.26785714331,289971.00000000227,0.9211620305099628
702,188216.31547619574,22543.315476190775,165673.00000000498,0.8802265604915538
1004,141316.08928571508,10727.089285714286,130589.00000000079,0.9240915217797593
1399,164775.81845238252,20191.81845238112,144584.0000000014,0.8774588489862897
1058,160800.6011904754,12666.601190476016,148133.9999999994,0.9212278990457762
525,65318.72619047433,9327.726190476202,55990.99999999812,0.8571967529912348
850,165867.08333333582,11001.083333333176,154866.00000000265,0.93367530728671
1213,43063.907738095586,7327.9077380953695,35736.00000000022,0.8298364425573742
200,21661.235119047527,7385.235119047578,14275.999999999949,0.6590575247228877
1105,135582.89880952562,9857.898809523975,125725.00000000164,0.9272924616888971
579,184171.7797619089,9745.779761904852,174426.00000000405,0.9470832080001406
1011,175737.13690476384,12371.136904762032,163366.0000000018,0.9296043106047286
783,145623.54464285698,23133.544642857352,122489.99999999964,0.8411414534676205
714,137785.98809523942,8755.98809523816,129030.00000000125,0.9364522603765347
1412,36305.60416666667,7154.604166666672,29151.0,0.8029338904863745
967,167602.04166666657,11464.041666666877,156137.99999999968,0.9315996299766621
1067,100582.45535714181,7585.455357142909,92996.9999999989,0.9245847068436641
1187,159177.32738095467,10184.327380952207,148993.00000000244,0.9360189824234305
