scenario,requested (scenario-internal denom),met,"Service rate (scenario-internal, jitter-corrected)",Met as % of FULL ground-demand universe
Full demand (100%),4563285.464285716,4091302,0.9388154807501816,0.8965693757316593
Threshold (binary filter),1253068.3749999998,1016628,0.9769415521343124,0.2227842215781982
Logit scale=10,1212209.9435236512,985938,0.9893853568670624,0.21605880406044842
Logit scale=30,1542452.4902451462,1307710,0.9848026492927733,0.2865720346085545
Logit scale=60,1824923.418021053,1580895,0.9813901159687096,0.34643789269218006
Logit scale=100,1997544.34628751,1744493,0.9772590778125172,0.38228881661100783
