time_step,start,end,vehicle,distance
12,917,834,V32,3.617203703030827
12,917,834,V33,3.617203703030827
16,1091,965,V148,4.388654712140797
16,1091,965,V149,4.388654712140797
16,1091,965,V150,4.388654712140797
16,1013,965,V234,4.881725510082577
16,1013,965,V235,4.881725510082577
16,1013,965,V236,4.881725510082577
16,1013,965,V237,4.881725510082577
16,1013,965,V238,4.881725510082577
16,1013,965,V239,4.881725510082577
16,1013,931,V240,4.405443882921528
16,849,931,V182,4.4061387562478425
16,849,931,V183,4.4061387562478425
16,849,931,V184,4.4061387562478425
16,849,931,V185,4.4061387562478425
16,849,931,V186,4.4061387562478425
16,708,882,V59,4.837510953567602
16,708,882,V74,4.837510953567602
16,708,882,V75,4.837510953567602
16,708,882,V76,4.837510953567602
16,783,659,V15,5.809594285895007
16,708,535,V77,4.548441137468074
20,849,931,V59,4.4061387562478425
20,849,931,V103,4.4061387562478425
20,1102,931,V15,4.548251915941359
20,1102,931,V153,4.548251915941359
20,1102,931,V164,4.548251915941359
20,1102,931,V165,4.548251915941359
20,1102,931,V166,4.548251915941359
20,783,659,V14,5.809594285895007
20,783,659,V16,5.809594285895007
20,783,659,V17,5.809594285895007
20,783,659,V23,5.809594285895007
20,783,659,V24,5.809594285895007
20,783,659,V25,5.809594285895007
20,917,834,V19,3.617203703030827
20,917,834,V37,3.617203703030827
20,917,834,V38,3.617203703030827
20,708,535,V30,4.548441137468074
20,708,535,V92,4.548441137468074
20,708,882,V95,4.837510953567602
20,708,882,V122,4.837510953567602
20,1102,1013,V167,3.616251246210677
20,1102,1013,V168,3.616251246210677
20,1102,885,V169,5.875878565174106
24,917,834,V21,3.617203703030827
24,917,834,V22,3.617203703030827
24,917,834,V26,3.617203703030827
24,917,834,V27,3.617203703030827
24,917,834,V28,3.617203703030827
24,917,834,V35,3.617203703030827
24,917,834,V63,3.617203703030827
24,917,834,V74,3.617203703030827
24,917,834,V75,3.617203703030827
24,917,834,V96,3.617203703030827
24,917,834,V99,3.617203703030827
24,917,834,V105,3.617203703030827
24,917,834,V130,3.617203703030827
24,917,834,V131,3.617203703030827
24,965,882,V95,3.616965677313317
24,965,882,V129,3.616965677313317
24,965,882,V152,3.616965677313317
24,965,882,V166,3.616965677313317
24,965,882,V167,3.616965677313317
24,965,882,V255,3.616965677313317
24,708,882,V72,4.837510953567602
24,1106,1276,V163,4.836798739645476
24,1106,1276,V219,4.836798739645476
24,1106,1276,V220,4.836798739645476
24,1106,1276,V251,4.836798739645476
24,1102,1276,V213,4.836798739646007
24,1102,1276,V217,4.836798739646007
24,1102,885,V291,5.875878565174106
24,672,885,V122,5.876204136119103
24,672,885,V257,5.876204136119103
24,672,885,V258,5.876204136119103
24,708,535,V92,4.548441137468074
24,659,535,V161,5.810827883107414
24,659,535,V162,5.810827883107414
24,1182,1013,V20,5.283249325636405
24,1182,1013,V66,5.283249325636405
24,1182,1013,V67,5.283249325636405
28,783,659,V23,5.809594285895007
28,783,659,V24,5.809594285895007
28,783,659,V25,5.809594285895007
28,783,659,V26,5.809594285895007
28,1091,965,V34,4.388654712140797
28,1091,965,V51,4.388654712140797
28,1091,965,V52,4.388654712140797
28,1091,965,V55,4.388654712140797
28,917,834,V137,3.617203703030827
28,917,834,V138,3.617203703030827
28,917,834,V139,3.617203703030827
28,917,834,V140,3.617203703030827
28,708,882,V131,4.837510953567602
28,672,882,V14,7.316385892068044
28,672,882,V42,7.316385892068044
28,1182,1013,V69,5.283249325636405
28,1182,1013,V70,5.283249325636405
28,1182,1229,V124,3.960024365898536
28,672,885,V65,5.876204136119103
28,1068,1106,V133,4.880745078525951
28,359,535,V107,5.855067293961566
32,917,834,V66,3.617203703030827
32,917,834,V143,3.617203703030827
32,917,834,V145,3.617203703030827
32,917,834,V148,3.617203703030827
32,917,834,V149,3.617203703030827
32,917,834,V150,3.617203703030827
32,917,834,V151,3.617203703030827
32,917,834,V165,3.617203703030827
32,672,885,V75,5.876204136119103
32,672,885,V140,5.876204136119103
32,672,885,V259,5.876204136119103
32,1182,1013,V38,5.283249325636405
32,1182,1013,V152,5.283249325636405
32,1182,1013,V253,5.283249325636405
32,1398,1229,V154,5.282433425576492
32,1398,1229,V155,5.282433425576492
32,849,1102,V13,8.191991396325179
36,783,659,V11,5.809594285895007
36,783,659,V15,5.809594285895007
36,783,659,V17,5.809594285895007
36,783,659,V22,5.809594285895007
36,783,659,V25,5.809594285895007
36,885,931,V58,3.0617002345235647
36,849,931,V14,4.4061387562478425
36,1102,1276,V57,4.836798739646007
36,1091,917,V26,4.837115435970083
36,1091,1182,V32,5.24631154396119
36,1102,1106,V124,3.80171314717607
40,1229,1182,V33,3.960024365898536
40,1091,1182,V71,5.24631154396119
40,1091,1182,V73,5.24631154396119
40,1398,1276,V16,7.438993890374081
40,1398,1276,V41,7.438993890374081
40,1398,1276,V95,7.438993890374081
40,965,834,V26,3.83986736177262
40,708,834,V20,4.389831624444016
40,708,834,V31,4.389831624444016
40,885,1013,V14,3.46869779664105
40,885,1013,V21,3.46869779664105
40,849,1102,V35,8.191991396325179
40,849,1102,V40,8.191991396325179
40,849,931,V60,4.4061387562478425
44,1229,1182,V53,3.960024365898536
44,1229,1182,V64,3.960024365898536
44,1229,1182,V73,3.960024365898536
44,1229,1182,V124,3.960024365898536
44,1229,1182,V129,3.960024365898536
44,1229,1182,V134,3.960024365898536
44,1229,1182,V154,3.960024365898536
44,1091,1182,V23,5.24631154396119
44,1091,1182,V77,5.24631154396119
44,1091,1182,V79,5.24631154396119
44,1091,1182,V81,5.24631154396119
44,1091,1182,V82,5.24631154396119
44,1091,1182,V91,5.24631154396119
44,1091,1182,V92,5.24631154396119
44,917,834,V24,3.617203703030827
44,917,834,V32,3.617203703030827
44,917,834,V42,3.617203703030827
44,917,834,V51,3.617203703030827
44,917,834,V62,3.617203703030827
44,708,834,V29,4.389831624444016
44,708,834,V103,4.389831624444016
44,882,965,V13,3.616965677313317
44,882,965,V18,3.616965677313317
44,882,965,V44,3.616965677313317
44,882,965,V76,3.616965677313317
44,1091,965,V93,4.388654712140797
44,1106,1276,V11,4.836798739645476
44,1106,1276,V14,4.836798739645476
44,1106,1276,V35,4.836798739645476
44,885,1013,V17,3.46869779664105
48,965,834,V18,3.83986736177262
48,965,834,V20,3.83986736177262
48,965,834,V22,3.83986736177262
48,1102,1106,V31,3.80171314717607
52,885,882,V22,2.852794790784161
52,885,882,V24,2.852794790784161
52,885,882,V25,2.852794790784161
52,885,882,V35,2.852794790784161
52,885,882,V43,2.852794790784161
52,885,882,V64,2.852794790784161
52,885,882,V80,2.852794790784161
52,885,882,V105,2.852794790784161
52,965,834,V51,3.83986736177262
52,965,834,V62,3.83986736177262
52,965,834,V76,3.83986736177262
52,965,834,V115,3.83986736177262
52,965,834,V134,3.83986736177262
52,965,834,V170,3.83986736177262
56,885,882,V134,2.852794790784161
60,885,882,V25,2.852794790784161
60,885,882,V34,2.852794790784161
60,885,882,V43,2.852794790784161
60,885,882,V161,2.852794790784161
60,885,882,V162,2.852794790784161
60,885,882,V170,2.852794790784161
60,1013,882,V35,3.839767699909249
60,1091,965,V15,4.388654712140797
60,1091,965,V42,4.388654712140797
60,1091,965,V70,4.388654712140797
60,1091,965,V93,4.388654712140797
60,1091,965,V94,4.388654712140797
60,1091,834,V97,6.739095652327052
60,1091,834,V98,6.739095652327052
60,1091,834,V100,6.739095652327052
60,1091,834,V101,6.739095652327052
60,672,708,V124,6.751878981086827
60,1013,708,V39,8.663428210145081
60,783,659,V14,5.809594285895007
60,783,659,V16,5.809594285895007
60,1091,1182,V102,5.24631154396119
64,1091,834,V113,6.739095652327052
64,1091,834,V121,6.739095652327052
64,1091,834,V122,6.739095652327052
64,1091,834,V123,6.739095652327052
64,1091,834,V125,6.739095652327052
64,1091,834,V126,6.739095652327052
64,1091,834,V127,6.739095652327052
64,1091,834,V128,6.739095652327052
64,1091,834,V132,6.739095652327052
64,1091,834,V133,6.739095652327052
64,1091,834,V136,6.739095652327052
64,1091,834,V137,6.739095652327052
64,1091,834,V143,6.739095652327052
64,1091,834,V144,6.739095652327052
64,359,535,V78,5.855067293961566
64,359,535,V99,5.855067293961566
64,359,535,V109,5.855067293961566
64,359,535,V110,5.855067293961566
64,196,535,V201,10.089384951575544
64,196,535,V202,10.089384951575544
64,196,535,V203,10.089384951575544
64,196,535,V204,10.089384951575544
64,196,535,V205,10.089384951575544
64,196,535,V206,10.089384951575544
64,196,535,V207,10.089384951575544
64,783,659,V11,5.809594285895007
64,783,659,V14,5.809594285895007
64,783,659,V15,5.809594285895007
64,783,659,V18,5.809594285895007
64,783,659,V20,5.809594285895007
64,783,659,V21,5.809594285895007
64,783,659,V22,5.809594285895007
64,783,659,V23,5.809594285895007
64,783,659,V24,5.809594285895007
64,1091,965,V145,4.388654712140797
64,1091,965,V147,4.388654712140797
64,1091,965,V148,4.388654712140797
64,1091,965,V149,4.388654712140797
64,1091,965,V150,4.388654712140797
64,1091,965,V151,4.388654712140797
64,1091,965,V155,4.388654712140797
64,1013,931,V13,4.405443882921528
64,1013,931,V59,4.405443882921528
64,849,931,V74,4.4061387562478425
64,1102,931,V102,4.548251915941359
64,1102,931,V114,4.548251915941359
64,1102,931,V134,4.548251915941359
64,1102,931,V183,4.548251915941359
64,1091,885,V166,10.203820878312005
64,1091,885,V259,10.203820878312005
64,1068,885,V33,11.364565785437158
64,1068,885,V46,11.364565785437158
64,1068,885,V47,11.364565785437158
64,1068,885,V55,11.364565785437158
64,1068,885,V61,11.364565785437158
64,783,708,V25,10.697285568723771
64,783,708,V26,10.697285568723771
64,783,708,V27,10.697285568723771
64,783,708,V28,10.697285568723771
64,783,708,V29,10.697285568723771
64,1068,1106,V65,4.880745078525951
64,1068,1106,V69,4.880745078525951
64,1068,1106,V130,4.880745078525951
64,1398,1229,V157,5.282433425576492
64,1398,1229,V158,5.282433425576492
64,1398,1229,V159,5.282433425576492
64,783,917,V30,5.8083597500151045
68,1106,931,V53,5.283575443416337
68,1106,931,V130,5.283575443416337
68,882,931,V148,5.812636165404913
68,1068,931,V141,8.304853837171269
68,1068,931,V253,8.304853837171269
68,1068,931,V261,8.304853837171269
68,1068,931,V266,8.304853837171269
68,1068,931,V287,8.304853837171269
68,1068,931,V288,8.304853837171269
68,1068,931,V289,8.304853837171269
68,1182,931,V69,9.422487826577225
68,783,659,V12,5.809594285895007
68,783,659,V13,5.809594285895007
68,783,659,V14,5.809594285895007
68,783,659,V15,5.809594285895007
68,783,659,V16,5.809594285895007
68,783,659,V18,5.809594285895007
68,783,659,V20,5.809594285895007
68,783,659,V21,5.809594285895007
68,359,708,V17,10.088438580081291
68,783,708,V22,10.697285568723771
68,783,708,V23,10.697285568723771
68,783,708,V24,10.697285568723771
68,783,708,V25,10.697285568723771
68,1182,885,V147,8.662721360426067
68,1182,885,V167,8.662721360426067
68,855,885,V54,12.412669367198909
68,855,885,V73,12.412669367198909
68,855,885,V77,12.412669367198909
68,1398,1102,V105,9.118728510486134
68,1398,1102,V163,9.118728510486134
68,1370,1102,V267,11.609712853230407
68,1370,1102,V268,11.609712853230407
68,1370,1102,V269,11.609712853230407
68,1435,1229,V19,10.197737357480824
68,1435,1229,V116,10.197737357480824
68,1435,1229,V117,10.197737357480824
68,1435,1229,V118,10.197737357480824
68,1435,1229,V119,10.197737357480824
68,783,834,V27,7.689481736045675
68,783,834,V28,7.689481736045675
68,783,834,V29,7.689481736045675
68,783,834,V30,7.689481736045675
68,196,535,V208,10.089384951575544
68,196,535,V209,10.089384951575544
68,566,535,V164,11.474227573045091
68,855,1013,V79,14.035043934320278
68,855,1013,V81,14.035043934320278
68,783,1091,V31,10.241109598832232
68,783,965,V32,10.498093903671007
72,885,834,V19,7.688685710981335
72,885,834,V25,7.688685710981335
72,885,834,V32,7.688685710981335
72,885,834,V33,7.688685710981335
72,885,931,V34,3.0617002345235647
72,885,931,V42,3.0617002345235647
72,885,931,V145,3.0617002345235647
72,1182,1091,V15,5.24631154396119
72,1182,1091,V31,5.24631154396119
72,885,708,V163,6.511469320496247
72,885,708,V164,6.511469320496247
72,885,535,V261,10.569431103772471
72,566,535,V172,11.474227573045091
72,508,672,V85,8.81713559460697
72,1229,1276,V11,3.959637309104105
72,783,659,V12,5.809594285895007
72,1229,1106,V44,6.605818539698737
72,1182,882,V38,7.841474878454721
72,783,917,V13,5.8083597500151045
72,1229,1398,V267,5.282433425576492
72,1182,965,V40,5.875748248781206
76,783,834,V11,7.689481736045675
76,783,834,V12,7.689481736045675
76,783,834,V13,7.689481736045675
76,783,834,V16,7.689481736045675
76,783,834,V18,7.689481736045675
76,783,834,V19,7.689481736045675
76,783,834,V22,7.689481736045675
76,783,834,V25,7.689481736045675
76,783,834,V31,7.689481736045675
76,783,834,V32,7.689481736045675
76,783,834,V35,7.689481736045675
76,783,834,V37,7.689481736045675
76,783,834,V38,7.689481736045675
76,783,834,V42,7.689481736045675
76,783,834,V44,7.689481736045675
