grid_id,total_orders,total_unmet,total_met,assignment_ratio
172,42413.714285705864,20398.71428571541,22014.999999990454,0.5190538100882591
925,909223.428571462,112880.42857142567,796343.0000000363,0.8758496261487903
1232,635159.9285714423,83353.92857142945,551806.0000000128,0.868767022568783
873,402297.50000001374,70952.49999999836,331345.00000001537,0.8236317650495071
856,181427.21428573152,28623.214285713766,152804.00000001775,0.8422330718222086
973,754495.7142857122,106100.71428571193,648395.0000000002,0.8593753254302332
1140,687764.8571428377,87569.85714286327,600194.9999999744,0.8726747139906911
794,912607.1428571286,95355.14285714274,817251.9999999859,0.8955134817829594
464,132606.21428572253,20330.21428571391,112276.00000000861,0.8466873185753646
834,665001.9999999913,50312.00000000131,614689.99999999,0.9243430846824492
402,333904.35714284464,27928.357142859986,305975.99999998463,0.9163582129270861
1478,197851.35714286906,25037.357142858233,172814.00000001083,0.8734537002706598
928,880742.4285714296,59655.42857142745,821087.0000000021,0.9322668845780611
702,530458.5714285955,61153.571428570634,469305.0000000248,0.8847156503402783
1004,397810.1428571279,29605.142857142557,368204.99999998533,0.9255797183940201
1399,456796.1428571506,55655.14285714514,401141.0000000055,0.878161968467957
1058,455634.4285714139,36892.428571427656,418741.99999998626,0.9190306389113322
525,184840.92857144485,26363.928571429078,158477.00000001577,0.8573696379087445
850,470814.99999999214,28089.99999999834,442724.99999999383,0.940337499867254
1213,120321.78571429233,20355.78571428705,99966.00000000528,0.8308221109465374
200,61003.14285713188,20653.14285714195,40349.99999998993,0.6614413308915708
1105,383214.0714285868,28018.071428572206,355196.00000001455,0.9268866319962535
579,517112.2142857238,25252.214285715934,491860.00000000786,0.9511668578151914
1011,492745.785714316,32109.78571428724,460636.00000002875,0.9348349866295886
783,407482.0714285744,57409.071428569274,350073.0000000051,0.8591126445703459
714,387042.71428572224,22835.71428571473,364207.0000000075,0.9409994983942341
1412,103519.00000001036,20036.00000000016,83483.0000000102,0.8064509896734111
967,471455.4999999919,32109.499999999993,439345.9999999919,0.9318928297580565
1067,285628.42857142934,21708.428571429333,263920.0,0.9239976612972174
1187,446758.857142861,27519.857142856203,419239.0000000048,0.9384010933351096
