idx,d_mean,c_mean,Grid ID,real_origin_demand,real_dest_demand,real_total_demand,Avg_House_Price,Dist_km
1320,2277.7808,1.0,1320,20634,20402,41036,54749.15789473684,11.023983484146743
843,2328.089,1.0833334,843,27343,27238,54581,82091.92063492064,3.372014432430257
1101,1458.5684,1.0,1101,38075,36816,74891,63571.57894736842,4.317226317375342
973,1193.1412,1.0416666,973,93465,93945,187410,88771.11111111111,2.894505223714332
880,1540.275,1.0833334,880,61172,58544,119716,77933.2027027027,4.1662547009465065
1011,1493.1979,1.125,1011,110079,109810,219889,74351.21739130435,2.5291540304385216
834,1488.8442,1.1666666,834,92329,76623,168952,54568.47368421053,7.226572276169041
1094,964.11993,1.0,1094,19658,20696,40354,75585.25,6.143420330276824
1147,1330.3604,1.0833334,1147,36973,39018,75991,64305.65217391304,6.886599088588046
662,719.45795,1.125,662,35093,26337,61430,46699.0,9.841376802948266
