idx,Grid ID,avg_lat,avg_lon,real_total_demand,cluster_label,is_selected_site
156,156,31.0489,121.4977,55,20,False
157,157,31.0489,121.5077,185,20,False
158,158,31.0489,121.5177,35,20,False
159,159,31.0489,121.5277,2593,20,False
160,160,31.0489,121.5377,1605,20,False
161,161,31.0489,121.5477,32,20,False
162,162,31.0489,121.5577,23,8,False
163,163,31.0489,121.5677,26,8,False
164,164,31.0489,121.5777,409,8,False
165,165,31.0489,121.5877,781,8,False
166,166,31.0489,121.5977,94,8,False
167,167,31.0489,121.6077,36,8,False
168,168,31.0489,121.6177,11,8,False
169,169,31.0489,121.6277,0,8,False
170,170,31.0489,121.6377,92,8,False
171,171,31.0589,121.2177,617,0,False
172,172,31.0589,121.2277,5625,0,False
173,173,31.0589,121.2377,1915,0,False
174,174,31.0589,121.2477,50,0,False
175,175,31.0589,121.2577,330,0,False
176,176,31.0589,121.2677,25,0,False
177,177,31.0589,121.2777,412,0,False
178,178,31.0589,121.2877,170,0,False
179,179,31.0589,121.2977,729,0,False
180,180,31.0589,121.3077,854,0,False
181,181,31.0589,121.3177,313,0,False
182,182,31.0589,121.3277,50,10,False
183,183,31.0589,121.3377,69,10,False
184,184,31.0589,121.3477,106,10,False
185,185,31.0589,121.3577,439,10,False
186,186,31.0589,121.3677,1278,10,False
187,187,31.0589,121.3777,236,10,False
188,188,31.0589,121.3877,3123,10,False
189,189,31.0589,121.3977,1416,10,False
190,190,31.0589,121.4077,1955,10,False
191,191,31.0589,121.4177,461,20,False
192,192,31.0589,121.4277,560,20,False
193,193,31.0589,121.4377,691,20,False
194,194,31.0589,121.4477,752,20,False
195,195,31.0589,121.4577,518,20,False
196,196,31.0589,121.4677,5,20,True
197,197,31.0589,121.4777,10,20,False
198,198,31.0589,121.4877,65,20,False
199,199,31.0589,121.4977,168,20,False
200,200,31.0589,121.5077,8507,20,False
201,201,31.0589,121.5177,153,20,False
202,202,31.0589,121.5277,2135,20,False
203,203,31.0589,121.5377,1647,20,False
204,204,31.0589,121.5477,10,8,False
205,205,31.0589,121.5577,29,8,False
206,206,31.0589,121.5677,50,8,False
207,207,31.0589,121.5777,145,8,False
208,208,31.0589,121.5877,731,8,False
209,209,31.0589,121.5977,57,8,False
210,210,31.0589,121.6077,53,8,False
211,211,31.0589,121.6177,186,8,False
212,212,31.0589,121.6277,120,8,False
213,213,31.0589,121.6377,76,8,False
214,214,31.0689,121.2177,81,0,False
215,215,31.0689,121.2277,483,0,False
216,216,31.0689,121.2377,484,0,False
217,217,31.0689,121.2477,204,0,True
218,218,31.0689,121.2577,374,0,False
219,219,31.0689,121.2677,30,0,False
220,220,31.0689,121.2777,292,0,False
221,221,31.0689,121.2877,89,0,False
222,222,31.0689,121.2977,108,0,False
223,223,31.0689,121.3077,2703,0,False
224,224,31.0689,121.3177,891,0,False
225,225,31.0689,121.3277,293,10,False
226,226,31.0689,121.3377,184,10,False
227,227,31.0689,121.3477,1234,10,False
228,228,31.0689,121.3577,843,10,False
229,229,31.0689,121.3677,387,10,False
230,230,31.0689,121.3777,1582,10,False
231,231,31.0689,121.3877,5675,10,False
232,232,31.0689,121.3977,7225,10,False
233,233,31.0689,121.4077,1209,10,False
234,234,31.0689,121.4177,1229,10,False
235,235,31.0689,121.4277,2024,20,False
236,236,31.0689,121.4377,519,20,False
237,237,31.0689,121.4477,61,20,False
238,238,31.0689,121.4577,668,20,False
239,239,31.0689,121.4677,8,20,False
