model,run_dir,space,MSE,RMSE,MAE,MAPE,R2,PCC
GRU (baseline),260707070809,log1p,0.14784233272075653,0.38450270891189575,0.28632238507270813,15.936854481697083,,
GRU (baseline),260707070809,original,110.78392791748047,10.525394439697266,5.091684818267822,34.95917510986328,0.9149816632270813,0.9589246388463093
TGCN,260707075335,log1p,0.22847464680671692,0.47799021005630493,0.37447336316108704,19.46416348218918,,
TGCN,260707075335,original,348.70526123046875,18.67365074157715,8.48943042755127,50.25575637817383,0.7323949337005615,0.865423476261563
STID (tuned),260707090253_89680,log1p,0.13818328082561493,0.37173011898994446,0.2747321128845215,15.715795755386353,,
STID (tuned),260707090253_89680,original,80.16658020019531,8.95357894897461,4.6705546379089355,34.109832763671875,0.9384781718254089,0.969059202208179
