0.000000,0.000052,0.065510,0.005281,0.000003,0.000814,0.000000,0.000220,0.288505,0.000000
0.000052,0.000000,0.068921,0.485279,0.131239,0.127703,0.012247,0.004814,0.016091,0.003723
0.065510,0.068921,0.000000,0.485295,0.022089,0.311643,0.000846,0.069961,0.569619,0.000007
0.005281,0.485279,0.485295,0.000000,0.051856,0.238814,0.002238,0.015862,0.245129,0.000114
0.000003,0.131239,0.022089,0.051856,0.000000,0.412307,0.569266,0.147813,0.000847,0.095674
0.000814,0.127703,0.311643,0.238814,0.412307,0.000000,0.078316,0.455736,0.035836,0.002212
0.000000,0.012247,0.000846,0.002238,0.569266,0.078316,0.000000,0.055462,0.000011,0.304587
0.000220,0.004814,0.069961,0.015862,0.147813,0.455736,0.055462,0.000000,0.004079,0.000477
0.288505,0.016091,0.569619,0.245129,0.000847,0.035836,0.000011,0.004079,0.000000,0.000000
0.000000,0.003723,0.000007,0.000114,0.095674,0.002212,0.304587,0.000477,0.000000,0.000000
