0.000000,0.000025,0.000000,0.000611,0.000000,0.000000,0.000000,0.000651,0.000000,0.000619,0.065765,0.000000,0.000004,0.014882,0.000015,0.000000,0.000000,0.185387,0.000000,0.000002,0.000682,0.000000,0.004794,0.000001,0.015078,0.000011,0.000000,0.000035,0.000000,0.000000
0.000025,0.000000,0.091532,0.375854,0.021203,0.571555,0.361301,0.678786,0.015135,0.673813,0.025163,0.018355,0.873939,0.229817,0.349773,0.052453,0.412355,0.012598,0.219195,0.002807,0.004989,0.178380,0.235744,0.783403,0.073341,0.412192,0.002904,0.805251,0.038360,0.235798
0.000000,0.091532,0.000000,0.009324,0.038435,0.265775,0.354004,0.009357,0.000768,0.014978,0.000006,0.057737,0.149946,0.000624,0.057614,0.400028,0.678863,0.000004,0.112845,0.000362,0.000002,0.678863,0.000603,0.329303,0.000212,0.017040,0.354148,0.082208,0.288120,0.771370
0.000611,0.375854,0.009324,0.000000,0.000166,0.053193,0.229937,0.349613,0.000174,0.805228,0.030974,0.049408,0.160117,0.478567,0.678829,0.032262,0.057490,0.129480,0.007207,0.073151,0.000602,0.009546,0.130978,0.206302,0.572026,0.038073,0.000047,0.673920,0.000595,0.060029
0.000000,0.021203,0.038435,0.000166,0.000000,0.206171,0.003573,0.006489,0.235737,0.001355,0.000030,0.000013,0.078008,0.000129,0.000342,0.000684,0.078257,0.000000,0.583277,0.000000,0.000528,0.229866,0.001640,0.038336,0.000003,0.117625,0.051674,0.003741,0.564596,0.015199
0.000000,0.571555,0.265775,0.053193,0.206171,0.000000,0.229937,0.229864,0.061955,0.150551,0.002497,0.006093,0.856242,0.025409,0.083569,0.049034,0.709993,0.000365,0.725111,0.000137,0.002121,0.629898,0.056599,0.725184,0.003737,0.471452,0.038455,0.291478,0.319206,0.320555
0.000000,0.361301,0.354004,0.229937,0.003573,0.229937,0.000000,0.082747,0.000281,0.212345,0.000360,0.329408,0.288675,0.025190,0.634004,0.590539,0.537848,0.000962,0.044132,0.028817,0.000017,0.206563,0.009411,0.629934,0.022083,0.030602,0.015718,0.564617,0.028755,0.771331
0.000651,0.678786,0.009357,0.349613,0.006489,0.229864,0.082747,0.000000,0.020547,0.726835,0.185431,0.002122,0.495599,0.571230,0.149916,0.004989,0.091475,0.066047,0.096203,0.000964,0.041259,0.031131,0.709973,0.288617,0.150378,0.470114,0.000132,0.471454,0.005841,0.036082
0.000000,0.015135,0.000768,0.000174,0.235737,0.061955,0.000281,0.020547,0.000000,0.002099,0.002058,0.000000,0.042564,0.000968,0.000081,0.000010,0.006937,0.000007,0.235737,0.000000,0.059639,0.014236,0.021066,0.008561,0.000015,0.276059,0.000262,0.001813,0.030974,0.000603
0.000619,0.673813,0.014978,0.805228,0.001355,0.150551,0.212345,0.726835,0.002099,0.000000,0.079106,0.017823,0.375777,0.629790,0.471458,0.021634,0.107154,0.106950,0.034413,0.013748,0.004791,0.025472,0.345408,0.346112,0.375701,0.161112,0.000132,0.783393,0.002699,0.073121
