avg_noise,total_demand,total_price,total_dist_km,min_pairwise_sep_km,feasible
1.125,975050.0,593475.0713151786,63.02953965028604,3.468752953577014,True
1.02499998,765370.0,669487.4269912136,69.38863298531223,3.0602932570069243,True
1.0625,976444.0,765371.1955214407,47.751064450366925,3.0602932570069243,True
1.08333332,1185562.0,726964.6900178641,58.54865388640938,3.0602932570069243,True
1.05416664,573440.0,558150.2345874155,88.77323493606016,3.0611376745422567,True
1.0916666400000001,776347.0,506083.9427849515,83.74298868110304,3.0611376745422567,True
1.06666668,959919.0,749600.8004165456,45.44537122775214,3.0602932570069243,True
1.0708332999999999,702038.0,537133.458271626,89.85638688195239,3.0611376745422567,True
1.0833333,738756.0,510182.96617676434,84.22776866801902,3.0611376745422567,True
1.07499998,708249.0,524553.7922637209,87.75025672084853,3.0602932570069243,True
1.0916667,925270.0,636412.5838160211,58.681644798598015,3.0602932570069243,True
1.02916666,632541.0,662808.2365150232,69.86614219402816,3.0602932570069243,True
1.10416668,914758.0,603410.2673955944,65.45031713958348,3.335847799336888,True
1.1083333,1128984.0,620203.7518258756,68.51083345638551,3.0611376745422567,True
1.0999999800000002,818605.0,512928.3448902147,78.98887967692721,3.0611376745422567,True
1.11666668,1026859.0,603107.9077464716,63.01184936013711,3.0619813989625246,True
1.03333334,819706.0,715743.3360431227,61.52189831085172,3.0602932570069243,True
1.0583333,720496.0,571336.0956985266,85.52431982949767,3.0611376745422567,True
1.1125,1049753.0,644363.1055032128,60.05401533217847,3.0614189930459865,True
1.10000002,1040967.0,629866.1344233085,59.22118104768994,3.0602932570069243,True
1.0666666200000001,877146.0,592354.0621363603,74.56984424598502,3.0611376745422567,True
1.0958333,1088457.0,600696.4893258756,75.78617209339507,3.0611376745422567,True
1.04583336,823631.0,697453.8418670201,58.111548686270474,3.0602932570069243,True
1.02499998,743960.0,687273.6954522212,65.87404832915445,3.4686426187509936,True
1.07916662,893480.0,574391.2375749568,75.24964285433026,3.0611376745422567,True
1.0624999599999998,881036.0,589614.9510252492,77.54900710003734,3.0619813989625246,True
1.0333333,858331.0,659750.248501511,69.72860617289322,3.0619813989625246,True
1.0958333599999999,1036852.0,654194.7241668983,54.20443498227506,3.0602932570069243,True
1.11666664,1052248.0,595552.5395691468,68.38462416672616,3.0619813989625246,True
1.0458333,752438.0,610631.7273410386,76.46585515414512,3.060574806509673,True
1.0291666400000001,746749.0,641968.108150634,74.20581598921618,3.4686426187509936,True
1.07083336,847532.0,635569.1236552023,68.6528987621893,3.0602932570069243,True
1.07500004,888859.0,632349.0468062172,64.17252842529587,3.0602932570069243,True
1.07499996,864736.0,552255.0772878755,77.2808970887851,3.0611376745422567,True
1.1124999800000002,1054056.0,590905.1962703201,69.44877456313054,3.0611376745422567,True
1.10833336,1026634.0,624697.3863789502,60.974266148774575,3.0619813989625246,True
1.0625000199999999,938595.0,675090.1268715766,61.32108585619109,3.0602932570069243,True
1.10416664,1140765.0,624876.9498208631,67.08809602153897,3.0619813989625246,True
1.0666667,875314.0,605006.2840660333,71.82449747701236,3.0602932570069243,True
1.03750002,744778.0,686444.7804875671,62.45983941759674,3.0602932570069243,True
1.0916666200000003,899772.0,570511.3000749568,72.46992604442636,3.0611376745422567,True
1.08333336,937680.0,676511.568664506,55.97059195579793,3.0602932570069243,True
1.1208333400000001,1071970.0,620821.4626195264,63.68565966769443,3.335847799336888,True
1.08749996,988527.0,593152.6769688962,71.09697861314217,3.0611376745422567,True
1.05416666,927418.0,757113.3764738217,49.63635024947462,3.0602932570069243,True
1.04166664,865829.0,635048.1186453865,75.6308981488251,3.4686426187509936,True
1.0624999800000001,1020379.0,747376.1979841191,49.97632343705561,3.0602932570069243,True
1.0791667,908254.0,675211.5004826877,53.12128303638285,3.0602932570069243,True
1.05000004,748703.0,668155.2863114645,59.049489793015496,3.0602932570069243,True
1.04999996,864020.0,628413.867691916,71.98864533782219,3.060574806509673,True
1.05833332,579651.0,545570.5685795103,86.6671047749563,3.0602932570069243,True
1.05833332,900227.0,676117.5960594834,62.2444345728445,3.0602932570069243,True
