idx,Grid ID,avg_lat,avg_lon,real_origin_demand,real_dest_demand,real_total_demand,cluster_label,cluster_n_cells,cluster_total_demand
1004,1004,31.2489,121.3777,7224.740421388654,7161.447618217911,14386.188039606564,0,42,215550.3185145616
854,854,31.2089,121.5977,3803.483796185064,3472.3561930724923,7275.839989257556,1,52,91537.02759819168
1232,1232,31.2989,121.5077,20219.911907142745,17059.988793341534,37279.90070048428,2,47,239141.43681936213
926,926,31.2289,121.4577,22230.60009612057,21413.686140428013,43644.28623654858,3,17,372786.4320018199
783,783,31.1989,121.3177,59556.80552831383,92677.7460204758,152234.55154878963,4,102,328533.56998057064
402,402,31.1089,121.3777,5240.228678816214,5832.333766977294,11072.562445793508,5,96,119024.17628406278
834,834,31.2089,121.3977,28107.76723346823,22942.44682740091,51050.21406086914,6,18,318504.14080552896
1569,1569,31.3789,121.4377,10227.462440952584,966.1825418753938,11193.644982827978,7,61,55787.34877693791
1011,1011,31.2489,121.4477,38441.00351431468,37228.29443233679,75669.29794665147,8,17,352147.2828883763
928,928,31.2289,121.4777,33783.86596873378,33462.98980732888,67246.85577606266,9,14,413153.6293758042
1412,1412,31.3389,121.5877,1785.8437896799596,9614.464707727466,11400.308497407426,10,102,59752.71851469412
1213,1213,31.2989,121.3177,2597.655066298964,2181.659795196761,4779.314861495725,11,176,41804.428160083546
932,932,31.2289,121.5177,18009.36249636342,16815.668740319346,34825.03123668277,12,19,243061.1632852492
702,702,31.1789,121.3677,9725.79061445374,9046.062009903631,18771.85262435737,13,25,201241.35965502288
200,200,31.0589,121.5077,730.6859418162766,681.6557622099668,1412.3417040262434,14,112,28321.081253077416
1397,1397,31.3389,121.4377,10538.81661565803,4261.7550493138415,14800.57166497187,15,35,211737.22023542566
1067,1067,31.2589,121.5777,5065.48147741172,4982.527542380788,10048.00901979251,16,44,117707.13394130702
925,925,31.2289,121.4477,42322.59557362801,38589.83298512831,80912.42855875632,17,11,386237.1674390054
795,795,31.1989,121.4377,21185.95293084523,18671.99098150796,39857.94391235319,18,21,326680.3797830954
1187,1187,31.2889,121.4877,12284.75086513362,12259.99305746175,24544.74392259537,19,22,274041.131960429
622,622,31.158900000000003,121.4277,6871.129459398681,11833.41360724334,18704.54306664202,20,42,215741.23267475373
1478,1478,31.3589,121.3877,1668.7634490936678,12481.379201159907,14150.142650253576,21,83,80627.58159581308
763,763,31.1889,121.5477,2836.5745893098983,2897.789268583142,5734.36385789304,22,33,77905.31591464955
1146,1146,31.2789,121.5077,9481.118035416745,8105.113129969038,17586.23116538578,23,25,221533.57493629772
433,433,31.1189,121.2577,1054.8365261958184,705.3759160086722,1760.2124422044906,24,141,24607.12887343443
700,700,31.1789,121.3477,5609.018742720202,4773.728027055681,10382.746769775884,25,50,104198.92621379237
873,873,31.2189,121.3577,11575.915756906024,8591.183515130488,20167.09927203651,26,43,169569.74867270855
850,850,31.2089,121.5577,11453.940280200455,10366.393262430209,21820.333542630666,27,25,144131.3849423205
464,464,31.1189,121.5677,2419.688592815281,2886.809047236051,5306.497640051332,28,149,43343.11682468083
714,714,31.1789,121.4877,8008.0077983574,7322.294069327381,15330.301867684782,29,52,132273.35835829502
