idx,Grid ID,avg_lat,avg_lon,real_total_demand,cluster_label,is_selected_site
156,156,31.0489,121.4977,44,23,False
157,157,31.0489,121.5077,152,12,False
158,158,31.0489,121.5177,30,12,False
159,159,31.0489,121.5277,2029,12,False
160,160,31.0489,121.5377,1263,12,False
161,161,31.0489,121.5477,24,12,False
162,162,31.0489,121.5577,19,12,False
163,163,31.0489,121.5677,24,12,False
164,164,31.0489,121.5777,330,12,False
165,165,31.0489,121.5877,633,12,False
166,166,31.0489,121.5977,70,12,False
167,167,31.0489,121.6077,26,12,False
168,168,31.0489,121.6177,10,12,False
169,169,31.0489,121.6277,0,12,False
170,170,31.0489,121.6377,82,12,False
171,171,31.0589,121.2177,486,28,False
172,172,31.0589,121.2277,4453,28,False
173,173,31.0589,121.2377,1546,28,False
174,174,31.0589,121.2477,36,28,False
175,175,31.0589,121.2577,265,28,False
176,176,31.0589,121.2677,20,28,False
177,177,31.0589,121.2777,331,28,False
178,178,31.0589,121.2877,140,28,False
179,179,31.0589,121.2977,609,28,False
180,180,31.0589,121.3077,644,28,False
181,181,31.0589,121.3177,236,28,False
182,182,31.0589,121.3277,40,28,False
183,183,31.0589,121.3377,55,5,False
184,184,31.0589,121.3477,78,5,False
185,185,31.0589,121.3577,360,23,False
186,186,31.0589,121.3677,995,23,False
187,187,31.0589,121.3777,201,23,False
188,188,31.0589,121.3877,2474,23,False
189,189,31.0589,121.3977,1131,23,False
190,190,31.0589,121.4077,1539,23,False
191,191,31.0589,121.4177,366,23,False
192,192,31.0589,121.4277,440,23,False
193,193,31.0589,121.4377,543,23,False
194,194,31.0589,121.4477,592,23,False
195,195,31.0589,121.4577,414,23,False
196,196,31.0589,121.4677,2,23,False
197,197,31.0589,121.4777,8,23,False
198,198,31.0589,121.4877,55,23,False
199,199,31.0589,121.4977,153,23,False
200,200,31.0589,121.5077,6641,12,False
201,201,31.0589,121.5177,121,12,False
202,202,31.0589,121.5277,1673,12,False
203,203,31.0589,121.5377,1294,12,False
204,204,31.0589,121.5477,8,12,False
205,205,31.0589,121.5577,24,12,False
206,206,31.0589,121.5677,39,12,False
207,207,31.0589,121.5777,113,12,False
208,208,31.0589,121.5877,603,12,False
209,209,31.0589,121.5977,46,12,False
210,210,31.0589,121.6077,42,12,False
211,211,31.0589,121.6177,141,12,False
212,212,31.0589,121.6277,107,12,False
213,213,31.0589,121.6377,62,12,False
214,214,31.0689,121.2177,61,28,False
215,215,31.0689,121.2277,359,28,False
216,216,31.0689,121.2377,385,28,False
217,217,31.0689,121.2477,157,28,False
218,218,31.0689,121.2577,284,28,False
219,219,31.0689,121.2677,25,28,False
220,220,31.0689,121.2777,222,28,False
221,221,31.0689,121.2877,75,28,False
222,222,31.0689,121.2977,89,28,False
223,223,31.0689,121.3077,2094,28,False
224,224,31.0689,121.3177,685,28,False
225,225,31.0689,121.3277,230,28,False
226,226,31.0689,121.3377,154,5,False
227,227,31.0689,121.3477,950,5,False
228,228,31.0689,121.3577,676,5,False
229,229,31.0689,121.3677,324,5,False
230,230,31.0689,121.3777,1297,23,False
231,231,31.0689,121.3877,4552,23,False
232,232,31.0689,121.3977,5729,23,False
233,233,31.0689,121.4077,925,23,False
234,234,31.0689,121.4177,1007,23,False
235,235,31.0689,121.4277,1646,23,False
236,236,31.0689,121.4377,405,23,False
237,237,31.0689,121.4477,43,23,False
238,238,31.0689,121.4577,519,23,False
239,239,31.0689,121.4677,4,23,False
240,240,31.0689,121.4777,18,23,False
241,241,31.0689,121.4877,288,23,False
242,242,31.0689,121.4977,611,23,False
243,243,31.0689,121.5077,695,12,False
244,244,31.0689,121.5177,1434,12,False
245,245,31.0689,121.5277,959,12,False
246,246,31.0689,121.5377,448,12,False
247,247,31.0689,121.5477,23,12,False
248,248,31.0689,121.5577,41,12,False
249,249,31.0689,121.5677,16,12,False
250,250,31.0689,121.5777,321,12,False
251,251,31.0689,121.5877,427,12,False
252,252,31.0689,121.5977,54,12,False
253,253,31.0689,121.6077,22,12,False
254,254,31.0689,121.6177,33,12,False
255,255,31.0689,121.6277,48,12,False
256,256,31.0689,121.6377,111,12,False
257,257,31.0789,121.2177,2,28,False
258,258,31.0789,121.2277,52,28,False
259,259,31.0789,121.2377,23,28,False
260,260,31.0789,121.2477,128,28,False
261,261,31.0789,121.2577,474,28,False
262,262,31.0789,121.2677,317,28,False
263,263,31.0789,121.2777,132,28,False
264,264,31.0789,121.2877,13,28,False
265,265,31.0789,121.2977,8,28,False
266,266,31.0789,121.3077,252,28,False
267,267,31.0789,121.3177,1126,28,False
268,268,31.0789,121.3277,916,5,False
269,269,31.0789,121.3377,2043,5,False
270,270,31.0789,121.3477,519,5,False
271,271,31.0789,121.3577,1137,5,False
272,272,31.0789,121.3677,2605,5,False
273,273,31.0789,121.3777,2731,5,False
274,274,31.0789,121.3877,2273,5,False
275,275,31.0789,121.3977,5919,23,True
276,276,31.0789,121.4077,1828,23,False
277,277,31.0789,121.4177,3134,23,False
278,278,31.0789,121.4277,855,23,False
279,279,31.0789,121.4377,1512,23,False
280,280,31.0789,121.4477,302,23,False
281,281,31.0789,121.4577,323,23,False
282,282,31.0789,121.4677,1,23,False
283,283,31.0789,121.4777,30,23,False
284,284,31.0789,121.4877,1605,23,False
285,285,31.0789,121.4977,3986,12,False
286,286,31.0789,121.5077,1493,12,False
287,287,31.0789,121.5177,1464,12,False
288,288,31.0789,121.5277,67,12,False
289,289,31.0789,121.5377,144,12,False
290,290,31.0789,121.5477,526,12,False
291,291,31.0789,121.5577,53,12,False
292,292,31.0789,121.5677,54,12,False
293,293,31.0789,121.5777,198,12,False
294,294,31.0789,121.5877,1227,12,False
295,295,31.0789,121.5977,535,12,False
296,296,31.0789,121.6077,442,12,False
297,297,31.0789,121.6177,4,12,False
298,298,31.0789,121.6277,68,12,False
299,299,31.0789,121.6377,264,12,False
300,300,31.0889,121.2177,109,28,False
301,301,31.0889,121.2277,2025,28,False
302,302,31.0889,121.2377,131,28,False
303,303,31.0889,121.2477,456,28,False
304,304,31.0889,121.2577,648,28,False
305,305,31.0889,121.2677,474,28,False
306,306,31.0889,121.2777,408,28,False
307,307,31.0889,121.2877,143,28,False
308,308,31.0889,121.2977,96,28,False
309,309,31.0889,121.3077,381,18,False
310,310,31.0889,121.3177,204,18,False
311,311,31.0889,121.3277,845,18,False
312,312,31.0889,121.3377,1667,5,False
313,313,31.0889,121.3477,693,5,False
314,314,31.0889,121.3577,704,5,False
315,315,31.0889,121.3677,3070,5,False
316,316,31.0889,121.3777,6200,5,False
317,317,31.0889,121.3877,6545,5,False
318,318,31.0889,121.3977,6416,5,False
319,319,31.0889,121.4077,3117,23,False
320,320,31.0889,121.4177,4911,23,False
321,321,31.0889,121.4277,3080,23,False
322,322,31.0889,121.4377,1822,23,False
323,323,31.0889,121.4477,545,23,False
324,324,31.0889,121.4577,562,23,False
325,325,31.0889,121.4677,78,23,False
326,326,31.0889,121.4777,153,23,False
327,327,31.0889,121.4877,175,23,False
328,328,31.0889,121.4977,964,12,False
329,329,31.0889,121.5077,2107,12,False
330,330,31.0889,121.5177,971,12,False
331,331,31.0889,121.5277,553,12,False
332,332,31.0889,121.5377,78,12,False
333,333,31.0889,121.5477,37,12,False
334,334,31.0889,121.5577,57,12,False
335,335,31.0889,121.5677,128,12,False
336,336,31.0889,121.5777,1210,12,False
337,337,31.0889,121.5877,2190,12,False
338,338,31.0889,121.5977,366,12,False
339,339,31.0889,121.6077,8,12,False
340,340,31.0889,121.6177,13,12,False
341,341,31.0889,121.6277,17,12,False
342,342,31.0889,121.6377,98,12,False
343,343,31.0989,121.2177,486,28,False
344,344,31.0989,121.2277,112,28,False
345,345,31.0989,121.2377,15,28,False
346,346,31.0989,121.2477,311,28,False
347,347,31.0989,121.2577,684,28,False
348,348,31.0989,121.2677,505,28,False
349,349,31.0989,121.2777,277,28,False
350,350,31.0989,121.2877,505,28,False
351,351,31.0989,121.2977,285,18,False
352,352,31.0989,121.3077,585,18,False
353,353,31.0989,121.3177,1627,18,False
354,354,31.0989,121.3277,602,18,False
355,355,31.0989,121.3377,2401,5,False
356,356,31.0989,121.3477,4458,5,False
357,357,31.0989,121.3577,2397,5,False
358,358,31.0989,121.3677,3727,5,False
359,359,31.0989,121.3777,6228,5,False
360,360,31.0989,121.3877,11098,5,False
361,361,31.0989,121.3977,3749,5,False
362,362,31.0989,121.4077,8470,5,False
363,363,31.0989,121.4177,4511,5,False
364,364,31.0989,121.4277,4823,23,False
365,365,31.0989,121.4377,1504,23,False
366,366,31.0989,121.4477,2283,23,False
367,367,31.0989,121.4577,194,23,False
368,368,31.0989,121.4677,113,23,False
369,369,31.0989,121.4777,180,13,False
370,370,31.0989,121.4877,1814,13,False
371,371,31.0989,121.4977,3206,13,False
372,372,31.0989,121.5077,432,12,False
373,373,31.0989,121.5177,256,12,False
374,374,31.0989,121.5277,279,12,False
375,375,31.0989,121.5377,252,12,False
376,376,31.0989,121.5477,114,12,False
377,377,31.0989,121.5577,52,12,False
378,378,31.0989,121.5677,1022,12,False
379,379,31.0989,121.5777,1821,12,False
380,380,31.0989,121.5877,2275,12,False
381,381,31.0989,121.5977,336,12,False
382,382,31.0989,121.6077,119,12,False
383,383,31.0989,121.6177,231,12,False
384,384,31.0989,121.6277,441,12,False
385,385,31.0989,121.6377,305,12,False
386,386,31.1089,121.2177,166,28,False
387,387,31.1089,121.2277,4458,28,True
388,388,31.1089,121.2377,1150,28,False
389,389,31.1089,121.2477,2428,28,False
390,390,31.1089,121.2577,1970,28,False
391,391,31.1089,121.2677,1760,28,False
392,392,31.1089,121.2777,1935,18,False
393,393,31.1089,121.2877,465,18,False
394,394,31.1089,121.2977,264,18,False
395,395,31.1089,121.3077,1189,18,False
396,396,31.1089,121.3177,762,18,False
397,397,31.1089,121.3277,341,18,False
398,398,31.1089,121.3377,753,5,False
399,399,31.1089,121.3477,4218,5,False
400,400,31.1089,121.3577,6118,5,False
401,401,31.1089,121.3677,21099,5,False
402,402,31.1089,121.3777,32710,5,False
403,403,31.1089,121.3877,25229,5,False
